Ticker,Company
IHC.AD,International Holding Company PJSC
TAQA.AD,Abu Dhabi National Energy Company PJSC
ADNOCGAS.AD,ADNOC Gas PLC
FAB.AD,First Abu Dhabi Bank P.J.S.C.
EAND.AD,Emirates Telecommunications Group Company PJSC
INVESTB.AD,Invest bank P.S.C.
ALPHADHABI.AD,Alpha Dhabi Holding PJSC
ADCB.AD,Abu Dhabi Commercial Bank PJSC
ADNOCDRILL.AD,ADNOC Drilling Company P.J.S.C.
BOROUGE.AD,Borouge plc
ADIB.AD,Abu Dhabi Islamic Bank PJSC
ALDAR.AD,Aldar Properties PJSC
MODON.AD,Modon Holding PSC
ADNOCDIST.AD,Abu Dhabi National Oil Company for Distribution PJSC
ORDS.AD,Ooredoo Q.P.S.C.
ADNOCLS.AD,ADNOC Logistics & Services plc
MBME.AD,MBME GROUP Private Joint Stock Company
PUREHEALTH.AD,Pure Health Holding PJSC
MULTIPLY.AD,Multiply Group PJSC
NMDC.AD,NMDC Group PJSC
FERTIGLB.AD,Fertiglobe plc
ADPORTS.AD,Abu Dhabi Ports Company PJSC
AMR.AD,Americana Restaurants International PLC
PRESIGHT.AD,Presight AI Holding PLC
RAKBANK.AD,The National Bank of Ras Al-Khaimah (P.S.C.)
APEX.AD,Apex Investment PSC
LULU.AD,Lulu Retail Holdings PLC
AGILITY.AD,Agility Global PLC
NMDCENR.AD,NMDC Energy - P.J.S.C.
NBF.AD,National Bank of Fujairah PJSC
ANAN.AD,Wahat Al Zaweya Holding PJSC
EMSTEEL.AD,EMSTEEL Building Materials PJSC
SIB.AD,Sharjah Islamic Bank PJSC
GHITHA.AD,Ghitha Holding P.J.S.C
SPACE42.AD,Space42 PLC
PHX.AD,Phoenix Group Plc
ALEFEDT.AD,Alef Education Holding plc
BURJEEL.AD,Burjeel Holdings PLC
ADNH.AD,Abu Dhabi National Hotels Company PJSC
ADAVIATION.AD,Abu Dhabi Aviation Co.
ESG.AD,ESG Emirates Stallions Group PJSC
DANA.AD,Dana Gas PJSC
NCTH.AD,National Corporation for Tourism and Hotels
NBQ.AD,National Bank of Umm Al-Qaiwain (PSC)
ICAP.AD,Investcorp Capital plc
ADNIC.AD,Abu Dhabi National Insurance Company PJSC
RAKPROP.AD,RAK Properties PJSC
AGTHIA.AD,Agthia Group PJSC
ASM.AD,Al Seer Marine Supplies and Equipment Company PJSC
DRIVE.AD,Emirates Driving Company P.J.S.C.
UAB.AD,United Arab Bank P.J.S.C.
WAHA.AD,Al Waha Capital PJSC
BOS.AD,Bank Of Sharjah P.J.S.C.
RAKCEC.AD,R.A.K. Ceramics P.J.S.C.
GIH.AD,Gulf Investment House - KPSC
E7.AD,E7 Group PJSC
INVICTUS.AD,Invictus Investment Company PLC
ADNHC.AD,ADNH Catering PLC
ADSB.AD,Abu Dhabi Ship Building PJSC
CBI.AD,Commercial Bank International P.S.C.
JULPHAR.AD,Gulf Pharmaceutical Industries P.S.C.
GMPC.AD,Gulf Medical Projects Company (PJSC)
PALMS.AD,Palms Sports PJSC
ESHRAQ.AD,Eshraq Investments PJSC
EIC.AD,Emirates Insurance Company P.J.S.C.
EASYLEASE.AD,Easy Lease Motor Cycle Rental P.S.C.
RPM.AD,Response Plus Holding PJSC
MANAZEL.AD,Manazel PJSC
ABNIC.AD,Al Buhaira National Insurance Company P.S.C.
AWNIC.AD,Al Wathba National Insurance Company PJSC
SUDATEL.AD,Sudatel Telecom Group Limited
FH.AD,Finance House P.J.S.C.
TKFL.AD,Abu Dhabi National Takaful Company PSC
RAKWCT.AD,Ras Al Khaimah Co. for White Cement & Construction Materials P.S.C.
DHAFRA.AD,Al Dhafra Insurance Company P.S.C.
FBI.AD,Fujairah Building Industries P.J.S.C.
ALAIN.AD,Al Ain Ahlia Insurance Company P.S.C.
SCIDC.AD,Sharjah Cement and Industrial Development Co. (PJSC)
KICO.AD,Al Khaleej Investment P.J.S.C.
RAKNIC.AD,Ras Al Khaimah National Insurance Company P.S.C.
FNF.AD,Foodco National Foodstuff PJSC
BILDCO.AD,Abu Dhabi National Company for Building Materials PJSC
QIC.AD,Umm Al Qaiwain General Investments Company P.S.C.
SAWAEED.AD,Sawaeed Holding P.J.S.C.
HAYAH.AD,HAYAH Insurance Company P.J.S.C.
HH.AD,Hily Holding PJSC
AFNIC.AD,Al Fujairah National Insurance Company P.J.S.C
GCEM.AD,Gulf Cement Company P.S.C.
FIDELITYUNITED.AD,United Fidelity Insurance Company (P.S.C.)
SICO.AD,Sharjah Insurance Company P.S.C.
UNION.AD,Union Insurance Company P.J.S.C.
RAPCO.AD,RAPCO Investment PJSC
FCI.AD,Fujairah Cement Industries PJSC
ARAM.AD,ARAM Group Company P.J.S.C.
TNI.AD,The National Investor Pr. J.S.C.
METHAQ.AD,Methaq Takaful Insurance P.S.C.
OEIHC.AD,Oman & Emirates Investment Holding Company SAOG
IH.AD,Insurance House P.S.C.
AKIC.AD,Al Khazna Insurance Company P.S.C.
PKSTN.AD,Chimera UCITS ICAV - Chimera S&P Pakistan UCITS ETF
