Ticker,Company
JET2.L,Jet2 plc
GGP.L,Greatland Gold plc
HCM.L,HUTCHMED (China) Limited
BUR.L,Burford Capital Limited
ROSE.L,Rosebank Industries plc
SRC.L,SigmaRoc plc
YCA.L,Yellow Cake plc
DATA.L,GlobalData Plc
FEVR.L,Fevertree Drinks PLC
PAF.L,Pan African Resources PLC
CVSG.L,CVS Group plc
UPR.L,Uniphar plc
CRW.L,Craneware plc
GRP.L,Greencoat Renewables PLC
SQZ.L,Serica Energy plc
CHRT.L,Cohort plc
JHD.L,James Halstead plc
RNWH.L,Renew Holdings plc
GWI.L,Globalworth Real Estate Investments Limited
GBG.L,GB Group plc
JDG.L,Judges Scientific plc
MPE.L,M.P. Evans Group PLC
JSG.L,Johnson Service Group PLC
VLX.L,Volex plc
BOKU.L,"Boku, Inc."
FDP.L,FD Technologies plc
YNGA.L,"Young & Co.'s Brewery, P.L.C."
YNGN.L,"Young & Co.'s Brewery, P.L.C."
NICL.L,Nichols plc
MAB1.L,Mortgage Advice Bureau (Holdings) plc
ITM.L,ITM Power Plc
LSC.L,London Security plc
CER.L,Cerillion Plc
EVPL.L,everplay group plc
AMS.L,Advanced Medical Solutions Group plc
POLR.L,Polar Capital Holdings Plc
ABDP.L,AB Dynamics plc
TAM.L,Tatton Asset Management plc
YOU.L,YouGov plc
AMRQ.L,Amaroq Minerals Ltd.
RST.L,Restore plc
TPFG.L,The Property Franchise Group PLC
TFW.L,FW Thorpe Plc
MRL.L,Marlowe plc
PTAL.L,PetroTal Corp.
FTC.L,Filtronic plc
AT.L,Ashtead Technology Holdings Plc
OGN.L,Origin Enterprises plc
RKH.L,Rockhopper Exploration plc
RWS.L,RWS Holdings plc
AGY.L,Allergy Therapeutics plc
W7L.L,Warpaint London PLC
GFM.L,Griffin Mining Limited
DEBS.L,boohoo group plc
ELIX.L,Elixirr International plc
FRP.L,FRP Advisory Group plc
PANR.L,Pantheon Resources Plc
MTL.L,Metals Exploration plc
NFG.L,Next 15 Group plc
IDOX.L,IDOX plc
FRAN.L,Franchise Brands plc
CMCL.L,Caledonia Mining Corporation Plc
HAT.L,H&T Group plc
THX.L,Thor Explorations Ltd.
CAML.L,Central Asia Metals plc
BIG.L,Big Technologies PLC
KITW.L,Kitwave Group plc
NIOX.L,NIOX Group Plc
YU.L,Yü Group PLC
FNTL.L,Fintel Plc
VIC.L,Victorian Plumbing Group plc
BPM.L,B.P. Marsh & Partners PLC
SAA.L,M&C Saatchi plc
ADVT.L,AdvancedAdvT Limited
SUP.L,Supreme Plc
IPX.L,Impax Asset Management Group Plc
DOTD.L,dotdigital Group Plc
LTHM.L,James Latham plc
SAG.L,Science Group plc
BXP.L,Beximco Pharmaceuticals Limited
FARN.L,Faron Pharmaceuticals Oy
FNX.L,Fonix Plc
HSP.L,Hargreaves Services Plc
MSI.L,MS INTERNATIONAL plc
ASY.L,Andrews Sykes Group plc
MIDW.L,Midwich Group plc
LBG.L,LBG Media plc
SVML.L,Sovereign Metals Limited
RCN.L,Redcentric plc
ACSO.L,accesso Technology Group plc
BRCK.L,Brickability Group Plc
AQX.L,Aquis Exchange PLC
NET.L,Netcall plc
KEYS.L,Keystone Law Group plc
VTU.L,Vertu Motors plc
ANCR.L,Animalcare Group plc
AAZ.L,Anglo Asian Mining PLC
SRT.L,SRT Marine Systems plc
OPT.L,Optima Health plc
SLP.L,Sylvania Platinum Limited
BMK.L,Benchmark Holdings plc
BEG.L,Begbies Traynor Group plc
TSTL.L,Tristel plc
GTLY.L,Gateley (Holdings) Plc
CNC.L,Concurrent Technologies Plc
MXCT.L,"MaxCyte, Inc."
PPHC.L,"Public Policy Holding Company, Inc."
HUW.L,Helios Underwriting plc
KIST.L,Kistos Holdings Plc
RNO.L,Renold plc
GHH.L,Gooch & Housego PLC
ARBB.L,Arbuthnot Banking Group PLC
BKS.L,Beeks Financial Cloud Group plc
CCP.L,Celtic plc
EEE.L,Empire Metals Limited
4BB.L,4basebio PLC
SAVE.L,Savannah Energy PLC
GMR.L,Gaming Realms plc
TIG.L,Team Internet Group plc
KGH.L,Knights Group Holdings plc
DUKE.L,Duke Capital Limited
EPWN.L,Epwin Group Plc
AXS.L,Accsys Technologies PLC
CAM.L,Camellia Plc
AVG.L,Avingtrans plc
AFC.L,AFC Energy plc
ELCO.L,Eleco plc
TRCS.L,Tracsis plc
BVXP.L,Bioventix PLC
SOM.L,"Somero Enterprises, Inc."
MERC.L,Mercia Asset Management PLC
SRB.L,Serabi Gold plc
ALU.L,The Alumasc Group plc
MPAC.L,Mpac Group plc
JSE.L,Jadestone Energy plc
SEE.L,Seeing Machines Limited
INSE.L,Inspired Plc
FDEV.L,Frontier Developments plc
SAAS.L,Microlise Group plc
AVCT.L,Avacta Group Plc
EKF.L,EKF Diagnostics Holdings plc
SPR.L,Springfield Properties Plc
SFT.L,Software Circle plc
AET.L,Afentra plc
QTX.L,Quartix Technologies plc
EUA.L,Eurasia Mining Plc
PMI.L,Premier Miton Group plc
KP2.L,Kore Potash plc
RFX.L,Ramsdens Holdings PLC
SPSC.L,Spectra Systems Corporation
SPSY.L,Spectra Systems Corporation
PEEL.L,Peel Hunt Limited
DEVO.L,"Devolver Digital, Inc."
TUNE.L,Focusrite plc
MBH.L,Michelmersh Brick Holdings plc
SOLI.L,Solid State plc
JLP.L,Jubilee Metals Group PLC
IQE.L,IQE plc
KETL.L,Strix Group Plc
IGP.L,Intercede Group plc
SCLP.L,Scancell Holdings plc
DXRX.L,Diaceutics PLC
CUSN.L,Cornish Metals Inc.
IES.L,Invinity Energy Systems plc
AOTI.L,"AOTI, Inc."
TRU.L,TruFin plc
TRB.L,Tribal Group plc
SDI.L,SDI Group plc
PGH.L,Personal Group Holdings Plc
DPP.L,DP Poland Plc
IGR.L,IG Design Group plc
AOM.L,ActiveOps Plc
FOG.L,Falcon Oil & Gas Ltd.
NWF.L,NWF Group plc
QED.L,Quadrise Plc
GEM.L,Gemfields Group Limited
ANP.L,Anpario plc
SAV.L,Savannah Resources Plc
LIV.L,Livermore Investments Group Limited
WYN.L,Wynnstay Group Plc
CBOX.L,Cake Box Holdings Plc
MUL.L,Mulberry Group plc
ANX.L,Anexo Group Plc
CNS.L,Corero Network Security plc
MCON.L,Mincon Group plc
VCP.L,Victoria PLC
PEBB.L,The Pebble Group plc
GMET.L,Guardian Metal Resources PLC
AURA.L,Aura Energy Limited
ZIOC.L,Zanaga Iron Ore Company Limited
LORD.L,Lords Group Trading plc
ANIC.L,Agronomics Limited
BGO.L,Bango PLC
WJG.L,Watkin Jones Plc
HVO.L,hVIVO plc
CHH.L,Churchill China plc
TMO.L,Time Out Group plc
CDGP.L,Chapel Down Group Plc
AMCO.L,Amcomri Group plc
ROAD.L,Roadside Real Estate plc
ZPHR.L,Zephyr Energy plc
JNEO.L,Journeo plc
VLG.L,Venture Life Group plc
DFCH.L,Distribution Finance Capital Holdings plc
AXL.L,Arrow Exploration Corp.
