Ticker,Company
ASML.AS,ASML Holding N.V.
SHELL.AS,Shell plc
UNA.AS,Unilever PLC
PRX.AS,Prosus N.V.
REN.AS,RELX PLC
INGA.AS,ING Groep N.V.
UMG.AS,Universal Music Group N.V.
ADYEN.AS,Adyen N.V.
HEIA.AS,Heineken N.V.
CCEP.AS,Coca-Cola Europacific Partners PLC
WKL.AS,Wolters Kluwer N.V.
AD.AS,Koninklijke Ahold Delhaize N.V.
FER.AS,Ferrovial SE
ASM.AS,ASM International NV
DSFIR.AS,DSM-Firmenich AG
MT.AS,ArcelorMittal S.A.
ABN.AS,ABN AMRO Bank N.V.
INPHI.AS,Koninklijke Philips N.V.
PHIA.AS,Koninklijke Philips N.V.
HEIO.AS,Heineken Holding N.V.
EXO.AS,Exor N.V.
CVC.AS,CVC Capital Partners plc
KPN.AS,Koninklijke KPN N.V.
NN.AS,NN Group N.V.
ASRNL.AS,ASR Nederland N.V.
JDEP.AS,JDE Peet's N.V.
HAL.AS,HAL Trust
AKZA.AS,Akzo Nobel N.V.
BESI.AS,BE Semiconductor Industries N.V.
AGN.AS,Aegon Ltd.
CTPNV.AS,CTP N.V.
INPST.AS,InPost S.A.
IMCD.AS,IMCD N.V.
RAND.AS,Randstad N.V.
VPK.AS,Koninklijke Vopak N.V.
NRP.AS,NEPI Rockcastle N.V.
REINA.AS,Reinet Investments S.C.A.
SBMO.AS,SBM Offshore N.V.
ALLFG.AS,Allfunds Group plc
BNJ.AS,Banijay Group N.V.
ARCAD.AS,Arcadis NV
TKWY.AS,Just Eat Takeaway.com N.V.
AALB.AS,Aalberts N.V.
LIGHT.AS,Signify N.V.
VLK.AS,Van Lanschot Kempen NV
THEON.AS,Theon International Plc
APAM.AS,Aperam S.A.
BAMNB.AS,Koninklijke BAM Groep nv
OCI.AS,OCI N.V.
GLPG.AS,Galapagos NV
BFIT.AS,Basic-Fit N.V.
HAVAS.AS,Havas N.V.
TWEKA.AS,TKH Group N.V.
HEIJM.AS,Koninklijke Heijmans N.V.
ECMPA.AS,Eurocommercial Properties N.V.
FUR.AS,Fugro N.V.
FLOW.AS,Flow Traders Ltd.
CRBN.AS,Corbion N.V.
FERGR.AS,Ferrari Group PLC
WHA.AS,Wereldhave N.V.
ACOMO.AS,Acomo N.V.
TOM2.AS,TomTom N.V.
PHARM.AS,Pharming Group N.V.
SLIGR.AS,Sligro Food Group N.V.
AMG.AS,AMG Critical Materials N.V.
BSGR.AS,B&S Group S.A.
YOUNI.AS,Younited Financial S.A.
BRNL.AS,Brunel International N.V.
PNL.AS,PostNL N.V.
NEDAP.AS,Nedap N.V.
NSI.AS,NSI N.V.
FAST.AS,Fastned B.V.
ENVI.AS,Envipco Holding N.V.
FFARM.AS,ForFarmers N.V.
SIFG.AS,Sif Holding N.V.
ALFEN.AS,Alfen N.V.
NXFIL.AS,NX Filtration N.V.
HYDRA.AS,Hydratec Industries NV
CMCOM.AS,CM.com N.V.
MTRK.AS,MotorK plc
AJAX.AS,AFC Ajax NV
KENDR.AS,Kendrion N.V.
TLT.AS,The London Tunnels PLC
AXS.AS,Accsys Technologies PLC
AZRN.AS,Azerion Group N.V.
QEV.AS,SPEAR Investments I B.V.
QEVT.AS,SPEAR Investments I B.V.
AVTX.AS,Avantium N.V.
HOLCO.AS,Holland Colours N.V.
CABLE.AS,Global InterConnection Group Limited
PREVA.AS,Value8 N.V.
VALUE.AS,Value8 N.V.
BACE.AS,BM3EAC Corp.
BEVER.AS,Bever Holding NV
CABKA.AS,Cabka N.V.
NAI.AS,New Amsterdam Invest N.V.
NAITR.AS,New Amsterdam Invest N.V.
CTAC.AS,Ctac N.V.
VVY.AS,Vivoryon Therapeutics N.V.
MORE.AS,Morefield Group N.V.
EBUS.AS,Ebusco Holding N.V.
ALX.AS,Alumexx N.V.
AMUND.AS,Almunda Professionals N.V.
PBH.AS,PB Holding N.V.
PORF.AS,"B.V. Delftsch Aardewerkfabriek ""De Porceleyne Fles Anno 1653"""
EAS2P.AS,Ease2pay N.V.
ECT.AS,Eurocastle Investment Limited
HWK.AS,Hawick Data N.V.
NEDSE.AS,MKB Nedsense N.V.
DGB.AS,DGB Group N.V.
LVIDE.AS,Lavide Holding N.V.
NSE.AS,New Sources Energy N.V.
AGIL.AS,Agility Capital Holding Inc.
TITAN.AS,Titan N.V.
PPLAA.AS,PPLA Participations Ltd.
PPLAB.AS,PPLA Participations Ltd.
PPLA.AS,PPLA Participations Ltd.
