Ticker,Company
ARBN.AQ,Arbuthnot Banking Group PLC
COIN.AQ,Coinsilium Group Limited
SNOX.AQ,SulNOx Group PLC
SHEP.AQ,Shepherd Neame Limited
THW.AQ,Daniel Thwaites PLC
ORA.AQ,Sundae Bar Plc
EDX.AQ,EDX Medical Group Plc
RGG.AQ,RentGuarantor Holdings PLC
CUSH.AQ,CRUSHMETRIC Group Limited
ALSP.AQ,Ace Liberty & Stone Plc
OBE.AQ,Oberon Investments Group Plc
MCJ.AQ,Majestic Corporation Plc
PNIX.AQ,Phoenix Digital Assets Plc
NYR.AQ,Newbury Racecourse plc
ECP.AQ,Eight Capital Partners Plc
TAP.AQ,Tap Global Group Plc
EQIP.AQ,Equipmake Holdings Plc
ATC.AQ,All Things Considered Group Plc
GDLF.AQ,Good Life Plus Plc
MARU.AQ,Marula Mining PLC
ADB.AQ,Adnams plc
UNX.AQ,Unigel Group plc
ANA.AQ,Ananda Pharma Plc
PBX.AQ,ProBiotix Health Plc
ESSN.AQ,Essentially Group PLC
CFCP.AQ,Capital For Colleagues Plc
HEV.AQ,Helium Ventures Plc
INQO.AQ,Inqo Investments Limited
VLRM.AQ,Valereum Plc
SLWD.AQ,Silverwood Brands plc
COOK.AQ,Cooks Coffee Company Limited
FNK.AQ,Fenikso Limited
BSP.AQ,Black Sea Property Plc
TTA.AQ,Time to Act Plc
INC.AQ,Incanthera plc
BWAP.AQ,BWA Group Plc
HYDP.AQ,"Hydro Hotel, Eastbourne, PLC"
HRIP.AQ,Hot Rocks Investments plc
WCAP.AQ,WeCap plc
AAI.AQ,Amazing AI Plc
SOL.AQ,Supernova Digital Assets Plc
ALH.AQ,Amirose London Holdings PLC
KASH.AQ,Kasei Digital Assets Plc
VULT.AQ,Vault Ventures Plc
MCAP.AQ,Macaulay Capital Plc
ADS.AQ,Adsure Services PLC
FSD.AQ,Field Systems Designs Holdings Plc
AWLP.AQ,Asia Wealth Group Holdings Limited
TTAU.AQ,Stratmin Global Resources PLC
NYCE.AQ,Nyce International Plc
DXSP.AQ,DXS International PLC
MUSH.AQ,Oscillate plc
VOY.AQ,Mendell Helium plc
VSA.AQ,VSA Capital Group plc
CIA.AQ,Clean Invest Africa Plc
HFI.AQ,Hydrogen Future Industries plc
TSP.AQ,TruSpine Technologies Plc
SHNJ.AQ,Richmond Hill Resources PLC
GCAP.AQ,Globe Capital Limited
WTG.AQ,Watchstone Group plc
WAFR.AQ,Walls & Futures Reit Plc
ORM.AQ,Ormonde Mining plc
SVEN.AQ,S-Ventures Plc
LFT.AQ,Lift Global Ventures Plc
KING.AQ,Igraine Plc
GDH.AQ,Gledhow Investments Plc
PSY.AQ,Shortwave Life Sciences Plc
MOY.AQ,Mollyroe Plc
EVA.AQ,Evrima PLC
VVV.AQ,VVV Resources Limited
TECH.AQ,TechFinancials Inc
VIS.AQ,Visum Technologies plc
GWIN.AQ,Gowin New Energy Group Limited
