Ticker,Company
JOPH.AM,Jordan Phosphate Mines Co. Plc
ARBK.AM,Arab Bank Group
APOT.AM,Arab Potash Company
THBK.AM,The Housing Bank for Trade and Finance
JOIB.AM,Jordan Islamic Bank
JTEL.AM,Jordan Telecommunications Company
CAPL.AM,Capital Bank of Jordan
JOPT.AM,Jordan Petroleum Refinery Co. Ltd.
BOJX.AM,Bank of Jordan
JOKB.AM,Jordan Kuwait Bank
UBSI.AM,Bank al Etihad
SIBK.AM,Safwa Islamic Bank
JOEP.AM,Jordan Electric Power Company
CABK.AM,Cairo Amman Bank
INVB.AM,Invest Bank
AHLI.AM,Jordan Ahli Bank
AJIB.AM,Arab Jordan Investment Bank
MANE.AM,Afaq For Energy Co. P.L.C
JDFS.AM,Jordanian Duty Free Shops
IREL.AM,Irbid District Electricity Co. Ltd.
JCBK.AM,Jordan Commercial Bank
AIEI.AM,Arab International Company for Education and Investment
GIGJ.AM,Gulf Insurance Group - Jordan
ABCO.AM,Arab Banking Corporation (Jordan)
PEDC.AM,Petra Education Company PLC
ZARA.AM,Zara Investment Holding Company
ZEIC.AM,Zarka Educational & Investment Co.
TAJM.AM,"Al - Tajamouat for Touristic Projects, plc."
MBED.AM,The Arab Pesticides & Veterinary Drugs Mfg. Co.
AEIV.AM,Arab East Investment Company PLC
DADI.AM,Dar Al Dawa Development and Investment Co. Ltd.
BIND.AM,Bindar for Islamic Finance Company
SHIP.AM,Jordan National Shipping Lines Company
CICO.AM,The Consulting & Investment Co. Group. Ltd.
UCIC.AM,United Cable Industries Company PLC
PIEC.AM,Philadelphia Int'l Educational Investment Company (PLC)
MEET.AM,Methaq Real Estate Investment Company P.S.C.
HPIC.AM,Hayat Pharmaceutical Industries Co. PLC
TIIC.AM,The Islamic Insurance Company
MEIN.AM,Middle East Insurance Co.
AIHO.AM,Arab International Hotels PLC.
FINS.AM,First Insurance Company
JERY.AM,Jerusalem Insurance Co. (L.T.D)
REDV.AM,Real Estate Development Company PLC
RMCC.AM,Ready Mix Concrete and Construction Supplies
FRST.AM,First Jordan Investment Company PLC
JRCD.AM,Jordanian Real Estate Company for Development
SITT.AM,Salam International Transport and Trading Company
MALL.AM,Al Dawliyah For Hotels And Malls P.L.C.
IDMC.AM,Ad-Dulayl Industrial Park & Real Estate Company P.L.C
JETT.AM,Jordan Express Tourist Transport Co. Ltd
PROF.AM,Almehanya for Real Estate Investments & Housing Co. P.L.C.
DERA.AM,Deera Investment & Real Estate Development Co.
FFCO.AM,First Finance Company
PHNX.AM,Arab Phoenix Holding Company
ASPMM.AM,Arabian Steel Pipes Manufacturing Co.
JVOI.AM,Jordan Vegetable Oil Industries Co. Ltd.
FUTR.AM,Future Arab Investment Company
JDPC.AM,Jordan Decapolis Properties
OFTC.AM,Offtec Holding Group Company (P.L.C.)
ICAG.AM,Industrial Commercial & Agricultural Public Limited Company
ABUS.AM,Comprehensive Multiple Transportations Company
MSFT.AM,Masafat for Specialised Transport Company
SANA.AM,Al-Sanabel International For Islamic Investment (Holding) Plc
ATCO.AM,Injaz for Development and Projects Company P.L.C
JEIH.AM,Jordanian Expatriates Investment Holding Company
AICJ.AM,Arabia Insurance Company - Jordan
JIJC.AM,Jordan International Insurance Company
ATTA.AM,Comprehensive Land Development and Investment Company (P.L.C)
ARGR.AM,Arab Jordanian Insurance Group
CEBC.AM,Al-Faris National Company for Investment & Export P.L.C.
JODA.AM,Jordan Dairy Company Ltd.
SPIC.AM,Specialized Investment Compounds Company
JNTH.AM,Al-Tajamouat For Catering And Housing Co Plc
AQRM.AM,Al Quds Readymix PLC
JPPC.AM,Jordan Poultry Processing & Marketing Co. PLC
JOFR.AM,Jordan French Insurance Co. (P.L.C.)
NATA.AM,National Aluminium Industrial Co.
SHRA.AM,Shira Real Estate Development and Investments Company(P.L.C)
DARA.AM,Darat Jordan Holdings Company
COHO.AM,Contempro For Housing Projects P.L.C.
ASAS.AM,ASSAS FOR CONCRETE PRODUCTS Ltd.
NAQL.AM,Transport & Investment Barter Company
AQAR.AM,Real Estate & Investment Portfolio Co.
THMA.AM,Tuhama Investments Company
JIIG.AM,Jordan International Investment Co.
DAIF.AM,Dar Al Aman for Islamic Finance
JOST.AM,Jordan Steel P.L.C.
HIPR.AM,"High Performance Real Estate Investments Co.,P.L.C."
MHFZ.AM,National Portfolio Securities Group
JITC.AM,Jordan International Trading Center Co.Ltd.
CEIG.AM,Century Investment Group
LEIN.AM,Latent Energies For Investments
SABK.AM,Saba'ek Invest Company PLC
AMON.AM,Amoun International for Investments Company
UINV.AM,Union Investment Corp. P.L.C.
MIIC.AM,Al Manara Islamic Insurance Company
JEDI.AM,DIMENSIONS: JORDAN AND EMIRATES COMMERCIAL INVESTMENTS CORPORATION
NAST.AM,National Steel Industry Co. Ltd.
