Ticker,Company
CBA.AX,Commonwealth Bank of Australia
BHP.AX,BHP Group Limited
RIO.AX,Rio Tinto Group
NAB.AX,National Australia Bank Limited
CSL.AX,CSL Limited
WBC.AX,Westpac Banking Corporation
NEM.AX,Newmont Corporation
WES.AX,Wesfarmers Limited
ANZ.AX,ANZ Group Holdings Limited
MQG.AX,Macquarie Group Limited
GMG.AX,Goodman Group
XYZ.AX,"Block, Inc."
RMD.AX,ResMed Inc.
TLS.AX,Telstra Group Limited
WDS.AX,Woodside Energy Group Ltd
FMG.AX,Fortescue Ltd
TCL.AX,Transurban Group
ALL.AX,Aristocrat Leisure Limited
WOW.AX,Woolworths Group Limited
WTC.AX,WiseTech Global Limited
QBE.AX,QBE Insurance Group Limited
BXB.AX,Brambles Limited
AMC.AX,Amcor plc
REA.AX,REA Group Limited
XRO.AX,Xero Limited
NST.AX,Northern Star Resources Limited
COL.AX,Coles Group Limited
PME.AX,Pro Medicus Limited
NWS.AX,News Corporation
NWSLV.AX,News Corporation
STO.AX,Santos Limited
SUN.AX,Suncorp Group Limited
CPU.AX,Computershare Limited
SGH.AX,SGH Limited
IAG.AX,Insurance Australia Group Limited
URW.AX,Unibail-Rodamco-Westfield SE
FPH.AX,Fisher & Paykel Healthcare Corporation Limited
SCG.AX,Scentre Group
COH.AX,Cochlear Limited
ORG.AX,Origin Energy Limited
JHX.AX,James Hardie Industries plc
EVN.AX,Evolution Mining Limited
QAN.AX,Qantas Airways Limited
SOL.AX,Washington H. Soul Pattinson and Company Limited
CAR.AX,CAR Group Limited
MEZ.AX,Meridian Energy Limited
MPL.AX,Medibank Private Limited
SGP.AX,Stockland
ASX.AX,ASX Limited
TNE.AX,Technology One Limited
S32.AX,South32 Limited
SHL.AX,Sonic Healthcare Limited
AIA.AX,Auckland International Airport Limited
JBH.AX,JB Hi-Fi Limited
TLC.AX,The Lottery Corporation Limited
VCX.AX,Vicinity Centres
AAI.AX,Alcoa Corporation
APA.AX,APA Group
LNW.AX,"Light & Wonder, Inc."
REH.AX,Reece Limited
BSL.AX,BlueScope Steel Limited
TPG.AX,TPG Telecom Limited
GPT.AX,The GPT Group
IFT.AX,Infratil Limited
AFI.AX,Australian Foundation Investment Company Limited
CHC.AX,Charter Hall Group
ORI.AX,Orica Limited
NXT.AX,NEXTDC Limited
MGR.AX,Mirvac Group
LYC.AX,Lynas Rare Earths Limited
ALQ.AX,ALS Limited
SEK.AX,SEEK Limited
TLX.AX,Telix Pharmaceuticals Limited
RHC.AX,Ramsay Health Care Limited
YAL.AX,Yancoal Australia Ltd
MCY.AX,Mercury NZ Limited
ALX.AX,Atlas Arteria Limited
ATM.AX,PT Aneka Tambang Tbk
NWL.AX,Netwealth Group Limited
QUB.AX,Qube Holdings Limited
DXS.AX,DEXUS
360.AX,"Life360, Inc."
EDV.AX,Endeavour Group Limited
BEN.AX,Bendigo and Adelaide Bank Limited
EBO.AX,EBOS Group Limited
WOR.AX,Worley Limited
ARG.AX,Argo Investments Limited
AGL.AX,AGL Energy Limited
CEN.AX,Contact Energy Limited
HVN.AX,Harvey Norman Holdings Limited
TWE.AX,Treasury Wine Estates Limited
HUB.AX,HUB24 Limited
SDF.AX,Steadfast Group Limited
CSC.AX,Capstone Copper Corp.
ALD.AX,Ampol Limited
CWY.AX,Cleanaway Waste Management Limited
NXG.AX,NexGen Energy Ltd.
A2M.AX,The a2 Milk Company Limited
GQG.AX,GQG Partners Inc.
CGF.AX,Challenger Limited
AZJ.AX,Aurizon Holdings Limited
SFR.AX,Sandfire Resources Limited
GMD.AX,Genesis Minerals Limited
BOQ.AX,Bank of Queensland Limited
BKW.AX,Brickworks Limited
CGFPD.AX,Challenger Limited
DNL.AX,Dyno Nobel Limited
WHC.AX,Whitehaven Coal Limited
PRU.AX,Perseus Mining Limited
CMM.AX,Capricorn Metals Ltd
APE.AX,Eagers Automotive Limited
ANN.AX,Ansell Limited
PNI.AX,Pinnacle Investment Management Group Limited
BRG.AX,Breville Group Limited
DOW.AX,Downer EDI Limited
VNT.AX,Ventia Services Group Limited
AUB.AX,AUB Group Limited
MTS.AX,Metcash Limited
MIN.AX,Mineral Resources Limited
SPK.AX,Spark New Zealand Limited
PLS.AX,Pilbara Minerals Limited
LLC.AX,Lendlease Group
GOR.AX,Gold Road Resources Limited
BFL.AX,BSP Financial Group Limited
CDA.AX,Codan Limited
ZIP.AX,Zip Co Limited
RRL.AX,Regis Resources Limited
