Ticker,Company
KFH.BH,Kuwait Finance House K.S.C.P.
ALBH.BH,Aluminium Bahrain B.S.C.
NBB.BH,National Bank of Bahrain B.S.C.
BBK.BH,Bank of Bahrain and Kuwait B.S.C.
BEYON.BH,Beyon B.S.C.
SALAM.BH,Al Salam Bank B.S.C.
GFH.BH,GFH Financial Group BSC
ABC.BH,Arab Banking Corporation (B.S.C.)
APMTB.BH,APM Terminals Bahrain B.S.C.
BISB.BH,Bahrain Islamic Bank B.S.C.
ARIG.BH,Arab Insurance Group (B.S.C.)
SOLID.BH,Solidarity Bahrain B.S.C.
BNH.BH,Bahrain National Holding Company B.S.C.
DUTYF.BH,Bahrain Duty Free Shop Complex BSC
BCFC.BH,Bahrain Commercial Facilities Company BSC
SEEF.BH,Seef Properties B.S.C.
ZAINBH.BH,Zain Bahrain B.S.C.
INOVEST.BH,Inovest B.S.C.
TRAFCO.BH,Trafco Group B.S.C.
NASS.BH,Nass Corporation BSC
CPARK.BH,Bahrain Car Parks Company (Amakin) B.S.C.
BFM.BH,Bahrain Flour Mills Company B.S.C.
FAMILY.BH,Bahrain Family Leisure Company B.S.C.
