Ticker,Company
MSFT.BA,Microsoft Corporation
V.BA,Visa Inc.
ABBV.BA,AbbVie Inc.
KO.BA,The Coca-Cola Company
UNH.BA,UnitedHealth Group Incorporated
MCD.BA,McDonald's Corporation
AMD.BA,"Advanced Micro Devices, Inc."
PEP.BA,"PepsiCo, Inc."
PFE.BA,Pfizer Inc.
INTC.BA,Intel Corporation
NKE.BA,"NIKE, Inc."
MMM.BA,3M Company
YPFD.BA,YPF Sociedad Anónima
PAAS.BA,Pan American Silver Corp.
GGAL.BA,Grupo Financiero Galicia S.A.
VIST.BA,"Vista Energy, S.A.B. de C.V."
BMA.BA,Banco Macro S.A.
TGSU2.BA,Transportadora de Gas del Sur S.A.
TGSUD.BA,Transportadora de Gas del Sur S.A.
PAMP.BA,Pampa Energía S.A.
TECO2.BA,Telecom Argentina S.A.
BBAR.BA,Banco BBVA Argentina S.A.
TXAR.BA,Ternium Argentina S.A.
CEPU.BA,Central Puerto S.A.
ALUA.BA,Aluar Aluminio Argentino S.A.I.C.
LOMA.BA,Loma Negra Compañía Industrial Argentina Sociedad Anónima
BYMA.BA,Bolsas y Mercados Argentinos S.A.
EDN.BA,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima
BPAT.BA,Banco Patagonia S.A.
TGNO4.BA,Transportadora de Gas del Norte S.A.
IRSA.BA,IRSA Inversiones y Representaciones Sociedad Anónima
CVH.BA,Cablevisión Holding S.A.
SUPV.BA,Grupo Supervielle S.A.
METR.BA,MetroGAS S.A.
TRAN.BA,Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.
MOLA.BA,Molinos Agro S.A.
CAPX.BA,Capex S.A.
CRES.BA,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria"
CGPA2.BA,Camuzzi Gas Pampeana S.A.
PATA.BA,Sociedad Anónima Importadora y Exportadora de la Patagonia
A3.BA,A3 Mercados S.A.
CTIO.BA,Consultatio S.A.
MOLI.BA,Molinos Rio de la Plata S.A.
MOLI5.BA,Molinos Rio de la Plata S.A.
ECOG.BA,Ecogas Inversiones S.A.
GBAN.BA,"Naturgy BAN, S.A."
HARG.BA,Holcim (Argentina) S.A.
BHIP.BA,Banco Hipotecario S.A.
COME.BA,Sociedad Comercial del Plata S.A.
LEDE.BA,Ledesma Sociedad Anónima Agrícola Industrial
MIRG.BA,"Mirgor Sociedad Anónima, Comercial, Industrial, Financiera, Inmobiliaria y Agropecuaria"
BIOX.BA,Bioceres Crop Solutions Corp.
VALO.BA,Banco de Valores S.A.
GCLA.BA,Grupo Clarín S.A.
DGCU2.BA,Distribuidora de Gas Cuyana S.A.
HAVA.BA,Havanna Holding S.A.
DGCE.BA,Distribuidora de Gas del Centro S.A.
CECO2.BA,Central Costanera S.A.
AUSO.BA,Autopistas Del Sol SA
INVJ.BA,Inversora Juramento S.A.
FERR.BA,Ferrum S.A. de Cerámica y Metalurgia
OEST.BA,Grupo Concesionario del Oeste S.A.
RICH.BA,Laboratorios Richmond S.A.C.I.F.
BOLT.BA,Boldt S.A.
RIGO.BA,Rigolleau S.A.
GRIM.BA,Grimoldi S.A.
SAMI.BA,S.A. San Miguel A.G.I.C.I. y F.
GAMI.BA,B-Gaming S.A.
MORI.BA,Morixe Hermanos S.A.C.I.
SEMI.BA,Molinos Juan Semino S.A.
AGRO.BA,Agrometal S.A.I.
CADO.BA,Carlos Casado S.A.
INTR.BA,Compañía Introductora de Buenos Aires S.A.
DYCA.BA,IEB Construcciones S.A.
FIPL.BA,Fiplasto S.A.
CARC.BA,Carboclor S.A.
CELU.BA,Celulosa Argentina S.A.
GCDI.BA,GCDI S.A.
LONG.BA,Longvie S.A.
INAG.BA,Insumos Agroquímicos S.A.
REGE.BA,"García Reguera Sociedad Anónima Comercial, Industrial, Financiera e Inmobiliaria"
ROSE.BA,Instituto Rosenbusch S.A.
GARO.BA,Garovaglio y Zorraquín S.A.
DOME.BA,DOMEC Compañía de Artefactos Domésticos S.A.I.C.y F.
POLL.BA,"Polledo Sociedad Anonima, Industrial, Constructora y Financiera"
EDSH.BA,EDESA Holding S.A.
HSAT.BA,Holdsat S.A.
