Ticker,Company
SNTS.BR,Sonatel SA
ORAC.BR,Orange CI
SGBC.BR,Société Générale Côte d'Ivoire - Société Anonyme
ECOC.BR,Ecobank Côte d'Ivoire
SIBC.BR,Société Ivoirienne de Banque S.A.
CBIBF.BR,Coris Bank International SA
STBC.BR,Societe Ivoirienne Des Tabacs S A
SLBC.BR,Societe de Limonaderies et de Boissons Rafraichissantes d'Afrique
BICC.BR,"Banque Internationale pour le Commerce et l'Industrie de la Côte d'Ivoire, S.A."
ETIT.BR,Ecobank Transnational Incorporated
BOAC.BR,Bank of Africa - Côte D'ivoire
NSBC.BR,NSIA Banque Société Anonyme
BOAB.BR,Bank of Africa - Benin SA
SOGC.BR,Société des Caoutchoucs de Grand-Béréby Société Anonyme
SPHC.BR,Societe Africaine de Plantations d'Heveas Société anonyme
ONTBF.BR,ONATEL-SA
TTLC.BR,TotalEnergies Marketing Côte d'Ivoire S.A.
BOABF.BR,Bank of Africa - Burkina Faso
BOAS.BR,Bank Of Africa Senegal
CIEC.BR,"Compagnie Ivoirienne d'Électricité (CIE), S.A."
ORGT.BR,Oragroup SA
PALC.BR,"Palmci, S.A."
CFAC.BR,CFAO Motors Cote d'Ivoire SA
UNLC.BR,"Unilever Côte d'Ivoire, S.A."
LNBB.BR,Loterie Nationale du Bénin Société Anonyme
TTLS.BR,TotalEnergies Marketing Sénégal SA
SDSC.BR,Africa Global Logistics (AGL) Côte d'Ivoire S.A.
BOAM.BR,Bank of Africa Mali SA
FTSC.BR,Filtisac S.A.
SMBC.BR,Société Multinationale de Bitumes Société Anonyme
SHEC.BR,Vivo Energy Cote d'Ivoire SA
SDCC.BR,"Société de Distribution d'Eau de la Côte d'Ivoire, S.A."
BOAN.BR,Bank of Africa Niger
PRSC.BR,Tractafric Motors Côte d'Ivoire S A
ABJC.BR,Servair Abidjan S.A.
SCRC.BR,Sucrivoire SA
NTLC.BR,Nestle Cote D'Ivoire S.A.
UNXC.BR,Uniwax SA
BNBC.BR,Bernabe Cote D'ivoire SA
NEIC.BR,Nouvelles Editions Ivoiriennes-Centre d'Editions et de Diffusion Africaines Société anonyme
CABC.BR,SICABLE - Société Ivoirienne De Cables S.A.
STAC.BR,Societe d Etudes et de Travaux pour l Afrique de l Ouest
SIVC.BR,Air Liquide Côte d'Ivoire Société Anonyme
SICC.BR,Societe Ivoirienne de Coco Rape SA
SAFC.BR,Alios Finance Ivory Coast
