Ticker,Company
RHMB.ST,Rheinmetall AG
ADS1.ST,adidas AG
ZZMS.ST,Commerzbank AG
HENE.ST,Henkel AG & Co. KGaA
MTX1.ST,MTU Aero Engines AG
SYIEY.ST,Symrise AG
PAHA.ST,Porsche Automobil Holding SE
EVD0.ST,CTS Eventim AG & Co. KGaA
HLEA.ST,HELLA GmbH & Co. KGaA
TKA1.ST,thyssenkrupp AG
PSMA.ST,ProSiebenSat.1 Media SE
MEOD.ST,Ceconomy AG
SHF.ST,SNP Schneider-Neureither & Partner SE
DWB.ST,Dinkelacker AG
4JMA.ST,Jumia Technologies AG
GTY.ST,Gateway Real Estate AG
6BO.ST,Bloober Team SA
ABHA.ST,Hasen-Immobilien AG
EFS.ST,Effecten-Spiegel AG
EFS3.ST,Effecten-Spiegel AG
GBQ.ST,GBK Beteiligungen AG
BBR.ST,Bürgerliches Brauhaus Ravensburg - Lindau Aktiengesellschaft
8FE.ST,Forever Entertainment S.A.
VFF.ST,Vereinigte Filzfabriken AG
CRZK.ST,CR Energy AG
DLB.ST,DLB-Anlageservice AG
HRU.ST,Horus AG
QS6A.ST,Q-Soft Verwaltungs AG
SBV.ST,Schwabenverlag AG
MF6.ST,MagForce AG
