Ticker,Company
OTP.BU,OTP Bank Nyrt.
MOL.BU,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság
RICHTER.BU,Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt.
MBHBANK.BU,MBH Bank Nyrt
MTELEKOM.BU,Magyar Telekom Távközlési Nyilvánosan Müködö Részvénytársaság
4IG.BU,4iG Nyrt.
OPUS.BU,OPUS GLOBAL Nyrt.
ANY.BU,ANY Biztonsági Nyomda Nyrt.
BIF.BU,Budapesti Ingatlan Hasznosítási és Fejlesztési Nyrt.
ALTEO.BU,ALTEO Energy Services Public Limited Company
WABERERS.BU,Waberer's International Nyrt.
MBHJB.BU,MBH Jelzálogbank Nyilvánosan Muködo Részvénytársaság
AUTOWALLIS.BU,AutoWallis Nyilvánosan Muködo Részvénytársaság
SPLUS.BU,Shopper Park Plus Nyilvánosan Muködo Részvénytársaság
ZWACK.BU,Zwack Unicum Nyrt.
GSPARK.BU,Graphisoft Park SE Ingatlanfejleszto Európai Részvénytársaság
MASTERPLAST.BU,Masterplast Nyrt.
BET.BU,Budapesti Értéktozsde Nyilvánosan Muködo Részvénytársaság
NATURLAND.BU,NATURLAND Holding Vagyonkezelo es Befektetesi Nyilvanosan Mukodo Reszvenytarsasag
CIGPANNONIA.BU,CIG Pannónia Életbiztosító Nyrt
APPENINN.BU,Appeninn Vagyonkezelo Holding Nyilvánosan Muködo Részvénytársaság
DUNAHOUSE.BU,Duna House Holding Nyrt.
DELTA.BU,Delta Technologies Nyrt.
PANNERGY.BU,PannErgy Nyrt.
MULTIHOME.BU,Multihome Ingatlanforgalmazo Zartkoruen Mukodo Reszvenytarsasag
RABA.BU,RÁBA Jármuipari Holding Nyrt.
GLOSTER.BU,Gloster Digital Group Nyilvánosan Muködo Részvénytársaság
AKKO.BU,AKKO Invest Nyrt.
NAP.BU,NAP Nyilvánosan Muködo Részvénytársaság
ESENSE.BU,eSense Human Resources Szolgáltató Nyilvánosan Muködo Részvénytársaság
VERTIKAL.BU,Vertikal Group Zartkoruen Mukodo Reszvenytarsasag
OXOTECH.BU,OXO Technologies Holding Nyilvánosan Muködo Reszvenytarsasag
CIVITA.BU,Civita Group Nyilvanosan Mukodo Reszvenytarsasag
ASTRASUN.BU,Astrasun Solar Zartkoruen Mukodo Reszvenytarsasag
STRT.BU,STRT Holding Nyrt.
AMIXA.BU,Amixa Holding Nyilvánosan Muködo Részvénytársaság
MEGAKRAN.BU,MEGAKRÁN Kereskedelmi és Szolgáltató Nyilvánosan Muködo Részvénytársaság
DMKER.BU,DM-KER Nyilvánosan Muködo Részvénytársaság
VVT.BU,ViVeTech Nyilvanosan Mukodo Reszvenytarsasag
EPDUFERR.BU,ÉPDUFERR Nyilvánosan Muködo Részvénytársaság
NUTEX.BU,NUTEX Investments Public Limited Company
ENEFI.BU,ENEFI Vagyonkezelo Nyrt.
ORMESTER.BU,Ormester Vagyonvédelmi Nyrt.
NORDGENERAL.BU,Nord General Nyilvánosan Mukodo Részvénytársaság
FUTURAQUA.BU,FuturAqua Ásványvíztermelo és Vagyonkezelo Nyilvánosan Muködo Részvénytársaság
