Ticker,Company
SLYG.BU,Shelly Group SE
THQM.BU,Tchaikapharma High Quality Medicines AD
SFA.BU,Sopharma AD
SPDY.BU,Speedy AD
FIB.BU,First Investment Bank AD
EUBG.BU,Eurohold Bulgaria AD
SO.BU,Smart Organic AD
MSH.BU,M+S Hydraulic AD
HVAR.BU,Holding Varna AD
TIB.BU,Telematic Interactive Bulgaria EAD
GR6.BU,Gradus AD
BACB.BU,Bulgarian-American Credit Bank AD
ATER.BU,Advance Terrafund REIT
SYN.BU,Synthetica AD
CCB.BU,Central Cooperative Bank AD
ODES.BU,Odessos Shiprepair Yard S.A.
SFT.BU,Sopharma Trading AD
DUH.BU,Doverie United Holding AD
SPH.BU,Stara Planina Hold Plc
T57.BU,Trace Group Hold PLC
SFI.BU,Sopharma Properties REIT
ATOM.BU,Atomenergoremont AD
BREF.BU,Bulgarian Real Estate Fund REIT
CHIM.BU,Chimimport AD
IHB.BU,Industrial Holding Bulgaria AD
AGH.BU,Agria Group Holding AD
ALFB.BU,Alpha Bulgaria AD
TXIM.BU,Texim Bank AD
BSE.BU,Bulgarian Stock Exchange AD
TBS.BU,Telelink Business Services Group AD
ALB.BU,Albena AD
FPP.BU,Fairplay Properties REIT
ALCM.BU,Alcomet AD
HES.BU,Hydraulic Elements and Systems AD
SKEH.BU,St. St. Constantine and Helena Holding JSC
MONB.BU,Monbat AD
WISR.BU,Wiser Technology AD
EMKA.BU,EMKA AD
SGH.BU,Sirma Group Holding AD
TCH.BU,TK - Hold AD
SCOM.BU,Sofia Commerce-Pawn Brokerage AD
BMTL.BU,Bulmetal JSC
NEOH.BU,Neochim AD
KBG.BU,Korado-Bulgaria AD
EAC.BU,ELANA Agrocredit AD
KAU.BU,Kauchuk AD
NGAZ.BU,Oil and Gas Exploration and Production AD
HIKA.BU,Industrial Capital Holding AD
11C.BU,Eleven Capital AD
BPF.BU,Bravo Property Fund REIT
HLEV.BU,Zlaten Lev Holding
HRC.BU,HR Capital AD
MFG.BU,MFG Invest AD
NLC.BU,Neo London Capital PLC
ZHBG.BU,Zarneni Hrani Bulgaria AD
DEX.BU,Decotex AD
PET.BU,Petrol AD
PF99.BU,Port Fleet 99 AD
SNRG.BU,Synergon Holding AD
ELHM.BU,Elhim Iskra AD
VINA.BU,RES Invest Holding AD
RBL.BU,Real Bulland AD
VEGA.BU,Vega AD
YGAG.BU,Yuri Gagarin PLC
IMP.BU,ImPulse Growth AD
WIN.BU,Webit Investment Network AD
BBRD.BU,Billboard AD
BHC.BU,Bulgarian Holding Company AD
SIN.BU,Sin Cars Industry AD
BDT.BU,Biodit AD
SLB.BU,Slanchev Bryag AD
MELI.BU,Mellifera AD
BLRN.BU,Boleron AD
FFI.BU,Forucom REIT-Haskovo
ZNTH.BU,Zenith Investment Holding AD
