Ticker,Company
EBS.RO,Erste Group Bank AG
H2O.RO,S.P.E.E.H. Hidroelectrica S.A.
SNP.RO,OMV Petrom S.A.
TLV.RO,Banca Transilvania S.A.
SNG.RO,SNGN Romgaz SA
BRD.RO,BRD - Groupe Société Générale S.A.
SNN.RO,S.N. Nuclearelectrica S.A.
DIGI.RO,Digi Communications N.V.
TGN.RO,S.N.T.G.N. Transgaz S.A.
EL.RO,Societatea Energetica Electrica S.A.
TEL.RO,CNTEE Transelectrica SA
M.RO,Med Life S.A.
SCD.RO,Zentiva S.A.
CRC.RO,Chimcomplex S.A.
PE.RO,Premier Energy PLC
ONE.RO,One United Properties SA
RRC.RO,Rompetrol Rafinare S.A.
AQ.RO,Aquila Part Prod Com S.A.
ATB.RO,Antibiotice S.A.
SFG.RO,Sphera Franchise Group S.A.
LION.RO,Lion Capital S.A.
EVER.RO,Evergent Investments SA
ARS.RO,Aerostar S.A.
FP.RO,Fondul Proprietatea SA
INFINITY.RO,Infinity Capital Investments S.A.
TRP.RO,Teraplast S.A.
GREEN.RO,Green Tech International S.A.
ALR.RO,Alro S.A.
SOCP.RO,SOCEP S.A.
WINE.RO,Purcari Wineries Public Company Limited
CMVX.RO,Comvex S.A.
TTS.RO,TTS (Transport Trade Services) S.A.
BIO.RO,Biofarm S.A.
COTE.RO,Conpet S.A.
AROBS.RO,AROBS Transilvania Software S.A.
IMP.RO,Impact Developer & Contractor S.A.
SMTL.RO,Simtel Team S.A.
OIL.RO,Oil Terminal S.A.
BVB.RO,Bursa de Valori Bucuresti SA
GSH.RO,GRUP SERBAN HOLDING SA
SCDM.RO,S.C. Unirea Shopping Center S.A.
DN.RO,Dn Agrar Group S.A.
PBK.RO,Patria Bank SA
FOSB.RO,SC Foraj Sonde SA Craiova
IARV.RO,IAR S.A.
TUFE.RO,S.C. Turism Felix S.A.
VNC.RO,Vrancart S.A.
VAC.RO,Prodvinalco SA
SNC.RO,Santierul Naval Constanta S.A.
PTR.RO,Rompetrol Well Services SA
RCHI.RO,Societatea Comerciala Compania Hoteliera Intercontinental Romania S.A.
CBC.RO,Carbochim S.A.
BUCU.RO,S.C. Bucur Obor S.A.
ARO.RO,S.C. Aro-Palace S.A.
ROC1.RO,Roca Industry Holdingrock1 S.A.
FOJE.RO,S.C. Foraj Sonde S.A.
PPL.RO,S.C. Promateris S.A.
ELMA.RO,Electromagnetica S.A.
TBM.RO,Turbomecanica SA
IORB.RO,S.C. IOR S.A.
IPRU.RO,S.C. Iproeb S.A.
SAFE.RO,Safetech Innovations S.A.
PREH.RO,Prefab S.A.
JTG.RO,SC J.T. Grup Oil SA
ARCU.RO,Sifi Cluj Retail SA
MOIB.RO,S.C. Moara Cibin S.A.
AG.RO,Agroland Business System S.A.
BENTO.RO,2B Intelligent Soft S.A.
AVIO.RO,Avioane Craiova S.A.
CMP.RO,Compa S.A.
BNET.RO,Bittnet Systems SA
ARTE.RO,S.C. Artego S.A.
SPX.RO,Sipex Company S.A.
ALU.RO,Alumil Rom Industry S.A.
AST.RO,Arctic Stream S.A.
EFO.RO,"Turism, Hoteluri, Restaurante Marea Neagra S.A."
RPH.RO,S.C. Ropharma S.A.
CC.RO,Connections Consult S.A.
CMF.RO,Comelf S.A.
PREB.RO,S.C. Prebet Aiud S.A.
SNO.RO,Santierul Naval Orsova S.A.
ARCV.RO,S.C. Imotrust S.A.
ALDANI.RO,ALDANI MASTER CAPITAL S.A.
ROCE.RO,S.C. Romcarbon S.A.
CICO.RO,Ci-Co S.a. Bucharest
MACO.RO,S.C. Macofil S.A.
RMAH.RO,Farmaceutica REMEDIA S.A.
PRSN.RO,S.C.Prospectiuni S.A.
ELZY.RO,Electroprecizia S.A.
TSLA.RO,Transilvania Leasing IFN SA
