Ticker,Company
GOOG.PE,Alphabet Inc.
GOOGL.PE,Alphabet Inc.
META.PE,"Meta Platforms, Inc."
BBVA.PE,"Banco Bilbao Vizcaya Argentaria, S.A."
BAP.PE,Credicorp Ltd.
CREDITC1.PE,Banco de Crédito del Perú S.A.
CVERDEC1.PE,Sociedad Minera Cerro Verde S.A.A.
BACKUSI1.PE,Unión de Cervecerías Peruanas Backus y Johnston S.A.A.
SHPC1.PE,Shougang Hierro Peru S.a.a.
IFS.PE,Intercorp Financial Services Inc.
BBVAC1.PE,Banco BBVA Perú
MINSURI1.PE,Minsur S.A.
INTERBC1.PE,Banco Internacional del Perú S.A.A. - Interbank
INRETC1.PE,InRetail Perú Corp.
SCOTIAC1.PE,Scotiabank Perú S.A.A.
ORYGENC1.PE,Orygen Perú S.A.A.
PODERC1.PE,Compañía Minera Poderosa S.A.
LUSURC1.PE,Luz del Sur S.A.A.
ALICORC1.PE,Alicorp S.A.A.
PACIFIC1.PE,Pacífico Compañía de Seguros y Reaseguros
MAPFSGC1.PE,Mapfre Perú Compañía de Seguros y Reaseguros S.A.
SPCCPI2.PE,Southern Peru Copper Corporation - Sucursal del Peru
SNJUANC1.PE,Cerveceria San Juan S.A.
SNJUANI1.PE,Cerveceria San Juan S.A.
PLUZENC1.PE,Pluz Energía Perú S.A.A.
IPCHAC1.PE,Inversiones Portuarias Chancay S.A.A.
IPCHBC1.PE,Inversiones Portuarias Chancay S.A.A.
GLORIAI1.PE,Leche Gloria S.A.
MIBANC1.PE,Mibanco Banco de la Microempresa S.A.
FERREYC1.PE,Ferreycorp S.A.A.
UNACEMC1.PE,UNACEM Corp S.A.A.
TELEFBC1.PE,Telefónica del Perú S.A.A.
ENGIEC1.PE,Engie Energía Perú S.A.
RIMSEGC1.PE,RIMAC Seguros y Reaseguros S.A.
BROCALC1.PE,Sociedad Minera El Brocal S.A.A.
CPACASC1.PE,Cementos Pacasmayo S.A.A.
CORAREI1.PE,Corporacion Aceros Arequipa S.A.
NEXAPEC1.PE,Nexa Resources Perú S.A.A.
INVFALC1.PE,Inverfal Perú S.A.A.
EGEPIBC1.PE,Enel Generacion Piura S.A.
VOLCABC1.PE,Volcan Compañía Minera S.A.A.
SIDERC1.PE,Empresa Siderúrgica del Perú S.A.A.
FALABEC1.PE,Falabella Perú S.A.A.
HIDRA2C1.PE,Empresa Regional de Servicio Público de Electricidad Electro Norte Medio S.A.
SAGAC1.PE,Saga Falabella S.A.
CARTAVC1.PE,Cartavio S.A.A.
CASAGRC1.PE,Casa Grande S.A.A.
CONCESI1.PE,Consorcio Cementero del Sur S.A.
INDECOI1.PE,Industrias del Cobre Sociedad Anónima
SEALDC1.PE,Sociedad Eléctrica del Sur Oeste S.A.
MINCORI1.PE,"Sociedad Minera Corona, SA"
HERMESC1.PE,Hermes Transportes Blindados S.A.
FINOHC1.PE,Financiera Oh! S.A.
DIVIC1.PE,Diviso Grupo Financiero S.A.
EXALMC1.PE,Pesquera Exalmar S.A.A.
SNJACIC1.PE,Agroindustrias San Jacinto S.A.A.
INVCENC1.PE,Inversiones Centenario S.A.A.
AENZAC1.PE,Aenza S.A.A.
GBVLAC1.PE,Grupo Bvl S.A.A.
LUISAI1.PE,Compañía Minera Santa Luisa S.A.
AUSTRAC1.PE,Austral Group S.A.A.
POSITIC1.PE,La Positiva Seguros y Reaseguros S.A.
FCREDIC1.PE,Financiera Credinka S.A.
QUIMPAI1.PE,Quimpac S.A.
FCONFIC1.PE,Financiera Confianza S.A.A.
LAREDOC1.PE,Agroindustrial Laredo S.A.A.
ISICC1.PE,Inmobiliaria SIC S.A.
MICHEI1.PE,Michell y Cía. S.A.
BPICHC1.PE,Banco Pichincha S.A.
PARAMOC1.PE,Agro Industrial Paramonga S.A.
CAYALTC1.PE,Agricola Cayalti Sociedad Anonima Abierta (Cayalti S.A.A.)
CRECAPC1.PE,Credicorp Capital Peru S.A.A.
AIHC1.PE,Andino Investment Holding S.A.A.
CAVALIC1.PE,Cavali S.A. I.C.L.V.
COCESUC1.PE,Corporación Cervesur S.A.A.
PERUBAI1.PE,Perubar SA
CRETEXI1.PE,Creditex S.A.A.
CRANDEC1.PE,Caja Rural de Ahorro y Crédito Los Andes S.A.
FPROEMC1.PE,Financiera ProEmpresa S.A.
ATACOAC1.PE,Nexa Resources Atacocha S.A.A.
ATACOBC1.PE,Nexa Resources Atacocha S.A.A.
ESUREBC1.PE,Electro Sur Este S.A.A.
ELCOMEI1.PE,Empresa Editora El Comercio S.A.
ASJUANC1.PE,Empresa Agrícola San Juan S.A.
HIDROSI1.PE,Hidrostal S.A.
MOROCOI1.PE,Compañía Minera San Ignacio de Morococha S.A.A.
FUTURAI1.PE,Futura Consorcio Inmobiliario S.A.
POMALCC1.PE,Empresa Agroindustrial Pomalca S.A.A.
ENPACII1.PE,Energía del Pacífico S.A.
ETERNII1.PE,Fábrica Peruana Eternit S.A.
ALFINAC1.PE,Alfin Banco S.A.
ANDAHUC1.PE,Empresa Agraria Azucarera Andahuasi S.A.A.
FILAMEI1.PE,Filamentos Industriales S.A.
GRHOLDC1.PE,GR Holding S.A.
QUALSGC1.PE,Quálitas Compañía de Seguros S.A.
UNITEXI1.PE,Compañía Universal Textil S.A.
PHTBC1.PE,Peru Holding de Turismo SAA
SHOUGEC1.PE,Shougang Generación Eléctrica S.A.A.
RECORDI1.PE,Manufactura de Metales y Aluminio Record S.A.
ETNAI1.PE,Fabrica Nacional de Acumuladores ETNA S.A.
MIRL.PE,Minera IRL Limited
TUMANC1.PE,Empresa Agroindustrial Tuman S.A.A.
PUCALAC1.PE,Agro Pucalá S.A.A.
INGENIC1.PE,"Empresa Azucarera el Ingenio, S.A."
IEQSAI1.PE,Industrias Electro Químicas S.A.
CHUCARC1.PE,Central Azucarera Chucarapi Pampa Blanca S.A.
FOSSALC1.PE,Fossal S.A.A.
INVCORI1.PE,Inversiones Corporativas A1 S.A.
INVERTC1.PE,Inversiones en Turismo S.A.
PIURAC1.PE,Industria Textil Piura S.A.
