Ticker,Company
NVDC34.SA,NVIDIA Corporation
AAPL34.SA,Apple Inc.
BABA34.SA,Alibaba Group Holding Limited
PETR3.SA,Petróleo Brasileiro S.A. - Petrobras
ITUB3.SA,Itaú Unibanco Holding S.A.
VALE3.SA,Vale S.A.
ABEV3.SA,Ambev S.A.
BPAC11.SA,Banco BTG Pactual S.A.
BPAC3.SA,Banco BTG Pactual S.A.
WEGE3.SA,WEG S.A.
BBDC3.SA,Banco Bradesco S.A.
BBAS3.SA,Banco do Brasil S.A.
ITSA3.SA,Itaúsa S.A.
SANB11.SA,Banco Santander (Brasil) S.A.
SANB3.SA,Banco Santander (Brasil) S.A.
VIVT3.SA,Telefônica Brasil S.A.
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás
JBSS32.SA,JBS N.V.
SBSP3.SA,Companhia de Saneamento Básico do Estado de São Paulo - SABESP
RDOR3.SA,Rede D'Or São Luiz S.A.
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão"
BBSE3.SA,BB Seguridade Participações S.A.
SUZB3.SA,Suzano S.A.
XPBR31.SA,XP Inc.
EMBR3.SA,Embraer S.A.
TIMS3.SA,TIM S.A.
RENT3.SA,Localiza Rent a Car S.A.
CPFE3.SA,CPFL Energia S.A.
EQTL3.SA,Equatorial S.A.
CXSE3.SA,Caixa Seguridade Participações S.A.
CPLE3.SA,Companhia Paranaense de Energia - COPEL
PRIO3.SA,Prio S.A.
CMIG3.SA,Companhia Energética de Minas Gerais - CEMIG
PSSA3.SA,Porto Seguro S.A.
RAIL3.SA,Rumo S.A.
BRFS3.SA,BRF S.A.
EGIE3.SA,Engie Brasil Energia S.A.
GGBR3.SA,Gerdau S.A.
NEOE3.SA,Neoenergia S.A.
AMBP3.SA,Ambipar Participações e Empreendimentos S.A.
MOTV3.SA,Motiva Infraestrutura de Mobilidade S.A.
CMIN3.SA,CSN Mineração S.A.
ENEV3.SA,Eneva S.A.
TOTS3.SA,TOTVS S.A.
RADL3.SA,Raia Drogasil S.A.
VBBR3.SA,Vibra Energia S.A.
CEGR3.SA,Companhia Distribuidora de Gás do Rio de Janeiro - CEG
ENGI11.SA,Energisa S.A.
ENGI3.SA,Energisa S.A.
KLBN11.SA,Klabin S.A.
KLBN3.SA,Klabin S.A.
MRFG3.SA,Marfrig Global Foods S.A.
HAPV3.SA,Hapvida Participações e Investimentos S.A.
LREN3.SA,Lojas Renner S.A.
UGPA3.SA,Ultrapar Participações S.A.
INBR32.SA,"Inter & Co, Inc."
GMAT3.SA,Grupo Mateus S.A.
HYPE3.SA,Hypera S.A.
ENMT3.SA,Energisa Mato Grosso - Distribuidora de Energia S/A
ISAE3.SA,ISA Energía Brasil S.A.
CGAS3.SA,Companhia de Gás de São Paulo - COMGÁS
CSAN3.SA,Cosan S.A.
ASAI3.SA,Sendas Distribuidora S.A.
NTCO3.SA,Natura &Co Holding S.A.
SMFT3.SA,Smartfit Escola de Ginástica e Dança S.A.
REDE3.SA,Rede Energia Participações S.A.
MULT3.SA,Multiplan Empreendimentos Imobiliários S.A.
EQPA3.SA,Equatorial Pará Distribuidora de Energia S.A.
STBP3.SA,Santos Brasil Participações S.A.
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.
TAEE3.SA,Transmissora Aliança de Energia Elétrica S.A.
AURA33.SA,Aura Minerals Inc.
SAPR3.SA,Companhia de Saneamento do Paraná - SANEPAR
ALOS3.SA,Allos S.A.
CSNA3.SA,Companhia Siderúrgica Nacional
AURE3.SA,Auren Energia S.A.
CSMG3.SA,Companhia de Saneamento de Minas Gerais
GGPS3.SA,GPS Participações e Empreendimentos S.A.
CEEB3.SA,Companhia de Eletricidade do Estado da Bahia - COELBA
ALUP11.SA,Alupar Investimento S.A.
ALUP3.SA,Alupar Investimento S.A.
BRAV3.SA,Brava Energia S.A.
BNBR3.SA,Banco do Nordeste do Brasil S.A.
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações
GOAU3.SA,Metalurgica Gerdau S.A.
MRSA3B.SA,MRS Logística S.A.
AZZA3.SA,Azzas 2154 S.A.
CURY3.SA,Cury Construtora e Incorporadora S.A.
BRKM3.SA,Braskem S.A.
SLCE3.SA,SLC Agrícola S.A.
EKTR3.SA,Elektro Redes S.A.
POMO3.SA,Marcopolo S.A.
MDIA3.SA,M. Dias Branco S.A. Indústria e Comércio de Alimentos
PORT3.SA,Wilson Sons S.A.
DIRR3.SA,Direcional Engenharia S.A.
FLRY3.SA,Fleury S.A.
FRAS3.SA,Fras-le S.A.
SRNA3.SA,Serena Energia S.A.
TTEN3.SA,Três Tentos Agroindustrial S/A
WHRL3.SA,Whirlpool S.A.
MGLU3.SA,Magazine Luiza S.A.
SMTO3.SA,São Martinho S.A.
ODPV3.SA,Odontoprev S.A.
UNIP3.SA,Unipar Carbocloro S.A.
IGTI3.SA,Iguatemi S.A.
ALPA3.SA,Alpargatas S.A.
VIVA3.SA,Vivara Participações S.A.
BRAP3.SA,Bradespar S.A.
USIM3.SA,Usinas Siderúrgicas de Minas Gerais S.A.
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.
VULC3.SA,Vulcabras S.A.
CEAB3.SA,C&A Modas S.A.
COGN3.SA,Cogna Educação S.A.
VAMO3.SA,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A."
SIMH3.SA,SIMPAR S.A.
INTB3.SA,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira
GRND3.SA,Grendene S.A.
BRSR3.SA,Banco do Estado do Rio Grande do Sul S.A.
DXCO3.SA,Dexco S.A.
