Ticker,Company
BIAT.TN,Banque Internationale Arabe de Tunisie Société anonyme
SFBT.TN,Société de Fabrication des Boissons de Tunisie Société Anonyme
PGH.TN,Poulina Group Holding S.A.
TJARI.TN,Banque Attijari de Tunisie Société anonyme
BT.TN,Banque de Tunisie Société anonyme
AB.TN,Amen Bank Société anonyme
DH.TN,Délice Holding SA
SAH.TN,Société d'Articles Hygiéniques Société Anonyme
UIB.TN,Union Internationale de Banques Société anonyme
OTH.TN,One Tech Holding S.A.
CC.TN,Carthage Cement SA
SOTUV.TN,Societe Tunisienne de Verreries
TPR.TN,Tunisie Profilés Aluminium Société Anonyme
BNA.TN,Banque Nationale Agricole Société anonyme
BH.TN,BH Bank Société anonyme
STAR.TN,Société Tunisienne d'Assurances et de Réassurances
ATB.TN,Arab Tunisian Bank
STB.TN,Société Tunisienne de Banque Société anonyme
UBCI.TN,Union Bancaire pour le Commerce et L'Industrie Société anonyme
ARTES.TN,Automobile Réseau Tunisien et Services S.A.
NAKL.TN,Ennakl Automobiles S.A.
CITY.TN,City Cars S.A.
TLS.TN,Tunisie Leasing & Factoring Société anonyme
WIFAK.TN,Wifack International Bank Société anonyme
AMI.TN,Assurances Multirisques Ittihad
UMED.TN,Unité de Fabrication des Médicaments S.A
ICF.TN,Les industries Chimiques du Fluor SA
ATL.TN,Arab Tunisian Lease S.A.
AL.TN,Air Liquide Tunisie SA
CIL.TN,Compagnie Internationale de Leasing S.A.
BHASS.TN,BH Assurance
TRE.TN,Société Tunisienne de Réassurance
LNDOR.TN,Land'Or Société Anonyme
AMV.TN,Assurances Maghrebia Vie S.A.
MPBS.TN,Manufacture De Panneaux Bois Du Sud
MNP.TN,Société Nouvelle Maison de la Ville de Tunis
ECYCL.TN,Euro-Cycles S.A
SMART.TN,SMART Tunisie SA
MAG.TN,Societe Magasin General S.A.
STPAP.TN,Société Tunisienne Industrielle du Papier et du Carton
MGR.TN,Société Tunisienne des Marchés de Gros S.A.
STPIL.TN,La Société de Transport des Hydrocarbures par Pipelines SOTRAPIL SA
TLNET.TN,Telnet Holding SA
TGH.TN,Tawasol Group Holding SA
HL.TN,Hannibal Lease SA
TJL.TN,Attijari Leasing S.A.
ASSAD.TN,L'Accumulateur Tunisien Assad SA
ALKIM.TN,Société Chimique ALKIMIA S.A.
SIAME.TN,Société Industrielle d'Appareillage et de Matériels Electriques
TAIR.TN,Société Tunisienne de l'Air S.A.
SIMPAR.TN,Société Immobilière et de participations Société Anonyme
SITS.TN,Société Immobilière Tunisio Saoudienne
SAM.TN,Société Atelier du Meuble Intérieurs SA
BHL.TN,BH Leasing Société Anonyme
SOTET.TN,Société Tunisienne d'Entreprises de Télécommunications S.A.
SCB.TN,Les Ciments de Bizerte
PLAST.TN,Office Plast SA
SOMOC.TN,Société Moderne de Céramique
UADH.TN,Universal Auto Distributors Holding
NBL.TN,New Body Line Société Anonyme
STIP.TN,Société Tunisienne des Industries de Pneumatiques SA
SIPHA.TN,Société des Industries Pharmaceutiques de Tunisie - S.A.
CELL.TN,Cellcom Société Anonyme
STS.TN,Société Tunisienne du Sucre SA
AETEC.TN,Advanced e-Technologies S.A
