Ticker,Company
ATW.CS,Attijariwafa bank SA
IAM.CS,Itissalat Al-Maghrib (IAM) S.A.
TQM.CS,TAQA Morocco S.A.
MNG.CS,Managem S.A.
MSA.CS,Société d'Exploitation des Ports
BCP.CS,Banque Centrale Populaire
BOA.CS,Bank of Africa
LHM.CS,LafargeHolcim Maroc S.A.
CMA.CS,Ciments du Maroc Société Anonyme
TGC.CS,Travaux Généraux de Construction de Casablanca S.A
CSR.CS,Cosumar SA
AKT.CS,Akdital S.A
WAA.CS,Wafa Assurance SA
TMA.CS,TotalEnergies Marketing Maroc S.A.
GAZ.CS,Afriquia Gaz SA
ADH.CS,Douja Promotion Groupe Addoha S.A.
CIH.CS,"Crédit Immobilier et Hôtelier, Société Anonyme"
LBV.CS,Label Vie S.A.
CDM.CS,Crédit du Maroc S.A.
SOT.CS,Société de Therapeutique Marocaine S.A.
ADI.CS,Alliances Developpement Immobilier S.A.
SID.CS,SONASID S.A.
CFG.CS,CFG Bank SA
ATL.CS,AtlantaSanad Société Anonyme
BCI.CS,Banque Marocaine pour le Commerce et l'Industrie
LES.CS,Lesieur Cristal S.A.
SAH.CS,Sanlam Maroc
DHO.CS,delta holding S.A.
ARD.CS,Aradei Capital S.A.
SBM.CS,Société des Boissons du Maroc S.A.
JET.CS,Jet Contractors
CMG.CS,Compagnie Marocaine de Goutte à goutte et de Pompage S.A.
RIS.CS,Risma
HPS.CS,Hightech Payment Systems S.A.
SMI.CS,Societe Metallurgique d'Imiter société anonyme
CMT.CS,Compagnie Minière de Touissit S.A.
ATH.CS,Auto Hall S.A.
MUT.CS,Mutandis SCA
RDS.CS,Résidences Dar Saada S.A
OUL.CS,Les Eaux Minérales d'Oulmès S.A.
SLF.CS,Salafin S.A.
EQD.CS,Societe d'Equipement Domestique et Menager (EQDOM) S.A
UMR.CS,Unimer SA
SNP.CS,Société Nationale d'Electrolyse et de Pétrochimie S.A.
DWY.CS,Disway S.A.
AFM.CS,AFMA S.A.
AGM.CS,Agma SA
MAB.CS,Société Maghrébine de Crédit-bail
PRO.CS,Societe de Promotion Pharmaceutique du Maghreb S.A.
DRI.CS,Dari Couspate SA
NKL.CS,Ennakl Automobiles S.A.
CTM.CS,Compagnie de Transports au Maroc Société Anonyme
SNA.CS,Stokvis Nord Afrique S.A.
COL.CS,Colorado S.A.
ALM.CS,Aluminium Du Maroc SA
IMO.CS,Immorente Invest S.A.
FBR.CS,Fenie Brossette S.A.
S2M.CS,Société Maghrébine de Monétique
BAL.CS,Société Immobilière Balima
MIC.CS,Microdata S.A.
MOX.CS,Maghreb Oxygène S.A.
M2M.CS,M2M Group SA
DYT.CS,Disty Technologies SA
STR.CS,Stroc Industrie S.A.
CRS.CS,Cartier Saada SA
SRM.CS,Société de Réalisations Mécaniques S.A.
MDP.CS,Med Paper S.A.
ZDJ.CS,Zellidja S.A.
AFI.CS,Afric Industries S.A.
INV.CS,INVOLYS S.A.
IBC.CS,IB Maroc.com SA
REB.CS,Societe Rebab Company S.A. Ltd.
MLE.CS,Maroc Leasing S.A.
