Ticker,Company
JKH.N0000.LK,John Keells Holdings PLC
CTC.N0000.LK,Ceylon Tobacco Company PLC
LOLC.N0000.LK,LOLC Holdings PLC
COMB.N0000.LK,Commercial Bank of Ceylon PLC
COMB.X0000.LK,Commercial Bank of Ceylon PLC
DIST.N0000.LK,Distilleries Company of Sri Lanka PLC
LOFC.N0000.LK,LOLC Finance PLC
DIAL.N0000.LK,Dialog Axiata PLC
HNB.N0000.LK,Hatton National Bank PLC
HNB.X0000.LK,Hatton National Bank PLC
MELS.N0000.LK,Melstacorp PLC
CARG.N0000.LK,Cargills (Ceylon) PLC
SAMP.N0000.LK,Sampath Bank PLC
HAYL.N0000.LK,Hayleys PLC
LION.N0000.LK,Lion Brewery (Ceylon) PLC
BIL.N0000.LK,Browns Investments PLC
SLTL.N0000.LK,Sri Lanka Telecom PLC
CCS.N0000.LK,Ceylon Cold Stores PLC
CARS.N0000.LK,Carson Cumberbatch PLC
VONE.N0000.LK,Vallibel One PLC
CTHR.N0000.LK,C T Holdings PLC
HHL.N0000.LK,Hemas Holdings PLC
BUKI.N0000.LK,Bukit Darah PLC
LIOC.N0000.LK,Lanka IOC PLC
CINS.N0000.LK,Ceylinco Holdings PLC
CINS.X0000.LK,Ceylinco Holdings PLC
NTB.N0000.LK,Nations Trust Bank PLC
NTB.X0000.LK,Nations Trust Bank PLC
LFIN.N0000.LK,LB Finance PLC
BREW.N0000.LK,Ceylon Beverage Holdings PLC
SPEN.N0000.LK,Aitken Spence PLC
CFIN.N0000.LK,Central Finance Company PLC
RICH.N0000.LK,Richard Pieris and Company PLC
DFCC.N0000.LK,DFCC Bank PLC
NDB.N0000.LK,National Development Bank PLC
SUN.N0000.LK,Sunshine Holdings PLC
SINS.N0000.LK,Singer (Sri Lanka) PLC
GLAS.N0000.LK,PGP Glass Ceylon PLC
RCL.N0000.LK,Royal Ceramics Lanka PLC
CIC.N0000.LK,CIC Holdings PLC
CIC.X0000.LK,CIC Holdings PLC
AEL.N0000.LK,Access Engineering PLC
SEYB.N0000.LK,Seylan Bank PLC
SEYB.X0000.LK,Seylan Bank PLC
PLC.N0000.LK,People's Leasing & Finance PLC
SFCL.N0000.LK,Senkadagala Finance PLC
LLUB.N0000.LK,Chevron Lubricants Lanka PLC
BRWN.N0000.LK,Brown and Company PLC
UAL.N0000.LK,Union Assurance PLC
OSEA.N0000.LK,Overseas Realty (Ceylon) PLC
TJL.N0000.LK,Teejay Lanka PLC
ACL.N0000.LK,ACL Cables PLC
WIND.N0000.LK,WindForce PLC
PALM.N0000.LK,Palm Garden Hotels PLC
CALH.N0000.LK,Capital Alliance Holdings Limited
WATA.N0000.LK,Watawala Plantations PLC
TKYO.N0000.LK,Tokyo Cement Company (Lanka) PLC
TKYO.X0000.LK,Tokyo Cement Company (Lanka) PLC
ASIR.N0000.LK,Asiri Hospital Holdings PLC
DIPD.N0000.LK,Dipped Products PLC
KHL.N0000.LK,John Keells Hotels PLC
GREG.N0000.LK,Ambeon Holdings PLC
AHUN.N0000.LK,Aitken Spence Hotel Holdings PLC
COCR.N0000.LK,Commercial Credit and Finance PLC
PKME.N0000.LK,Digital Mobility Solutions Lanka PLC
HAYC.N0000.LK,Haycarb PLC
TAP.N0000.LK,Ambeon Capital PLC
CDB.N0000.LK,Citizens Development Business Finance PLC
CDB.X0000.LK,Citizens Development Business Finance PLC
AHPL.N0000.LK,Asian Hotels and Properties PLC
CTEA.N0000.LK,Dilmah Ceylon Tea Company PLC
AAIC.N0000.LK,Softlogic Life Insurance PLC
EDEN.N0000.LK,Eden Hotel Lanka PLC
LMF.N0000.LK,Lanka Milk Foods (CWE) PLC
VFIN.N0000.LK,Vallibel Finance PLC
PABC.N0000.LK,Pan Asia Banking Corporation PLC
LHCL.N0000.LK,The Lanka Hospitals Corporation PLC
HUNA.N0000.LK,Hunas Holdings PLC
JAT.N0000.LK,JAT Holdings PLC
CALT.N0000.LK,Capital Alliance PLC
MGT.N0000.LK,Hayleys Fabric PLC
LAMB.N0000.LK,Kotmale Holdings PLC
JINS.N0000.LK,Janashakthi Insurance PLC
CFLB.N0000.LK,The Colombo Fort Land & Building PLC
RIL.N0000.LK,R I L Property PLC
GUAR.N0000.LK,Ceylon Guardian Investment Trust PLC
FCT.N0000.LK,First Capital Treasuries PLC
GRAN.N0000.LK,Ceylon Grain Elevators PLC
CFVF.N0000.LK,First Capital Holdings PLC
LWL.N0000.LK,Lanka Walltiles PLC
TILE.N0000.LK,Lanka Tiles PLC
MAL.N0000.LK,Malwatte Valley Plantations PLC
MAL.X0000.LK,Malwatte Valley Plantations PLC
VLL.N0000.LK,Vidullanka PLC
VLL.X0000.LK,Vidullanka PLC
PLR.N0000.LK,Prime Lands Residencies PLC
KCAB.N0000.LK,Kelani Cables PLC
ABL.N0000.LK,Amãna Bank PLC
HASU.N0000.LK,HNB Assurance PLC
UML.N0000.LK,United Motors Lanka PLC
UBC.N0000.LK,Union Bank of Colombo PLC
EBCR.N0000.LK,E.B. Creasy & Company PLC
HNBF.N0000.LK,HNB Finance PLC
HNBF.X0000.LK,HNB Finance PLC
LGL.N0000.LK,LAUGFS Gas PLC
LGL.X0000.LK,LAUGFS Gas PLC
ALLI.N0000.LK,Alliance Finance Company PLC
SHL.N0000.LK,Softlogic Holdings PLC
LGIL.N0000.LK,LOLC General Insurance PLC
VPEL.N0000.LK,Vallibel Power Erathna PLC
DIMO.N0000.LK,Diesel & Motor Engineering PLC
ELPL.N0000.LK,Elpitiya Plantations PLC
ALUM.N0000.LK,Alumex PLC
PARQ.N0000.LK,Swisstek (Ceylon) PLC
PAP.N0000.LK,Panasian Power PLC
NAMU.N0000.LK,Namunukula Plantations PLC
CBNK.N0000.LK,Cargills Bank PLC
AGPL.N0000.LK,Agarapatana Plantations Limited
SIRA.N0000.LK,Sierra Cables PLC
GHLL.N0000.LK,GALADARI Hotels (Lanka) PLC
NHL.N0000.LK,Nawaloka Hospitals PLC
KHC.N0000.LK,The Kandy Hotels Co. (1938) PLC
TRAN.N0000.LK,Trans Asia Hotels PLC
MERC.N0000.LK,Mercantile Investments and Finance PLC
CINV.N0000.LK,Ceylon Investment PLC
TAFL.N0000.LK,Three Acre Farms PLC
SHOT.N0000.LK,Serendib Hotels PLC
SHOT.X0000.LK,Serendib Hotels PLC
AGAL.N0000.LK,Agalawatte Plantations PLC
HARI.N0000.LK,Harischandra Mills PLC
TYRE.N0000.LK,Kelani Tyres PLC
SFIN.N0000.LK,Singer Finance (Lanka) PLC
TPL.N0000.LK,Talawakelle Tea Estates PLC
AMSL.N0000.LK,Asiri Surgical Hospital PLC
HPL.N0000.LK,Hatton Plantations PLC
JETS.N0000.LK,Jetwing Symphony PLC
PINS.N0000.LK,People's Insurance PLC
BFN.N0000.LK,JANASHAKTHI FINANCE PLC
ODEL.N0000.LK,Odel PLC
SDB.N0000.LK,SANASA Development Bank PLC
KVAL.N0000.LK,Kelani Valley Plantations PLC
SERV.N0000.LK,The Kingsbury PLC
RCH.N0000.LK,Renuka Hotels PLC
BOPL.N0000.LK,Bogawantalawa Tea Estates PLC
CSLK.N0000.LK,Cable Solutions PLC
BPPL.N0000.LK,BPPL Holdings PLC
CHL.N0000.LK,Ceylon Hospitals PLC
CHL.X0000.LK,Ceylon Hospitals PLC
NEH.N0000.LK,The Nuwara Eliya Hotels Company PLC
CRL.N0000.LK,Softlogic Finance PLC
ASHO.N0000.LK,Lanka Ashok Leyland PLC
LVEF.N0000.LK,LVL Energy Fund PLC
CALF.N0000.LK,Dialog Finance PLC
SCAP.N0000.LK,Softlogic Capital PLC
HELA.N0000.LK,Hela Apparel Holdings PLC
JKL.N0000.LK,John Keells PLC
BOGA.N0000.LK,Bogala Graphite Lanka PLC
AMF.N0000.LK,Associated Motor Finance Company PLC
DOCK.N0000.LK,Colombo Dockyard PLC
COOP.N0000.LK,Co-operative Insurance Company PLC
CARE.N0000.LK,Printcare PLC
CLND.N0000.LK,Colombo Land and Development Company PLC
AAF.N0000.LK,Asia Asset Finance PLC
PACK.N0000.LK,Ex-pack Corrugated Cartons PLC
CWM.N0000.LK,C. W. Mackie PLC
KFP.N0000.LK,Keells Food Products PLC
SEMB.N0000.LK,SMB Finance PLC
SEMB.X0000.LK,SMB Finance PLC
PMB.N0000.LK,PMF Finance PLC
MASK.N0000.LK,Maskeliya Plantations PLC
LCEY.N0000.LK,Lankem Ceylon PLC
LPL.N0000.LK,LAUGFS Power PLC
LPL.X0000.LK,LAUGFS Power PLC
SDF.N0000.LK,Sarvodaya Development Finance PLC
CSD.N0000.LK,Seylan Developments PLC
CHOT.N0000.LK,Ceylon Hotels Corporation PLC
REXP.N0000.LK,Richard Pieris Exports PLC
CIND.N0000.LK,Central Industries PLC
AGST.N0000.LK,AgStar PLC
HUNT.N0000.LK,Hunter & Company PLC
SOY.N0000.LK,Convenience Foods (Lanka) PLC
AFSL.N0000.LK,Abans Finance PLC
SHAW.N0000.LK,Lee Hedges PLC
MBSL.N0000.LK,Merchant Bank of Sri Lanka & Finance PLC
BALA.N0000.LK,Balangoda Plantations PLC
RHL.N0000.LK,Renuka Holdings PLC
RHL.X0000.LK,Renuka Holdings PLC
RENU.N0000.LK,Renuka City Hotels PLC
DPL.N0000.LK,Dankotuwa Porcelain PLC
KGAL.N0000.LK,Kegalle Plantations PLC
RWSL.N0000.LK,Raigam Wayamba Salterns PLC
COLO.N0000.LK,C M Holdings PLC
HBS.N0000.LK,hSenid Business Solutions PLC
CONN.N0000.LK,Hayleys Leisure PLC
KOTA.N0000.LK,Kotagala Plantations PLC
BFL.N0000.LK,Bairaha Farms PLC
LHL.N0000.LK,The Lighthouse Hotel PLC
LVEN.N0000.LK,Lanka Ventures PLC
TAJ.N0000.LK,TAL Lanka Hotels PLC
APLA.N0000.LK,ACL Plastics PLC
SMOT.N0000.LK,Sathosa Motors PLC
RAL.N0000.LK,Renuka Agri Foods PLC
RHTL.N0000.LK,The Fortress Resorts PLC
ATL.N0000.LK,Amãna Takaful PLC
LCBF.N0000.LK,Lanka Credit and Business Finance PLC
SINH.N0000.LK,Singhe Hospitals PLC
KZOO.N0000.LK,Ceylon Land & Equity PLC
LALU.N0000.LK,Lanka Aluminium Industries PLC
HDFC.N0000.LK,Housing Development Finance Corporation Bank of Sri Lanka
LDEV.N0000.LK,Lankem Developments PLC
STAF.N0000.LK,Dolphin Hotels PLC
ONAL.N0000.LK,On'ally Holdings PLC
ASCO.N0000.LK,Lanka Realty Investments PLC
REEF.N0000.LK,Citrus Leisure PLC
EAST.N0000.LK,East West Properties PLC
COCO.N0000.LK,Renuka Foods PLC
COCO.X0000.LK,Renuka Foods PLC
BERU.N0000.LK,Beruwala Resorts PLC
HPWR.N0000.LK,Resus Energy PLC
MARA.N0000.LK,Marawila Resorts PLC
UDPL.N0000.LK,Udapussellawa Plantations PLC
CTLD.N0000.LK,CT Land Development PLC
CHMX.N0000.LK,Chemanex PLC
SWAD.N0000.LK,The Swadeshi Industrial Works PLC
KAHA.N0000.LK,Kahawatte Plantations PLC
UBF.N0000.LK,UB Finance PLC
BBH.N0000.LK,Browns Beach Hotels PLC
HAPU.N0000.LK,Hapugastenne Plantations PLC
ABAN.N0000.LK,Abans Electricals PLC
MADU.N0000.LK,Madulsima Plantations PLC
LITE.N0000.LK,Laxapana PLC
COMD.N0000.LK,Commercial Development Company PLC
CABO.N0000.LK,Cargo Boat Development Company PLC
AINS.N0000.LK,Arpico Insurance PLC
CITW.N0000.LK,Waskaduwa Beach Resort PLC
CFI.N0000.LK,Colombo Fort Investments PLC
CITH.N0000.LK,Hikkaduwa Beach Resort PLC
LUMX.N0000.LK,Luminex Plc
ASIY.N0000.LK,Asia Siyaka Commodities PLC
RPBH.N0000.LK,Royal Palms Beach Hotels PLC
PHAR.N0000.LK,Colombo City Holdings PLC
ATLL.N0000.LK,Amãna Takaful Life PLC
WAPO.N0000.LK,Galle Face Capital Partners PLC
ECL.N0000.LK,eChannelling PLC
CIT.N0000.LK,Colombo Investment Trust PLC
TANG.N0000.LK,Tangerine Beach Hotels PLC
MCPL.N0000.LK,Mahaweli Coconut Plantations PLC
AUTO.N0000.LK,The Autodrome PLC
HPFL.N0000.LK,Lotus Hydro Power PLC
ETWO.N0000.LK,Equity Two PLC
PEG.N0000.LK,Pegasus Hotels of Ceylon PLC
KPHL.N0000.LK,Kapruka Holdings PLC
HSIG.N0000.LK,Hotel Sigiriya PLC
UCAR.N0000.LK,Union Chemicals Lanka PLC
CTBL.N0000.LK,Ceylon Tea Brokers PLC
HOPL.N0000.LK,Horana Plantations PLC
TSML.N0000.LK,Tea Smallholder Factories PLC
HEXP.N0000.LK,Hayleys Fibre PLC
ASPH.N0000.LK,Industrial Asphalts (Ceylon) PLC
BRR.N0000.LK,Bansei Royal Resorts Hikkaduwa PLC
MFPE.N0000.LK,Maharaja Foods PLC
CERA.N0000.LK,Lanka Ceramic PLC
EMER.N0000.LK,Eastern Merchants PLC
MRH.N0000.LK,Mahaweli Reach Hotels PLC
MSL.N0000.LK,Mercantile Shipping Company PLC
SIGV.N0000.LK,Sigiriya Village Hotels PLC
TESS.N0000.LK,Tess Agro PLC
TESS.X0000.LK,Tess Agro PLC
LPRT.N0000.LK,Lake House Printers and Publishers PLC
HVA.N0000.LK,HVA Foods PLC
RFL.N0000.LK,Ramboda Falls PLC
CSF.N0000.LK,Nation Lanka Finance PLC
SIL.N0000.LK,Samson International PLC
MHDL.N0000.LK,Millennium Housing Developers PLC
SLND.N0000.LK,Serendib Land PLC
ACAP.N0000.LK,Asia Capital PLC
AFS.N0000.LK,Alpha Fire Services PLC
GEST.N0000.LK,Gestetner of Ceylon PLC
ACME.N0000.LK,ACME Printing and Packaging PLC
MULL.N0000.LK,Muller & Phipps (Ceylon) PLC
EML.N0000.LK,EML Consultants PLC
MDL.N0000.LK,Myland Developments PLC
CWL.N0000.LK,Chrissworld PLC
BLUE.N0000.LK,Blue Diamonds Jewellery Worldwide PLC
SING.N0000.LK,Standard Capital PLC
MEL.N0000.LK,Greentech Energy PLC
EXT.N0000.LK,Exterminators Plc
RGEM.N0000.LK,Radiant Gems International PLC
CPRT.N0000.LK,Ceylon Printers PLC
OFEQ.N0000.LK,Office Equipment PLC
YORK.N0000.LK,York Arcade Holdings PLC
PARA.N0000.LK,Paragon Ceylon PLC
