Ticker,Company
NOVO.B.CO,Novo Nordisk A/S
DSV.CO,DSV A/S
NDA.DK.CO,Nordea Bank Abp
NSIS.B.CO,Novozymes A/S
DANSKE.CO,Danske Bank A/S
SAMPO.DKK.CO,Sampo Oyj
MAERSK.A.CO,A.P. Møller - Mærsk A/S
MAERSK.B.CO,A.P. Møller - Mærsk A/S
COLO.B.CO,Coloplast A/S
CARL.A.CO,Carlsberg A/S
CARL.B.CO,Carlsberg A/S
ORSTED.CO,Ørsted A/S
VWS.CO,Vestas Wind Systems A/S
TRYG.CO,Tryg A/S
PNDORA.CO,Pandora A/S
GMAB.CO,Genmab A/S
ROCK.A.CO,Rockwool A/S
ROCK.B.CO,Rockwool A/S
DEMANT.CO,Demant A/S
KBHL.CO,Københavns Lufthavne A/S
ALK.B.CO,ALK-Abelló A/S
JYSK.CO,Jyske Bank A/S
HLUN.A.CO,H. Lundbeck A/S
HLUN.B.CO,H. Lundbeck A/S
RILBA.CO,Ringkjøbing Landbobank A/S
ISS.CO,ISS A/S
ZEAL.CO,Zealand Pharma A/S
RBREW.CO,Royal Unibrew A/S
NKT.CO,NKT A/S
AMBU.B.CO,Ambu A/S
SPNO.CO,Spar Nord Bank A/S
ALMB.CO,Alm. Brand A/S
SYDB.CO,Sydbank A/S
FLS.CO,FLSmidth & Co. A/S
EMBLA.CO,Embla Medical hf.
SCHO.CO,Aktieselskabet Schouw & Co.
GN.CO,GN Store Nord A/S
NETC.CO,Netcompany Group A/S
BAVA.CO,Bavarian Nordic A/S
TRMD.A.CO,TORM plc
JDAN.CO,Jeudan A/S
PAAL.B.CO,Per Aarsleff Holding A/S
UIE.CO,UIE Plc
CHEMM.CO,ChemoMetec A/S
GUBRA.CO,Gubra A/S
STG.CO,Scandinavian Tobacco Group A/S
DNORD.CO,Dampskibsselskabet Norden A/S
DFDS.CO,DFDS A/S
VJBA.CO,Vestjysk Bank A/S
BETCO.DKK.CO,Better Collective A/S
MATAS.CO,Matas A/S
SPKSJF.CO,SJF Bank A/S
NTG.CO,NTG Nordic Transport Group A/S
CBRAIN.CO,cBrain A/S
SPG.CO,SP Group A/S
TIV.CO,Tivoli A/S
BOOZT.DKK.CO,Boozt AB (publ)
DAB.CO,Danske Andelskassers Bank A/S
LASP.CO,Lån & Spar Bank A/S
MTHH.CO,MT Højgaard Holding A/S
NLFSK.CO,Nilfisk Holding A/S
AOJ.B.CO,Brødrene A & O Johansen A/S
SOLAR.B.CO,Solar A/S
HH.CO,H+H International A/S
SKJE.CO,Skjern Bank A/S
TRIFOR.CO,Trifork Group AG
BO.CO,Bang & Olufsen A/S
FOBANK.CO,Føroya Banki
NNIT.CO,NNIT A/S
DJUR.CO,Djurslands Bank A/S
PARKEN.CO,PARKEN Sport & Entertainment A/S
GRLA.CO,GrønlandsBANKEN A/S
COLUM.CO,Columbus A/S
FYNBK.CO,Fynske Bank A/S
KRE.CO,Kreditbanken A/S
HUSCO.CO,HusCompagniet A/S
GYLD.A.CO,Gyldendal A/S
GYLD.B.CO,Gyldendal A/S
FLUG.B.CO,Flügger group A/S
FFARMS.CO,FirstFarms A/S
NRDF.CO,Nordfyns Bank A/S
TCM.CO,TCM Group A/S
NORTHM.CO,North Media A/S
LOLB.CO,Lollands Bank A/S
RTX.CO,RTX A/S
PRIMOF.CO,Prime Office A/S
BIOPOR.CO,BioPorto A/S
HARB.B.CO,Harboes Bryggeri A/S
LUXOR.B.CO,Investeringsselskabet Luxor A/S
PARKST.A.CO,Park Street A/S
MNBA.CO,Møns Bank A/S
EGNETY.CO,EgnsINVEST Ejendomme Tyskland A/S
FED.CO,Fast Ejendom Danmark A/S
AGF.B.CO,AGF A/S
GABR.CO,Gabriel Holding A/S
SHAPE.CO,Shape Robotics A/S
PFINV.CO,Papirfabrikken Invest A/S
CPHCAP.ST.CO,Copenhagen Capital A/S
GERHSP.CO,German High Street Properties A/S
TGAMES.CO,TROPHY GAMES Development A/S
AQP.CO,Aquaporin A/S
STRINV.CO,Strategic Investments A/S
DATA.CO,Dataproces Group A/S
HVID.CO,Hvidbjerg Bank A/S
SWISS.CO,Swiss Properties Invest A/S
CEMAT.CO,Cemat A/S
ASTK.CO,Asetek A/S
RBLN.B.CO,Roblon A/S
SKAKO.CO,SKAKO A/S
GREENM.CO,GreenMobility A/S
ESG.CO,Ennogie Solar Group A/S
DONKEY.CO,DonkeyRepublic Holding A/S
BIF.CO,Brøndbyernes IF Fodbold A/S
KLEE.B.CO,Brd. Klee A/S
WMA.CO,WindowMaster International A/S
IMPERO.CO,Impero A/S
PEG.CO,Pharma Equity Group A/S
AGAT.CO,Agat Ejendomme A/S
DANT.CO,Dantax A/S
SIG.CO,Scandinavian Investment Group A/S
RIAS.B.CO,RIAS A/S
HRC.CO,HRC World Plc
SMSMED.CO,Scandinavian Medical Solutions A/S
RISMA.CO,RISMA Systems A/S
GJ.CO,Glunz & Jensen Holding A/S
DAC.CO,Danish Aerospace Company A/S
MAPS.CO,Mapspeople A/S
OKEAC.CO,Det Østasiatiske Kompagni A/S
NEXCOM.CO,Nexcom A/S
QINTER.CO,Q-Interline A/S
AGILC.CO,Agillic A/S
AAB.CO,Aalborg Boldspilklub A/S
KONSOL.CO,Konsolidator A/S
HOVE.CO,Hove A/S
GREENH.CO,Green Hydrogen Systems A/S
VIRO.CO,ViroGates A/S
BACTIQ.CO,BactiQuant A/S
FOM.CO,FOM Technologies A/S
MDUNDO.CO,Mdundo.com A/S
ERRIA.CO,Erria A/S
ROV.CO,Rovsing A/S
WIRTEK.CO,Wirtek A/S
UNLGRP.CO,Unlimit Group A/S
STRAP.CO,Strategic Partners A/S
MOVINN.CO,Movinn A/S
ALEFRM.CO,Alefarm Brewing A/S
STENO.CO,Stenocare A/S
BRAINP.CO,Brain+ A/S
FASTPC.CO,FastPassCorp A/S
MONSO.CO,Monsenso A/S
ACT.CO,DecideAct A/S
LEDIBOND.CO,LED iBond International A/S
NEWCAP.CO,Newcap Holding A/S
NTR.B.CO,NTR Holding A/S
ATLA.DKK.CO,P/F Atlantic Petroleum
BLKDKAA.CO,Kapitalforeningen BLS Invest - Danske Aktier AKK.
NBIAM.CO,Investeringsforeningen Nykredit Invest Balance - Bæredygtig Moderat
NBIAO.CO,Investeringsforeningen Nykredit Invest Balance - Bæredygtig Offensiv
PMICTAAKLNEUR.CO,Investeringsforeningen PortfolioManager PP Capital - Tactical Asset Allocation KL
PMIH3I.CO,Investeringsforeningen PortfolioManager Afdeling Horizon3 Innovation Kl
