Ticker,Company
GTII.CN,Green Thumb Industries Inc.
TRUL.CN,Trulieve Cannabis Corp.
ASE.CN,Asante Gold Corporation
VREO.CN,Vireo Growth Inc.
HODL.CN,Sol Strategies Inc.
SNDL.CN,SNDL Inc.
ACT.CN,Aduro Clean Technologies Inc.
REK.U.CN,Rektron Group Inc.
DRUG.CN,Bright Minds Biosciences Inc.
METX.CN,ME Therapeutics Holdings Inc.
CL.CN,Cresco Labs Inc.
BOIL.CN,Beyond Oil Ltd.
HBFG.CN,Happy Belly Food Group Inc.
QNTM.CN,Quantum BioPharma Ltd.
GRIN.CN,Grown Rogue International Inc.
AIAI.CN,NetraMark Holdings Inc.
SANU.CN,Sanu Gold Corp.
BLLG.CN,Blue Lagoon Resources Inc.
URL.CN,NameSilo Technologies Corp.
YMC.CN,Yukon Metals Corp.
PLTH.CN,Planet 13 Holdings Inc.
AAWH.U.CN,"Ascend Wellness Holdings, Inc."
JUSH.CN,Jushi Holdings Inc.
CACR.CN,KWG Resources Inc.
BLO.CN,Cannabix Technologies Inc.
RAIL.CN,Railtown AI Technologies Inc.
BNXT.CN,BioNxt Solutions Inc.
GLAB.CN,Gemina Laboratories Ltd.
BAR.CN,Barranco Gold Mining Corp.
CLTE.CN,Clara Technologies Corp.
ESAU.CN,ESGold Corp.
ARS.CN,Ares Strategic Mining Inc.
FRG.CN,Forge Resources Corp.
INNO.CN,InnoCan Pharma Corporation
WUC.CN,Western Uranium & Vanadium Corp.
LEO.CN,Lion Copper and Gold Corp.
FAT.CN,Foremost Clean Energy Ltd.
HG.CN,HydroGraph Clean Power Inc.
USGD.CN,American Pacific Mining Corp.
MRM.CN,Micromem Technologies Inc.
SPTZ.CN,Spetz Inc.
FOX.CN,Fox River Resources Corporation
KUYA.CN,Kuya Silver Corporation
SONA.CN,Sona Nanotech Inc.
DPRO.CN,Draganfly Inc.
STCU.CN,Star Copper Corp.
GFCO.CN,The Good Flour Corp.
AXCP.CN,Axcap Ventures Inc.
MTLC.CN,MTL Cannabis Corp.
GTCH.CN,Getchell Gold Corp.
VEXT.CN,"Vext Science, Inc."
TWOH.X.CN,Two Hands Corporation
DTC.CN,Defence Therapeutics Inc.
KING.CN,King Global Ventures Inc.
AMQ.CN,Abitibi Metals Corp.
MRMD.CN,MariMed Inc.
PRME.CN,Prime Drink Group Corp.
APXC.CN,Apex Critical Metals Corp.
TRUE.CN,Treatment.com AI Inc.
HYLQ.CN,HYLQ Strategy Corp.
SHLF.CN,Shelfie-Tech Ltd.
NICO.CN,Class 1 Nickel and Technologies Limited
NF.CN,Nuclear Fuels Inc.
IAN.CN,"iAnthus Capital Holdings, Inc."
LEEF.CN,Leef Brands Inc.
PHOS.CN,First Phosphate Corp.
ACM.CN,Allied Critical Metals Inc.
TOC.CN,Tocvan Ventures Corp.
LFG.CN,Universal Digital Inc.
AUCU.CN,Inflection Resources Ltd.
INTG.CN,Integral Metals Corp.
EMPS.CN,EMP Metals Corp.
NVRO.CN,EnviroGold Global Limited
BUX.CN,Biomark Diagnostics Inc.
FNT.U.CN,FLUENT Corp.
MILI.CN,Military Metals Corp.
DOSE.CN,Rapid Dose Therapeutics Corp.
JSDA.CN,Jones Soda Co.
DTR.CN,DiagnosTear Technologies Inc.
PAU.CN,Provenance Gold Corp.
CUAU.CN,Forte Minerals Corp.
AUOZ.CN,Emperor Metals Inc.
GWAY.CN,Greenway Greenhouse Cannabis Corporation
WG.CN,Westward Gold Inc.
ARGL.CN,Argyle Resources Corp.
VRDN.CN,Viridian Metals Inc.
RI.CN,Royalties Inc.
CXXI.CN,C21 Investments Inc.
EPIC.CN,1CM Inc.
SCPE.CN,Scope Technologies Corp.
IRV.CN,Irving Resources Inc.
TELI.CN,Telescope Innovations Corp.
SRAN.CN,Sranan Gold Corp.
GXP.CN,Greenridge Exploration Inc.
AVE.CN,Aventis Energy Inc.
MMET.CN,Miata Metals Corp.
NOM.CN,Norsemont Mining Inc.
PHRM.CN,PharmaTher Holdings Ltd.
HYTN.CN,HYTN Innovations Inc.
CRTL.CN,Critical One Energy Inc.
HWG.CN,Headwater Gold Inc.
CSR.CN,Copper Standard Resources Inc.
PDO.CN,PUDO Inc.
PREV.CN,PreveCeutical Medical Inc.
GPK.CN,Grand Peak Capital Corp.
UE.CN,Urano Energy Corp.
M.CN,Myriad Uranium Corp.
VST.CN,Victory Square Technologies Inc.
CUPA.CN,Cupani Metals Corp.
LFLR.CN,LaFleur Minerals Inc.
AYR.A.CN,Ayr Wellness Inc.
QIM.CN,Quimbaya Gold Inc.
BATX.CN,Battery X Metals Inc.
FOMO.CN,Formation Metals Inc.
UDOC.CN,Unidoc Health Corp.
QIMC.CN,Quebec Innovative Materials Corp.
BFG.CN,Giant Mining Corp.
ICS.CN,Integrated Cyber Solutions Inc.
WIFI.CN,American Aires Inc.
SX.CN,St-Georges Eco-Mining Corp.
VOY.CN,Voyageur Mineral Explorers Corp.
GRBM.CN,Green Bridge Metals Corporation
PM.CN,Pampa Metals Corporation
RISE.CN,Rise Gold Corp.
SPLY.CN,Safe Supply Streaming Co. Ltd.
CCI.CN,Canadian Copper Inc.
PPB.CN,P2P Group Ltd.
EONX.CN,EonX Technologies Inc.
OPTI.CN,Optimi Health Corp.
CUPR.CN,Super Copper Corp.
TN.CN,Tartisan Nickel Corp.
TUNG.CN,American Tungsten Corp.
SHRC.CN,Sharc International Systems Inc.
IZO.CN,Izotropic Corporation
AIML.CN,AI/ML Innovations Inc.
ARGO.CN,Argo Living Soils Corp.
SUPR.CN,Supernova Metals Corp.
MAXX.CN,Max Power Mining Corp.
NXT.CN,NextGen Digital Platforms Inc.
PBIT.CN,POSaBIT Systems Corporation
KBX.CN,Kobrea Exploration Corp.
GNEM.CN,Great Northern Energy Metals Inc.
FTEL.CN,First Tellurium Corp.
SLV.CN,Silver Dollar Resources Inc.
TTX.CN,Tantalex Lithium Resources Corp.
SEAG.X.CN,Seahawk Ventures Inc.
BETR.CN,BetterLife Pharma Inc.
MEC.CN,Mustang Energy Corp.
WERX.CN,Fintechwerx International Software Services Inc.
TNJ.CN,Boba Mint Holdings Ltd.
CYBT.CN,Cybeats Technologies Corp.
BRAZ.CN,Canary Gold Corp.
API.CN,Appia Rare Earths & Uranium Corp.
INVR.CN,Inverite Insights Inc.
ERTH.CN,Replenish Nutrients Holding Corp.
ATHA.CN,Athena Gold Corporation
DOCT.CN,Beyond Medical Technologies Inc.
GEGC.CN,Great Eagle Gold Corp.
TRIP.CN,Red Light Holland Corp.
RUU.CN,Refined Energy Corp.
AITT.CN,Trenchant Technologies Capital Corp.
TCF.CN,Trillion Energy International Inc.
PAID.CN,XTM Inc.
RWB.CN,Red White & Bloom Brands Inc.
PNRG.CN,Pan American Energy Corp.
SOL.CN,SOL Global Investments Corp.
SKUR.CN,Sekur Private Data Ltd.
PMC.CN,Peloton Minerals Corporation
RBTO.CN,Roberto Resources Inc.
ZTE.CN,ZTEST Electronics Inc.
MOSS.CN,Moss Genomics Inc.
AICO.CN,Generative AI Solutions Corp.
AUMC.CN,Auric Minerals Corp.
MDMA.CN,Pharmala Biotech Holdings Inc.
BLAB.CN,Britannia Life Sciences Inc.
ZEUS.CN,Zeus North America Mining Corp.
NTMC.CN,Neotech Metals Corp.
NPRA.CN,Nepra Foods Inc.
SCU.CN,Sankamap Metals Inc.
BIOV.CN,BioVaxys Technology Corp.
LUX.CN,Newlox Gold Ventures Corp.
SIX.CN,Sixty Six Capital Inc.
ISFT.CN,ICEsoft Technologies Canada Corp.
OILS.CN,Nextleaf Solutions Ltd.
CLC.CN,Christina Lake Cannabis Corp.
RGR.CN,Rio Grande Resources Ltd.
NUKV.CN,Nuclear Vision Limited
BAC.CN,BacTech Environmental Corporation
VSBY.CN,VSBLTY Groupe Technologies Corp.
BTC.CN,Bluesky Digital Assets Corp.
PNGA.CN,Pangea Natural Foods Inc.
MLM.CN,McFarlane Lake Mining Limited
DIGI.CN,Digital Commodities Capital Corp.
KAS.CN,Dynamite Blockchain Corp.
