Ticker,Company
BOCH.CY,Bank of Cyprus Holdings Public Limited Company
HB.CY,Hellenic Bank Public Company Limited
DEM.CY,Demetra Holdings Plc
LOG.CY,Logicom Public Limited
VCW.CY,Vassiliko Cement Works Public Company Ltd
SAL.CY,Salamis Tours (Holdings) Public Limited
CCC.CY,The Cyprus Cement Public Company Limited
KEO.CY,KEO plc
ATL.CY,Atlantic Insurance Company Public Limited
PHL.CY,Petrolina (Holdings) Public Ltd
IDNA.CY,IDNA Genomics Public Ltd
FWW.CY,Woolworth (Cyprus) Properties Plc
FBI.CY,Alkis H. Hadjikyriacos (Frou Frou Biscuits) Public Ltd.
KG.CY,K + G Complex Public Company Limited
PND.CY,Pandora Investments Public Limited
LUI.CY,Louis plc
LHH.CY,Lordos Hotels (Holdings) Public Limited
BLUE.CY,Blue Island Plc
CBH.CY,Constantinou Bros Hotels Public Company Limited
CTC.CY,Cyprus Trading Corporation Plc
YACHT.CY,UPyachting Management PLC
LCH.CY,Leptos Calypso Hotels Public Limited
MINE.CY,Minerva Insurance Company Public Ltd
LPL.CY,Lordos United Public Ltd
AIAS.CY,Aias Investment Public Ltd
LI.CY,LCP Holdings and investments Public Ltd
CFI.CY,Cyprus Forest Industries Public Ltd
ERME.CY,Ermes Department Stores Plc
CLL.CY,CLR Investment Fund Public Ltd.
UNI.CY,Unigrowth Investments Public Ltd
