Ticker,Company
NMB.TZ,NMB Bank Plc
TBL.TZ,Tanzania Breweries Public Limited Company
EABL.TZ,East African Breweries PLC
KCB.TZ,KCB Group PLC
CRDB.TZ,CRDB Bank Plc
TCC.TZ,Tanzania Cigarette Public Limited Company
VODA.TZ,Vodacom Tanzania Public Limited Company
TPCC.TZ,Tanzania Portland Cement Public Limited Company
KA.TZ,Kenya Airways Plc
JHL.TZ,Jubilee Holdings Limited
TCCL.TZ,Tanga Cement Public Limited Company
DSE.TZ,Dar es Salaam Stock Exchange Plc
PAL.TZ,Precision Air Services Plc
NICO.TZ,National Investment Company Limited
SWIS.TZ,Swissport Tanzania Plc
AFRIPRISE.TZ,Afriprise Investment PLC
SWALA.TZ,Swala Oil & Gas (Tanzania) plc
TOL.TZ,TOL Gases Limited
NMG.TZ,Nation Media Group PLC
MKCB.TZ,Mkombozi Commercial Bank Plc
MCB.TZ,Mwalimu Commercial Bank PLC
MUCOBA.TZ,Mucoba Bank Plc
DCB.TZ,DCB Commercial Bank Plc
MBP.TZ,Maendeleo Bank PLC
YETU.TZ,Yetu Microfinance Bank PLC
TTP.TZ,Tatepa Public Limited Company
USL.TZ,Uchumi Supermarkets Limited
JATU.TZ,Jenga Afya Tokomeza Umasikini
