Ticker,Company
DEWA.DU,Dubai Electricity and Water Authority (PJSC)
EMIRATESNBD.DU,Emirates NBD Bank PJSC
EMAAR.DU,Emaar Properties PJSC
DIB.DU,Dubai Islamic Bank P.J.S.C.
EMAARDEV.DU,Emaar Development PJSC
MASQ.DU,Mashreqbank PSC
SALIK.DU,Salik Company P.J.S.C.
DU.DU,Emirates Integrated Telecommunications Company PJSC
TALABAT.DU,Talabat Holding plc
CBD.DU,Commercial Bank of Dubai PSC
PARKIN.DU,Parkin Company P.J.S.C.
EMPOWER.DU,Emirates Central Cooling Systems Corporation
TECOM.DU,TECOM Group PJSC
AIRARABIA.DU,Air Arabia PJSC
DFM.DU,Dubai Financial Market P.J.S.C.
DIC.DU,Dubai Investments PJSC
TABREED.DU,National Central Cooling Company PJSC
ALANSARI.DU,Al Ansari Financial Services PJSC
NIND.DU,National Industries Group Holding - KPSC
SALAM_BAH.DU,Al Salam Bank B.S.C.
AGLTY.DU,Agility Public Warehousing Company K.S.C.P.
DTC.DU,Dubai Taxi Company P.J.S.C.
SPINNEYS.DU,Spinneys 1961 Holding plc
GFH.DU,GFH Financial Group BSC
GULFNAV.DU,Gulf Navigation Holding PJSC
DEYAAR.DU,Deyaar Development PJSC
ARMX.DU,Aramex PJSC
AJMANBANK.DU,Ajman Bank PJSC
TAALEEM.DU,Taaleem Holdings PJSC
UNIONCOOP.DU,Union Coop
AMANAT.DU,Amanat Holdings PJSC
UPP.DU,Union Properties Public Joint Stock Company
AMLAK.DU,Amlak Finance PJSC
IFA.DU,International Financial Advisors Holding - KPSC
DRC.DU,Dubai Refreshment (P.J.S.C.)
SUKOON.DU,Sukoon Insurance PJSC
DIN.DU,Dubai Insurance Company (P.S.C.)
NCC.DU,National Cement Company (Public Shareholding Co.)
NGI.DU,National General Insurance Co. (P.J.S.C.)
ERC.DU,Emirates Reem Investments Company P.J.S.C
DSI.DU,Drake and Scull International P.J.S.C.
SHUAA.DU,SHUAA Capital PSC
EIBANK.DU,Emirates Investment Bank P.J.S.C.
ALRAMZ.DU,Al Ramz Corporation Investment and Development P.J.S.C.
MAZAYA.DU,Al-Mazaya Holding Company - K.S.C. (Public)
NIH.DU,National International Holding Company K.S.C.P.
DNIR.DU,Dubai National Insurance & Reinsurance Co. (P.S.C.)
UFC.DU,United Foods Company (PSC)
SALAMA.DU,Islamic Arab Insurance Co. (Salama) PJSC
ITHMR.DU,Ithmaar Holding B.S.C.
BHMCAPITAL.DU,BHM Capital Financial Services PSC
WATANIA.DU,Watania International Holding PJSC
ALFIRDOUS.DU,Al Firdous Holdings (P.J.S.C.)
ALSALAMSUDAN.DU,Al Salam Bank - Sudan
AMAN.DU,Dubai Islamic Insurance & Reinsurance Co. (Aman) (P.J.S.C)
EKTTITAB.DU,Ekttitab Holding Company K.S.C Public
