Ticker,Company
GP,Grameenphone Ltd.
SQURPHARMA,Square Pharmaceuticals PLC.
BATBC,British American Tobacco Bangladesh Company Limited
ROBI,Robi Axiata PLC.
WALTONHIL,Walton Hi-Tech Industries PLC
BRACBANK,BRAC Bank PLC.
BEXIMCO,Bangladesh Export Import Company Limited
BERGERPBL,Berger Paints Bangladesh Limited
MARICO,Marico Bangladesh Limited
UPGDCL,United Power Generation & Distribution Company Ltd.
RENATA,Renata PLC
ISLAMIBANK,Islami Bank Bangladesh PLC.
LHB,LafargeHolcim Bangladesh PLC.
UNILEVERCL,Unilever Consumer Care Limited
ICB,Investment Corporation of Bangladesh
DUTCHBANGL,Dutch-Bangla Bank PLC.
BXPHARMA,Beximco Pharmaceuticals Limited
EBL,Eastern Bank PLC.
PUBALIBANK,Pubali Bank PLC.
OLYMPIC,Olympic Industries Limited
CITYBANK,City Bank PLC.
MJLBD,MJL Bangladesh PLC
POWERGRID,Power Grid Bangladesh PLC.
PRIMEBANK,Prime Bank PLC.
BEACONPHAR,Beacon Pharmaceuticals PLC
BSCPLC,Bangladesh Submarine Cables PLC
MPETROLEUM,Meghna Petroleum Limited
BSRMLTD,Bangladesh Steel Re-Rolling Mills Limited
UTTARABANK,Uttara Bank PLC.
ALARABANK,Al-Arafah Islami Bank PLC.
BSRMSTEEL,BSRM Steels Limited
JAMUNAOIL,Jamuna Oil Company Limited
TITASGAS,Titas Gas Transmission and Distribution PLC
SHAHJABANK,Shahjalal Islami Bank PLC.
TRUSTBANK,Trust Bank PLC.
KOHINOOR,Kohinoor Chemical Company (Bangladesh) Ltd.
PADMAOIL,Padma Oil PLC.
BANKASIA,Bank Asia PLC.
MIDLANDBNK,Midland Bank PLC.
RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC
BESTHLDNG,Best Holdings PLC.
UCB,United Commercial Bank PLC
ACI,Advanced Chemical Industries Limited
JAMUNABANK,Jamuna Bank PLC.
ACMELAB,The ACME Laboratories Ltd.
SUMITPOWER,Summit Power Limited
BSC,Bangladesh Shipping Corporation
MTB,Mutual Trust Bank PLC.
LINDEBD,Linde Bangladesh Limited
IDLC,IDLC Finance PLC.
HEIDELBCEM,Heidelberg Materials Bangladesh PLC.
NBL,National Bank Limited
KBPPWBIL,Khan Brothers PP Woven Bag Industries Ltd
BATASHOE,Bata Shoe Company (Bangladesh) Limited
NCCBANK,National Credit and Commerce Bank PLC.
DHAKABANK,Dhaka Bank PLC.
IFIC,IFIC Bank PLC
SINGERBD,Singer Bangladesh Limited
UNIQUEHRL,Unique Hotel & Resorts PLC
LOVELLO,Taufika Foods and Lovello Ice-Cream PLC
SOUTHEASTB,Southeast Bank PLC
SQUARETEXT,Square Textiles PLC.
DESCO,Dhaka Electric Supply Company Limited
NATLIFEINS,National Life Insurance PLC
IBNSINA,The IBN SINA Pharmaceutical Industry PLC
MERCANBANK,Mercantile Bank PLC.
PREMIERBAN,The Premier Bank PLC.
RUPALIBANK,Rupali Bank PLC.
SIBL,Social Islami Bank PLC.
GPHISPAT,GPH Ispat Limited
RAKCERAMIC,RAK Ceramics (Bangladesh) Limited
DELTALIFE,Delta Life Insurance Company Limited
EXIMBANK,Export Import Bank of Bangladesh PLC.
LANKABAFIN,LankaBangla Finance PLC.
PTL,Paramount Textile PLC.
ONEBANKPLC,One Bank PLC.
SPCL,Shahjibazar Power Company Limited
NRBBANK,NRB Bank PLC.
CROWNCEMNT,Crown Cement PLC
DBH,DBH Finance PLC.
ENVOYTEX,Envoy Textiles Limited
EHL,Eastern Housing Limited
ORIONPHARM,Orion Pharma Limited
ORIONINFU,Orion Infusion Limited
STANDBANKL,Standard Bank PLC.
ACIFORMULA,ACI Formulations Limited
IFADAUTOS,IFAD Autos PLC.
JHRML,JMI Hospital Requisite Manufacturing Limited
SEAPEARL,Sea Pearl Beach Resort & Spa Limited
IPDC,IPDC Finance PLC.
SBACBANK,SBAC Bank PLC.
BPML,Bashundhara Paper Mills Limited
KEYACOSMET,Keya Cosmetics Limited
NAVANAPHAR,Navana Pharmaceuticals PLC
ABBANK,AB Bank PLC.
RELIANCINS,Reliance Insurance Limited
PREMIERCEM,Premier Cement Mills PLC
SAPORTL,Summit Alliance Port Limited
SHARPIND,Sharp Industries PLC
NRBCBANK,NRBC Bank PLC.
FIRSTSBANK,First Security Islami Bank PLC
SONALIPAPR,Sonali Paper & Board Mills Limited
ITC,IT Consultants PLC.
ASIATICLAB,Asiatic Laboratories Limited
MALEKSPIN,Malek Spinning Mills PLC.
EASTRNLUB,Eastern Lubricants Blenders PLC.
MATINSPINN,Matin Spinning Mills PLC
CONFIDCEM,Confidence Cement PLC
DOREENPWR,Doreen Power Generations and Systems Limited
ADNTEL,ADN Telecom Limited
GREENDELT,Green Delta Insurance PLC.
JMISMDL,JMI Syringes & Medical Devices Limited
KPCL,Khulna Power Company Ltd.
CVOPRL,CVO Petrochemical Refinery PLC.
PRAGATIINS,Pragati Insurance Limited
TECHNODRUG,Techno Drugs Ltd.
PIONEERINS,Pioneer Insurance Company Limited
FEKDIL,Far East Knitting & Dyeing Industries Plc.
EIL,Express Insurance Limited
GIB,Global Islami Bank PLC.
FINEFOODS,Fine Foods Limited
APEXFOOT,Apex Footwear Limited
AMANFEED,Aman Feed Limited
UNIONBANK,Union Bank PLC.
SPCERAMICS,Shinepukur Ceramics Limited
BBSCABLES,BBS Cables PLC.
MIRAKHTER,Mir Akhter Hossain Limited
AFTABAUTO,Aftab Automobiles Limited
KDSALTD,KDS Accessories Limited
MONNOCERA,Monno Ceramic Industries Limited
CITYGENINS,City Insurance PLC.
FARCHEM,FAR Chemical & Textile Ind. PLC
TAMIJTEX,Tamijuddin Textile Mills PLC
EPGL,Energypac Power Generation PLC
ECABLES,Eastern Cables Limited
RUNNERAUTO,Runner Automobiles PLC
INDEXAGRO,Index Agro Industries Limited
SAIFPOWER,Saif Powertec Limited
ESQUIRENIT,Esquire Knit Composite PLC
PRAGATILIF,Pragati Life Insurance PLC
MONOSPOOL,Monospool Bangladesh PLC
DAFODILCOM,Daffodil Computers PLC
SHEPHERD,Shepherd Industries PLC
NHFIL,National Housing Finance PLC
GENEXIL,Genex Infosys PLC
POPULARLIF,Popular Life Insurance Company Limited
BPPL,Baraka Patenga Power Limited
NTLTUBES,National Tubes Limited
FORTUNE,Fortune Shoes Ltd.
BARKAPOWER,Baraka Power Limited
SHASHADNIM,Shasha Denims PLC.
GHAIL,Golden Harvest Agro Industries Limited
MAGURAPLEX,Magura Multiplex PLC.
SUNLIFEINS,Sunlife Insurance Company Limited
QUASEMIND,Quasem Industries Limited
SONALILIFE,Sonali Life Insurance Company Limited
HWAWELLTEX,Hwa Well Textiles (BD) PLC
ARGONDENIM,Argon Denims Limited
AIL,Alif Industries Limited
LEGACYFOOT,Legacy Footwear PLC
UNITEDFIN,United Finance PLC.
RUPALILIFE,Rupali Life Insurance Company Limited
MLDYEING,M.L. Dyeing & Textile Ind. PLC
INTRACO,Intraco Refueling Station PLC
LRBDL,Lub-rref (Bangladesh) Limited
AMBEEPHA,Ambee Pharmaceuticals PLC
ACTIVEFINE,Active Fine Chemicals Limited
EMERALDOIL,Emerald Oil Industries Limited
AGNISYSL,Agni Systems PLC.
SALAMCRST,S. Alam Cold Rolled Steels Limited
NPOLYMER,National Polymer Industries PLC
SANDHANINS,Sandhani Life Insurance Company Limited
CLICL,Chartered Life Insurance Company Limited
ICBIBANK,ICB Islamic Bank Limited
MEGHNALIFE,Meghna Life Insurance PLC
BEACHHATCH,Beach Hatchery Limited
SAIHAMCOT,Saiham Cotton Mills Ltd.
DSSL,Dragon Sweater & Spinning Limited
OIMEX,Oimex Electrode Limited
WMSHIPYARD,Western Marine Shipyard Limited
GOLDENSON,Golden Son Limited
FAREASTLIF,Fareast Islami Life Insurance Company Limited
LIBRAINFU,Libra Infusions Limited
CENTRALINS,Central Insurance Company Limited
CRYSTALINS,Crystal Insurance Company Limited
SONALIANSH,Sonali Aansh Industries Limited
ATLASBANG,Atlas Bangladesh Limited
QUEENSOUTH,Queen South Textile Mills Limited
ANWARGALV,Anwar Galvanizing Limited
FUWANGCER,Fu-Wang Ceramic Industry Limited
NTC,National Tea Company Limited
SSSTEEL,S. S. Steel Limited
PHARMAID,Pharma Aids Limited
RDFOOD,Rangpur Dairy & Food Products Limited
EASTERNINS,Eastern Insurance Company Limited
AMCL(PRAN),Agricultural Marketing Company Limited
BDTHAI,Bangladesh Thai Aluminium Limited
BNICL,Bangladesh National Insurance Company Limited
BBS,Bangladesh Building Systems PLC.
TILIL,Trust Islami Life Insurance Ltd.
FUWANGFOOD,Fu-Wang Foods Limited
ACFL,Aman Cotton Fibrous Limited
RINGSHINE,Ring Shine Textiles Limited
BENGALWTL,Bengal Windsor Thermoplastics PLC.
ETL,Evince Textiles Limited
AAMRANET,aamra networks limited
ACMEPL,ACME Pesticides Limited
WATACHEM,Wata Chemicals Limited
UNITEDINS,United Insurance Company Limited
REPUBLIC,Republic Insurance Company Limited
STANDARINS,Standard Insurance Limited
AOL,Associated Oxygen Limited
BGIC,Bangladesh General Insurance Company PLC.
ALIF,Alif Manufacturing Company Ltd.
MONNOFABR,Monno Fabrics Limited
NAVANACNG,Navana CNG Limited
SILCOPHL,Silco Pharmaceuticals Limited
ISLAMIINS,Islami Insurance Bangladesh Limited
PARAMOUNT,Paramount Insurance PLC.
DACCADYE,The Dacca Dyeing & Manufacturing Company Limited
RAHIMAFOOD,Rahima Food Corporation Ltd.
EASTLAND,Eastland Insurance PLC.
BDFINANCE,Bangladesh Finance PLC.
GQBALLPEN,GQ Ball Pen Industries Limited
RUPALIINS,Rupali Insurance Company Limited
MONNOAGML,Monno Agro & General Machinery Limited
KAY_QUE,Kay & Que (Bangladesh) Limited
EGEN,eGeneration PLC.
MHSML,Mozaffar Hossain Spinning Mills Limited
BDCOM,BDCOM Online Ltd.
TAKAFULINS,Takaful Islami Insurance PLC
RANFOUNDRY,Rangpur Foundry Limited
UNIONINS,Union Insurance Co. Ltd.
SILVAPHL,Silva Pharmaceuticals Limited
GENNEXT,Generation Next Fashions Limited
GHCL,Global Heavy Chemicals Limited
RENWICKJA,"Renwick, Jajneswar & Co. (Bd) Ltd."
GEMINISEA,Gemini Sea Food PLC
APOLOISPAT,Appollo Ispat Complex Limited
NAHEEACP,Nahee Aluminum Composite Panel PLC.
MAKSONSPIN,Maksons Spinning Mills PLC.
DHAKAINS,Dhaka Insurance Limited
KTL,Kattali Textile Limited
UTTARAFIN,Uttara Finance and Investments Limited
FEDERALINS,Federal Insurance PLC
KPPL,Khulna Printing & Packaging Ltd.
SALVOCHEM,Salvo Chemical Industry Limited
ADVENT,Advent Pharma Ltd.
PENINSULA,The Peninsula Chittagong PLC.
TOSRIFA,Tosrifa Industries Limited
ASIAPACINS,Asia Pacific General Insurance Company Limited
COPPERTECH,Coppertech Industries Ltd.
SAMORITA,Samorita Hospital Limited
MEGHNACEM,Meghna Cement Mills PLC.
PEOPLESINS,Peoples Insurance Company Limited
BDLAMPS,Bangladesh Lamps PLC
SIMTEX,Simtex Industries PLC.
OAL,Olympic Accessories Limited
CENTRALPHL,Central Pharmaceuticals Ltd.
SINOBANGLA,Sinobangla Industries Limited
PROVATIINS,Provati Insurance Company Limited
HAKKANIPUL,Hakkani Pulp & Paper Mills PLC.
SAIHAMTEX,Saiham Textile Mills Limited
ASIAINS,Asia Insurance PLC.
KARNAPHULI,Karnaphuli Insurance PLC
GLOBALINS,Global Insurance Limited
NORTHRNINS,Northern Islami Insurance PLC.
APEXFOODS,Apex Foods Limited
IBP,Indo-Bangla Pharmaceuticals Limited
PRIMEFIN,Prime Finance & Investment Limited
BDTHAIFOOD,BD Thai Food & Beverage Limited
PRIMEINSUR,Prime Insurance Company Limited
JANATAINS,Janata Insurance PLC
DOMINAGE,Dominage Steel Building Systems Ltd.
ISLAMICFIN,Islamic Finance and Investment PLC.
RAHIMTEXT,Rahim Textile Mills PLC.
PDL,Pacific Denims Limited
ICICL,Islami Commercial Insurance PLC.
NITOLINS,Nitol Insurance Company Limited
DESHBANDHU,Deshbandhu Polymer Limited
PURABIGEN,Purabi General Insurance Company Limited
PRIMELIFE,Prime Islami Life Insurance Limited
CONTININS,Continental Insurance PLC.
MERCINS,Mercantile Islami Insurance PLC
NFML,National Feed Mill Limited
SONARGAON,Sonargaon Textiles Limited
MIDASFIN,MIDAS Financing PLC.
ARAMIT,Aramit Limited
APEXTANRY,Apex Tannery Limited
PHENIXINS,Phoenix Insurance Company Limited
SONARBAINS,Sonar Bangla Insurance Limited
DELTASPINN,Delta Spinners Limited
RSRMSTEEL,Ratanpur Steel Re-Rolling Mills Limited
AFCAGRO,AFC Agro Biotech Limited
MIRACLEIND,Miracle Industries Limited
MEGHNAINS,Meghna Insurance Company Limited
FAMILYTEX,Familytex (BD) Limited
HAMI,Hami Industries PLC
SICL,Sikder Insurance Company Limited
AGRANINS,Agrani Insurance Company Limited
DGIC,Desh General Insurance Company Limited
YPL,Yeakin Polymer Limited
ZAHEENSPIN,Zaheen Spinning PLC.
STYLECRAFT,Stylecraft Limited
PROGRESLIF,Progressive Life Insurance Company Limited
CNATEX,C & A Textiles Limited
SKTRIMS,SK Trims & Industries Ltd.
DSHGARME,Desh Garments Limited
APEXSPINN,Apex Spinning & Knitting Mills Limited
AAMRATECH,aamra technologies limited
GBBPOWER,GBB Power Limited
HFL,Hamid Fabrics PLC
HRTEX,H.R. Textile Mills Limited
ILFSL,International Leasing and Financial Services Limited
UNIONCAP,Union Capital Limited
VFSTDL,VFS Thread Dyeing Limited
FAREASTFIN,Fareast Finance & Investment Limited
PADMALIFE,Padma Islami Life Insurance Limited
GSPFINANCE,GSP Finance Company (Bangladesh) Limited
BANGAS,Bangas Limited
METROSPIN,Metro Spinning Limited
BAYLEASING,Bay Leasing & Investment Limited
BIFC,Bangladesh Industrial Finance Company Limited
SHYAMPSUG,Shaympur Sugar Mills Ltd.
SAMATALETH,Samata Leather Complex Ltd.
INTECH,Intech Limited
USMANIAGL,Usmania Glass Sheet Factory Limited
PHOENIXFIN,Phoenix Finance & Investments Limited
PLFSL,People's Leasing and Financial Services Limited
ALLTEX,Alltex Industries Limited
DULAMIACOT,Dulamia Cotton Spinning Mills Limited
MITHUNKNIT,Mithun knitting and Dyeing (CEPZ) Ltd.
NEWLINE,New Line Clothings Limited
ZEALBANGLA,Zeal Bangla Sugar Mills Limited
FASFIN,FAS Finance & Investment Limited
ISNLTD,Information Services Network Limited
TALLUSPIN,Toyo Spinning Mills Limited
PRIMETEX,Prime Textile Spinning Mills Limited
REGENTTEX,Regent Textile Mills Limited
BDWELDING,Bangladesh Welding Electrodes Ltd.
FIRSTFIN,First Finance Limited
ARAMITCEM,Aramit Cement PLC
STANCERAM,Standard Ceramic Industries Limited
BDAUTOCA,Bangladesh Autocars Limited
PREMIERLEA,Premier Leasing & Finance Limited
NURANI,Nurani Dyeing & Sweater Limited
SHURWID,Shurwid Industries Limited
ANLIMAYARN,Anlima Yarn Dyeing Limited
ZAHINTEX,Zahintex Industries Ltd.
JUTESPINN,Jute Spinners Limited
MEGCONMILK,Meghna Condensed Milk Industries Limited
SAFKOSPINN,Safko Spinning Mills Limited
TUNGHAI,Tung Hai Knitting and Dyeing Limited
MEGHNAPET,Meghna PET Industries Limited
AZIZPIPES,Aziz Pipes Limited
NORTHERN,Northern Jute Manufacturing Company Limited
