Ticker,Company
9HF.DU,HB Holding N.V.
MGYA.DU,Magyar Telekom Távközlési Nyilvánosan Müködö Részvénytársaság
84U.DU,Driven Brands Holdings Inc.
REB.DU,Arafura Rare Earths Limited
ADE.DU,Bitcoin Group SE
MDV.DU,029 Group SE
D77.DU,DN Deutsche Nachhaltigkeit AG
RLV.DU,RheinLand Holding AG
AEE1.DU,More Impact AG
LA2.DU,Latonba AG
SBX.DU,SynBiotic SE
123F.DU,123fahrschule SE
C45.DU,Faveos SE
XX1.DU,Abo Kraft & Wärme AG
BWQ.DU,Advanced Blockchain AG
RMO.DU,RM Rheiner Management AG
9MQ.DU,HWK 1365 SE
XCX.DU,coinIX GmbH & Co. KGaA
6MP.DU,Murphy & Spitz Green Capital Aktiengesellschaft
4NJ.DU,Deutsche Payment A1M SE
APQ.DU,Aquamondi AG
24I.DU,Chainledger Systems AG
9DD.DU,Cannabis.de Media AG
9D6.DU,aXendis Capital SE
SCM.DU,SCHUMAG Aktiengesellschaft
OJ2.DU,Calvert International AG
SHB3.DU,SCHNIGGE Wertpapierhandelsbank AG
3YO.DU,UPAC SE
CT40.DU,fox e-mobility AG
NSAK.DU,OTI Greentech AG
S14.DU,Strategie Kapital AG
27N0.DU,Cannovum Cannabis AG
8HC.DU,Cogia AG
9TS.DU,TubeSolar AG
A62.DU,IGP Advan­tag AG
9MO.DU,Commertunity AG
9AUA.DU,The New Meat Company AG
