Ticker,Company
ABI.BR,Anheuser-Busch InBev SA/NV
KBC.BR,KBC Group NV
UCB.BR,UCB SA
ARGX.BR,argenx SE
AGS.BR,ageas SA/NV
ELI.BR,Elia Group SA/NV
DIE.BR,D'Ieteren Group SA
SOF.BR,Sofina Société Anonyme
GBLB.BR,Groupe Bruxelles Lambert SA
ACKB.BR,Ackermans & Van Haaren NV
LOTB.BR,Lotus Bakeries NV
SYENS.BR,Syensqo SA/NV
TUB.BR,Financière de Tubize SA
WDP.BR,Warehouses De Pauw SA
COLR.BR,Colruyt Group N.V.
KBCA.BR,KBC Ancora SA
SHUR.BR,Shurgard Self Storage Ltd
DEME.BR,DEME Group NV
BREB.BR,Brederode SA
AZE.BR,Azelis Group NV
AED.BR,Aedifica NV/SA
SOLB.BR,Solvay SA
UMI.BR,Umicore SA
COFB.BR,Cofinimmo SA
TITC.BR,Titan S.A.
MELE.BR,Melexis NV
PROX.BR,Proximus PLC
VGP.BR,VGP NV
CENER.BR,Cenergy Holdings SA
SOLV.BR,Solvac S.A.
BEKB.BR,NV Bekaert SA
FAGR.BR,Fagron NV
GIMB.BR,Gimv NV
CMBT.BR,Cmb.Tech NV
TESB.BR,Tessenderlo Group NV
MONT.BR,Montea Comm. VA
XIOR.BR,Xior Student Housing NV
FLUX.BR,Fluxys Belgium SA
VIO.BR,Viohalco S.A.
OBEL.BR,Orange Belgium S.A.
BAR.BR,Barco NV
KIN.BR,Kinepolis Group NV
RET.BR,Retail Estates N.V.
SPA.BR,Spadel SA
EXM.BR,Exmar NV
FLOB.BR,Floridienne S.A.
SIP.BR,Sipef NV
VASTB.BR,Vastned
RECT.BR,Recticel SA/NV
ONTEX.BR,Ontex Group NV
JEN.BR,Jensen-Group NV
WEHB.BR,Wereldhave Belgium
CPINV.BR,Care Property Invest NV
EVS.BR,EVS Broadcast Equipment SA
BPOST.BR,bpost NV/SA
NEXTA.BR,Nextensa NV/SA
COMB.BR,Compagnie du Bois Sauvage S.A.
VAN.BR,Van de Velde NV
HOMI.BR,Home Invest Belgium S.A.
TINC.BR,TINC NV
IBAB.BR,Ion Beam Applications SA
GREEN.BR,Greenyard NV
ASCE.BR,Ascencio SA
CAMB.BR,Campine NV
ECONB.BR,Econocom Group SE
DECB.BR,Deceuninck NV
NYXH.BR,Nyxoah SA
MOUR.BR,Moury Construct SA
CFEB.BR,Compagnie d'Entreprises CFE SA
WHATS.BR,What's Cooking Group NV
IMMO.BR,Immobel SA
ROU.BR,Roularta Media Group NV
ONWD.BR,Onward Medical N.V.
ATEB.BR,Atenor SA
HYL.BR,Hyloris Pharmaceuticals SA
BTLS.BR,Biotalys NV
BNB.BR,Banque nationale de Belgique SA
AGFB.BR,Agfa-Gevaert NV
BANQ.BR,Banqup Group SA
COBH.BR,Brouwerij Handelsmaatschappij NV
WEB.BR,Warehouses Estates Belgium S.C.A.
INCLU.BR,Inclusio SA
PAY.BR,Payton Planar Magnetics Ltd.
TEXF.BR,Texaf S.A.
HYSG.BR,Hybrid Software Group PLC
EKOP.BR,Ekopak NV
SMAR.BR,Smartphoto Group NV
ROCK.BR,Whitestone Group SA
QRF.BR,Qrf Comm. VA
ABO.BR,ABO-Group Environment NV
MIKO.BR,Miko NV
SEQUA.BR,Sequana Medical NV
IEP.BR,"Iep Invest, NV"
FLSP.BR,Flowsparks NV
ACCB.BR,Accentis N.V.
BANI.BR,Banimmo SA
BCART.BR,Biocartis Group NV
BELYS.BR,Belysse Group NV
MOP.BR,Palmboomen Cultuur Maatschappij Mopoli (Palmeraies De Mopoli) N.V.
NEWT.BR,Newtree S.A.
MOPF.BR,Mopoli Fond
ALEMS.BR,European Medical Solutions
KEYW.BR,Keyware Technologies NV
CYAD.BR,Celyad Oncology SA
IMMOU.BR,Immo Moury SCA
MCC.BR,Immo Mechelen City Center Naamloze vennootschap
ZEN.BR,Immo-Zenobe Gramme SA
OPTI.BR,Crescent NV
DIEG.BR,Immolease Trust NV
REAL.BR,Realco SA
FOU.BR,Fountain S.A.
NYR.BR,Nyrstar NV
MLMAZ.BR,Mazaro N.V.
MLNEU.BR,Compagnie Financière de Neufcour S.A.
MLTV.BR,Choice NV
SOFT.BR,Softimat S.A.
CAND.BR,Candela Invest SA
BIOS.BR,BioSenic S.A.
CLEX.BR,Cumulex N.V.
OXUR.BR,Oxurion NV
DISL.BR,Immobiliere Distri-Land NV
PNSB.BR,Personalized Nursing Services Société Anonyme
REI.BR,Reibel S.A.
