Ticker,Company
EDP.LS,"EDP, S.A."
JMT.LS,"Jerónimo Martins, SGPS, S.A."
GALP.LS,"Galp Energia, SGPS, S.A."
EDPR.LS,"EDP Renováveis, S.A."
BCP.LS,"Banco Comercial Português, S.A."
MRL.LS,"MERLIN Properties SOCIMI, S.A."
NVG.LS,"The Navigator Company, S.A."
SON.LS,"Sonae, SGPS, S.A."
RENE.LS,"REN - Redes Energéticas Nacionais, SGPS, S.A."
NOS.LS,"NOS, S.G.P.S., S.A."
SEM.LS,"Semapa - Sociedade de Investimento e Gestão, SGPS, S.A."
EGL.LS,"Mota-Engil, SGPS, S.A."
COR.LS,"Corticeira Amorim, S.G.P.S., S.A."
ALTR.LS,"Altri, SGPS, S.A."
CTT.LS,"CTT - Correios De Portugal, S.A."
SNC.LS,"Sonaecom, SGPS, S.A."
IBS.LS,"Ibersol, S.G.P.S., S.A."
NBA.LS,"Novabase S.G.P.S., S.A."
MAR.LS,"Martifer SGPS, S.A."
SCT.LS,"Toyota Caetano Portugal, S.A."
SCP.LS,"Sporting Clube de Portugal - Futebol, SAD"
RAM.LS,"Ramada Investimentos e Industria, S.A."
MLMAC.LS,Promotoria MACC 1x1 Socimi S.A.
VAF.LS,"Vista Alegre Atlantis, SGPS, S.A."
MCP.LS,"Grupo Média Capital, SGPS, S.A."
ALSMB.LS,"Samba Digital, SGPS, S.A."
TDSA.LS,"Teixeira Duarte, S.A."
SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD"
MLATR.LS,"Atrium Bire, SIGI, S.A."
MLRSR.LS,"RSR Singular Assets Europe SOCIMI, S.A."
GLINT.LS,"Glintt Global, S.A."
ESON.LS,"Estoril Sol, SGPS, S.A."
PHR.LS,"Pharol, SGPS S.A."
MLFMV.LS,"Farminveste, S.G.P.S., S.A."
MLORE.LS,"Olimpo Real Estate Portugal, SIGI, S.A."
MLMR.LS,"Monumental Residence - Sociedade de Investimento Coletivo Imobiliária Fechada, S.A."
CDU.LS,"Conduril - Engenharia, S.A."
FCP.LS,"Futebol Clube do Porto - Futebol, S.A.D."
IPR.LS,"Impresa - Sociedade Gestora de Participações Sociais, S.A."
SCB.LS,"Sporting Clube de Braga - Futebol, SAD"
FLEXD.LS,Flexdeal Simfe S.A.
SNG.LS,"Sonagi, S.G.P.S., S.A."
MLVDN.LS,"Vila dos Números - SIGI, S.A."
MLRZE.LS,"Raize - Instituição de Pagamentos, S.A."
LIT.LS,"Litho Formas, S.A."
GPA.LS,"Imobiliária Construtora Grão Pará, S.A."
