Ticker,Company
RMS.PA,Hermès International Société en commandite par actions
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
OR.PA,L'Oréal S.A.
AIR.PA,Airbus SE
TTE.PA,TotalEnergies SE
SU.PA,Schneider Electric S.E.
EL.PA,EssilorLuxottica Société anonyme
SAF.PA,Safran SA
AI.PA,L'Air Liquide S.A.
SAN.PA,Sanofi
CS.PA,AXA SA
CSNV.PA,AXA SA
BNP.PA,BNP Paribas SA
CDI.PA,Christian Dior SE
DG.PA,Vinci SA
HO.PA,Thales S.A.
ENGI.PA,Engie SA
ACA.PA,Crédit Agricole S.A.
SGO.PA,Compagnie de Saint-Gobain S.A.
SGONV.PA,Compagnie de Saint-Gobain S.A.
BN.PA,Danone S.A.
DSY.PA,Dassault Systèmes SE
GLE.PA,Société Générale Société anonyme
ORA.PA,Orange S.A.
LR.PA,Legrand SA
CAP.PA,Capgemini SE
NOKIA.PA,Nokia Oyj
AM.PA,Dassault Aviation société anonyme
STLAP.PA,Stellantis N.V.
PUB.PA,Publicis Groupe S.A.
STMPA.PA,STMicroelectronics N.V.
RI.PA,Pernod Ricard SA
ML.PA,Compagnie Générale des Établissements Michelin Société en commandite par actions
VIE.PA,Veolia Environnement SA
KER.PA,Kering SA
DIM.PA,Sartorius Stedim Biotech S.A.
BOL.PA,Bolloré SE
ENX.PA,Euronext N.V.
EN.PA,Bouygues SA
BIM.PA,bioMérieux S.A.
AMUN.PA,Amundi S.A.
BVI.PA,Bureau Veritas SA
URW.PA,Unibail-Rodamco-Westfield SE
SGRO.PA,SEGRO Plc
ERF.PA,Eurofins Scientific SE
RNO.PA,Renault SA
FGR.PA,Eiffage SA
ADP.PA,Aeroports de Paris SA
AC.PA,Accor SA
LI.PA,Klépierre SA
CA.PA,Carrefour SA
GET.PA,Getlink SE
IAM.PA,Itissalat Al-Maghrib (IAM) S.A.
ALO.PA,Alstom SA
IPN.PA,Ipsen S.A.
SW.PA,Sodexo S.A.
SPIE.PA,SPIE SA
RXL.PA,Rexel S.A.
AYV.PA,Ayvens
GFC.PA,Gecina
ODET.PA,Compagnie de l'Odet
CBDG.PA,Compagnie du Cambodge
GTT.PA,Gaztransport & Technigaz SA
FDJU.PA,FDJ United
TE.PA,Technip Energies N.V.
EDEN.PA,Edenred SE
COV.PA,Covivio
ELIS.PA,Elis SA
SCR.PA,SCOR SE
TEP.PA,Teleperformance SE
ALTTU.PA,Tatatu S.p.A.
AKE.PA,Arkema S.A.
SK.PA,SEB SA
NEX.PA,Nexans S.A.
VU.PA,VusionGroup S.A.
RF.PA,Eurazeo SE
SOP.PA,Sopra Steria Group SA
MLHK.PA,H&K AG
MF.PA,Wendel
COTY.PA,Coty Inc.
VK.PA,Vallourec S.A.
COVH.PA,Covivio Hotels
VRLA.PA,Verallia Société Anonyme
FLY.PA,Société Foncière Lyonnaise
TKO.PA,Tikehau Capital
DEC.PA,JCDecaux SE
LOUP.PA,L.D.C. S.A.
RUI.PA,Rubis
MMB.PA,Lagardere SA
VIV.PA,Vivendi SE
ITP.PA,Interparfums SA
VIRP.PA,Virbac SA
IDL.PA,ID Logistics Group SA
TRI.PA,Trigano S.A.
PLX.PA,Pluxee N.V.
BAIN.PA,Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco
UNBL.PA,Unibel S.A.
ATE.PA,Alten S.A.
SESG.PA,SES S.A.
VCT.PA,Vicat S.A.
ARTO.PA,Société Industrielle et Financière de l'Artois Société anonyme
NK.PA,Imerys S.A.
COFA.PA,COFACE SA
RCO.PA,Rémy Cointreau SA
CARM.PA,Carmila S.A.
EXENS.PA,Exosens
ALTA.PA,Altarea SCA
FR.PA,Valeo SE
BB.PA,Société BIC SA
FMONC.PA,Financière Moncey Société anonyme
OVH.PA,OVH Groupe S.A.
AF.PA,Air France-KLM SA
CAF.PA,Caisse Régionale de Crédit Agricole Mutuel de Paris et d'Ile-de-France
ES.PA,Esso S.A.F.
ANTIN.PA,Antin Infrastructure Partners SAS
IPS.PA,Ipsos SA
TFI.PA,TF1 SA
PEUG.PA,Peugeot Invest Société anonyme
ICAD.PA,Icade
PLNW.PA,Planisware SAS
EMEIS.PA,emeis Société anonyme
STF.PA,STEF SA
BLV.PA,Believe S.A.
ALHG.PA,Louis Hachette Group S.A.
ARG.PA,Argan SA
CBE.PA,Robertet SA
CBR.PA,Robertet SA
RBT.PA,Robertet SA
CLARI.PA,Clariane SE
OPM.PA,OPmobility SE
FRVIA.PA,Forvia SE
SOI.PA,Soitec SA
MMT.PA,Métropole Télévision S.A.
FII.PA,Lisi S.A.
EXA.PA,Exail Technologies
WAVE.PA,Wavestone SA
ETL.PA,Eutelsat Communications S.A.
ERA.PA,ERAMET S.A.
WLN.PA,Worldline SA
GDS.PA,Ramsay Générale de Santé SA
CRBP2.PA,Caisse Régionale de Crédit Agricole Mutuel Brie Picardie Société coopérative
CRLA.PA,Caisse Régionale de Crédit Agricole Mutuel du Languedoc Société coopérative
UBI.PA,Ubisoft Entertainment SA
NRO.PA,Neurones S.A.
VLTSA.PA,Voltalia SA
74SW.PA,74Software
