Ticker,Company
9942.FK,"Joyfull Co., Ltd."
9035.FK,"Daiichi Koutsu Sangyo Co.,Ltd."
6076.FK,"Amaze Co., Ltd."
9407.FK,RKB Mainichi Holdings Corporation
272A.FK,"Green Cross Holdings Co., Ltd."
7441.FK,"Misumi Co., Ltd."
8398.FK,"The Chikuho Bank, Ltd."
2919.FK,"Marutai Co.,Ltd."
8560.FK,"The Miyazaki Taiyo Bank, Ltd."
8554.FK,"The Minami-Nippon Bank,Ltd."
1771.FK,"Nippon Kanryu Industry Co., Ltd."
2058.FK,"Higashimaru Co.,Ltd."
4827.FK,"Business One Holdings, Inc."
5953.FK,"Showa Manufacturing Co.,Ltd."
2974.FK,"DAIEISANGYO Co.,Ltd."
7894.FK,"Maruto Sangyo Co., Ltd."
8559.FK,"The Howa Bank, Ltd."
231A.FK,Cross E Holdings Corporation Limited
1999.FK,Saita Corporation
4018.FK,"Geolocation Technology, Inc."
242A.FK,Repriority Corporation
4995.FK,"Sankei Chemical Co., Ltd."
3047.FK,"Truck-One Co., Ltd."
4250.FK,Frontier Inc.
3824.FK,Media Five Co.
