Ticker,Company
MSF.F,Microsoft Corporation
NVD.F,NVIDIA Corporation
APC.F,Apple Inc.
AMZ.F,"Amazon.com, Inc."
ABEC.F,Alphabet Inc.
FB2A.F,"Meta Platforms, Inc."
1YD.F,Broadcom Inc.
TL0.F,"Tesla, Inc."
CMC.F,JPMorgan Chase & Co.
WMT.F,Walmart Inc.
LLY.F,Eli Lilly and Company
3V64.F,Visa Inc.
ORC.F,Oracle Corporation
NNND.F,Tencent Holdings Limited
NFC.F,"Netflix, Inc."
M4I.F,Mastercard Incorporated
XONA.F,Exxon Mobil Corporation
CTO.F,Costco Wholesale Corporation
PRG.F,The Procter & Gamble Company
JNJ.F,Johnson & Johnson
HDI.F,"The Home Depot, Inc."
NCB.F,Bank of America Corporation
NOV.F,Novo Nordisk A/S
SAP.F,SAP SE
PTX.F,Palantir Technologies Inc.
4AB.F,AbbVie Inc.
CCC3.F,The Coca-Cola Company
ASME.F,ASML Holding N.V.
4I1.F,Philip Morris International Inc.
UNH.F,UnitedHealth Group Incorporated
HMI.F,Hermès International Société en commandite par actions
CIS.F,"Cisco Systems, Inc."
MOH.F,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
NESM.F,Nestlé S.A.
CHV.F,Chevron Corporation
IBM.F,International Business Machines Corporation
GCP.F,General Electric Company
TM5.F,"T-Mobile US, Inc."
FOO.F,"Salesforce, Inc."
NWT.F,Wells Fargo & Company
ABL.F,Abbott Laboratories
TOM.F,Toyota Motor Corporation
LOR.F,L'Oréal S.A.
ZEG.F,AstraZeneca PLC
LIN.F,Linde plc
R6C0.F,Shell plc
DWD.F,Morgan Stanley
WDP.F,The Walt Disney Company
ITU.F,Intuit Inc.
AEC1.F,American Express Company
MDO.F,McDonald's Corporation
AMD.F,"Advanced Micro Devices, Inc."
4S0.F,"ServiceNow, Inc."
HBC1.F,HSBC Holdings plc
6MK.F,"Merck & Co., Inc."
SOBA.F,AT&T Inc.
5UR.F,RTX Corporation
SIE.F,Siemens Aktiengesellschaft
GOS.F,"The Goldman Sachs Group, Inc."
IUI1.F,"Intuitive Surgical, Inc."
RYC.F,Royal Bank of Canada
TII.F,Texas Instruments Incorporated
PEP.F,"PepsiCo, Inc."
BAC.F,Verizon Communications Inc.
UT8.F,"Uber Technologies, Inc."
PCE1.F,Booking Holdings Inc.
DTE.F,Deutsche Telekom AG
QCI.F,QUALCOMM Incorporated
CAT1.F,Caterpillar Inc.
M4B.F,"China Merchants Bank Co., Ltd."
ADB.F,Adobe Inc.
AMG.F,Amgen Inc.
MHL.F,S&P Global Inc.
UNVB.F,Unilever PLC
UU2.F,"BlackRock, Inc."
BSX.F,Boston Scientific Corporation
ALV.F,Allianz SE
BCO.F,The Boeing Company
TN8.F,Thermo Fisher Scientific Inc.
AIR.F,Airbus SE
TRVC.F,Citigroup Inc.
639.F,Spotify Technology S.A.
BY6.F,BYD Company Limited
ALD.F,Honeywell International Inc.
DCO.F,Deere & Company
TOTB.F,TotalEnergies SE
1NBA.F,Anheuser-Busch InBev SA/NV
DAP.F,Danaher Corporation
AP2.F,"Applied Materials, Inc."
SND.F,Schneider Electric S.E.
TJX.F,"The TJX Companies, Inc."
MTE.F,"Micron Technology, Inc."
PFE.F,Pfizer Inc.
GIS.F,"Gilead Sciences, Inc."
5AP.F,"Palo Alto Networks, Inc."
UNP.F,Union Pacific Corporation
3EC.F,Eaton Corporation plc
CTP2.F,Comcast Corporation
ESL.F,EssilorLuxottica Société anonyme
ADP.F,"Automatic Data Processing, Inc."
SEJ1.F,Safran SA
MLB1.F,"MercadoLibre, Inc."
1TY.F,Prosus N.V.
AIL.F,L'Air Liquide S.A.
YCP.F,ConocoPhillips
LWE.F,"Lowe's Companies, Inc."
SNW.F,Sanofi
KLA.F,KLA Corporation
VX1.F,Vertex Pharmaceuticals Incorporated
2M6.F,Medtronic plc
LOM.F,Lockheed Martin Corporation
BMT.F,British American Tobacco p.l.c.
BMTA.F,British American Tobacco p.l.c.
BBN1.F,Blackstone Inc.
SRB.F,Starbucks Corporation
AXA.F,AXA SA
IC2.F,"Intercontinental Exchange, Inc."
PHM7.F,"Altria Group, Inc."
RRU.F,Rolls-Royce Holdings plc
CRIN.F,UniCredit S.p.A.
FR7.F,"Fast Retailing Co., Ltd."
EN3.F,Enbridge Inc.
SOT.F,The Southern Company
IES.F,Intesa Sanpaolo S.p.A.
RDEB.F,RELX PLC
BNP.F,BNP Paribas SA
BRM.F,Bristol-Myers Squibb Company
RIO1.F,Rio Tinto Group
KEE.F,Keyence Corporation
UWS.F,"Waste Management, Inc."
INL.F,Intel Corporation
2IS.F,Trane Technologies plc
ENL.F,Enel SpA
MCK.F,McKesson Corporation
2BH.F,"HCA Healthcare, Inc."
RHM.F,Rheinmetall AG
7A2.F,AIA Group Limited
DIO.F,Christian Dior SE
CIT.F,Cintas Corporation
NKE.F,"NIKE, Inc."
IVS.F,Investor AB (publ)
KTF.F,"Mondelez International, Inc."
A58.F,"Elevance Health, Inc."
DUT.F,Moody's Corporation
CVS.F,CVS Health Corporation
CGN.F,The Cigna Group
PAR.F,Parker-Hannifin Corporation
SJ3.F,The Sherwin-Williams Company
MUV2.F,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
BPE5.F,BP p.l.c.
6Z1.F,"Airbnb, Inc."
2FE.F,Ferrari N.V.
12DA.F,Dell Technologies Inc.
ENR.F,Siemens Energy AG
GS71.F,GSK plc
RPU.F,"Republic Services, Inc."
BSP.F,BAE Systems plc
DNQ.F,Equinor ASA
MMM.F,3M Company
PCU.F,Southern Copper Corporation
SQU.F,Vinci SA
BZZ.F,Bank of Montreal
4VK.F,Aon plc
CFX.F,Capital One Financial Corporation
1QZ.F,"Coinbase Global, Inc."
X88.F,Canadian Pacific Kansas City Limited
GDX.F,General Dynamics Corporation
MBI.F,Mitsubishi Corporation
ACO4.F,Atlas Copco AB (publ)
SYP.F,"Synopsys, Inc."
WMB.F,"The Williams Companies, Inc."
CPA.F,Colgate-Palmolive Company
NTH.F,Northrop Grumman Corporation
ILT.F,Illinois Tool Works Inc.
5Q5.F,Snowflake Inc.
NNGF.F,National Grid plc
ZOE.F,Zoetis Inc.
48Z.F,Howmet Aerospace Inc.
UB5.F,U.S. Bancorp
2PP.F,"PayPal Holdings, Inc."
BN9.F,The Bank of New York Mellon Corporation
NMM.F,Newmont Corporation
AE9.F,Agnico Eagle Mines Limited
AP3.F,"Air Products and Chemicals, Inc."
2KD.F,"Kinder Morgan, Inc."
INN1.F,ING Groep N.V.
BCY.F,Barclays PLC
LLD.F,Lloyds Banking Group plc
PA9.F,"The Travelers Companies, Inc."
4PN.F,Carrier Global Corporation
FPMB.F,Freeport-McMoRan Inc.
SHL.F,Siemens Healthineers AG
CSF.F,Thales S.A.
GUI.F,Diageo plc
XGR2.F,Compass Group PLC
DB1.F,Deutsche Börse AG
1N8.F,Adyen N.V.
OCBA.F,Oversea-Chinese Banking Corporation Limited
RYSD.F,NatWest Group plc
AFL.F,Aflac Incorporated
7NF.F,"Nongfu Spring Co., Ltd."
MRK.F,Merck KGaA
GZF.F,Engie SA
RGO.F,"Regeneron Pharmaceuticals, Inc."
AEP.F,"American Electric Power Company, Inc."
XCA.F,Crédit Agricole S.A.
JAT.F,Japan Tobacco Inc.
GOB.F,Compagnie de Saint-Gobain S.A.
MBG.F,Mercedes-Benz Group AG
FDX.F,FedEx Corporation
DBK.F,Deutsche Bank Aktiengesellschaft
BSN.F,Danone S.A.
DHL.F,Deutsche Post AG
CHQ1.F,"Cheniere Energy, Inc."
BBK.F,Truist Financial Corporation
ASG.F,Assicurazioni Generali S.p.A.
RY6.F,Realty Income Corporation
ONK.F,"ONEOK, Inc."
BMW.F,Bayerische Motoren Werke Aktiengesellschaft
IFX.F,Infineon Technologies AG
R66.F,Phillips 66
VOW.F,Volkswagen AG
VOW3.F,Volkswagen AG
NAQ.F,"Nasdaq, Inc."
04Q.F,Nordea Bank Abp
BZ4.F,TE Connectivity plc
AINN.F,"American International Group, Inc."
UI51.F,"Waste Connections, Inc."
BOX.F,"Becton, Dickinson and Company"
A4S.F,"Ameriprise Financial, Inc."
ENI.F,Eni S.p.A.
HNK1.F,Heineken N.V.
PAE.F,PACCAR Inc
FAS.F,Fastenal Company
3RB.F,Reckitt Benckiser Group plc
DSYA.F,Dassault Systèmes SE
HRS.F,"L3Harris Technologies, Inc."
H6D0.F,Haleon plc
TKD.F,Takeda Pharmaceutical Company Limited
8GM.F,General Motors Company
VEE.F,Veeva Systems Inc.
EOAN.F,E.ON SE
8GC.F,Glencore plc
UR3.F,"United Rentals, Inc."
UOB.F,United Overseas Bank Limited
3QD.F,"Datadog, Inc."
OPC.F,Occidental Petroleum Corporation
KOG.F,The Kroger Co.
EWL.F,Edwards Lifesciences Corporation
GLW.F,Corning Incorporated
DYH.F,Target Corporation
P911.F,Dr. Ing. h.c. F. Porsche AG
PEO.F,Exelon Corporation
SGE.F,Société Générale Société anonyme
BAS.F,BASF SE
KMY.F,Kimberly-Clark Corporation
735.F,Pop Mart International Group Limited
3HM.F,MSCI Inc.
FMC1.F,Ford Motor Company
CPF.F,CITIC Limited
J4D.F,Kenvue Inc.
PSE.F,Public Service Enterprise Group Incorporated
SII.F,Wheaton Precious Metals Corp.
D1NC.F,DNB Bank ASA
ADS.F,adidas AG
FTE.F,Orange S.A.
SQ3.F,"Block, Inc."
TGR.F,"Yum! Brands, Inc."
KDB.F,KBC Group NV
ERT.F,Electronic Arts Inc.
WOSB.F,Wolters Kluwer N.V.
4PG.F,Otis Worldwide Corporation
CBK.F,Commerzbank AG
HO2.F,"D.R. Horton, Inc."
HNR1.F,Hannover Rück SE
