Ticker,Company
VTWR.HA,Vantage Towers AG
O2D.HA,Telefónica Deutschland Holding AG
OSR.HA,OSRAM Licht AG
GIB.HA,GSW Immobilien AG
RKET.HA,Rocket Internet SE
HBM.HA,HORNBACH Baumarkt AG
ZO1.HA,zooplus SE
TLG.HA,TLG Immobilien AG
CE2.HA,CropEnergies AG
CEV.HA,Centrotec SE
SLT.HA,Schaltbau Holding AG
FDD.HA,Pilkington Deutschland AG
EUK2.HA,EUROKAI GmbH & Co. KGaA
HOC.HA,HolidayCheck Group AG
AR40.HA,AURELIUS Equity Opportunities SE & Co. KGaA
VQT.HA,va-Q-tec AG
AB9.HA,ABO Energy GmbH & Co. KGaA
IFA.HA,LS Invest AG
KTEK.HA,KATEK SE
KBU.HA,TAG Colonia-Immobilien AG
B5A0.HA,BAUER Aktiengesellschaft
BBHK.HA,Deutsche Balaton AG
MSGL.HA,msg life ag
TC1.HA,Tele Columbus AG
ESY.HA,Easy Software AG
NEP.HA,SLOMAN NEPTUN Schiffahrts-Aktiengesellschaft
CAG0.HA,Clere AG
LOU.HA,DEAG Deutsche Entertainment Aktiengesellschaft
HAEK.HA,HAEMATO AG
DE10.HA,Deufol SE
HHX.HA,HAMMONIA Schiffsholding AG
SW10.HA,SHW AG
GBQ.HA,GBK Beteiligungen AG
FFM1.HA,Franconofurt AG
M4N.HA,Give AG
H2RB.HA,Halloren Schokoladenfabrik Aktiengesellschaft
T9G.HA,Vidac Pharma Holding Plc
H9Y.HA,HanseYachts AG
IVX.HA,InVision Aktiengesellschaft
C9T.HA,HÖVELRAT Holding AG
EBS.HA,Elbstein AG
L1A.HA,Arbitrage Investment AG
BAG.HA,Brilliant AG
B9V.HA,Bavaria Venture Capital & Trade AG
SCI.HA,SCI AG
MT3.HA,DISO Verwaltungs AG
IRPA.HA,lodgyslife AG
IS8.HA,ifa systems AG
SE3.HA,Smart Equity AG
T7RA.HA,DWK Deutsche Wasserkraft AG
MF8.HA,Cash.Medien AG
HSRN.HA,HelveticStar Holding AG
EBGK.HA,Aleia Holding AG
NAB.HA,Nabag AG
D2BA.HA,CD Deutsche Eigenheim AG
I8CK.HA,independent capital AG
QCE.HA,Global PVQ SE
TAV.HA,Trade & Value AG
QOU.HA,Ripag AG
GOG.HA,Afrika Gold AG
JFB.HA,Joh. Friedrich Behrens AG
BGZ.HA,Smart Grids AG
AUV.HA,autowerkstatt group N.V.
SD1.HA,Clean Logistics SE
PS4.HA,Phoenix Solar Aktiengesellschaft
NXI.HA,Activa Resources AG
NST.HA,Steuler Fliesengruppe AG
