Ticker,Company
NDA.FI.HE,Nordea Bank Abp
KNEBV.HE,KONE Oyj
SAMPO.HE,Sampo Oyj
ERIBR.HE,Telefonaktiebolaget LM Ericsson (publ)
NOKIA.HE,Nokia Oyj
FORTUM.HE,Fortum Oyj
UPM.HE,UPM-Kymmene Oyj
TELIA1.HE,Telia Company AB (publ)
WRT1V.HE,Wärtsilä Oyj Abp
ORNAV.HE,Orion Oyj
ORNBV.HE,Orion Oyj
NESTE.HE,Neste Oyj
METSO.HE,Metso Oyj
KESKOA.HE,Kesko Oyj
KESKOB.HE,Kesko Oyj
STEAV.HE,Stora Enso Oyj
STERV.HE,Stora Enso Oyj
ELISA.HE,Elisa Oyj
KCR.HE,Konecranes Plc
SSABAH.HE,SSAB AB (publ)
SSABBH.HE,SSAB AB (publ)
VALMT.HE,Valmet Oyj
HUH1V.HE,Huhtamäki Oyj
HIAB.HE,Hiab Oyj
KEMIRA.HE,Kemira Oyj
MANTA.HE,Mandatum Oyj
KOJAMO.HE,Kojamo Oyj
KALMAR.HE,Kalmar Oyj
TIETO.HE,TietoEVRY Oyj
VAIAS.HE,Vaisala Oyj
SANOMA.HE,Sanoma Oyj
OUT1V.HE,Outokumpu Oyj
TTALO.HE,Terveystalo Oyj
QTCOM.HE,Qt Group Oyj
METSA.HE,Metsä Board Oyj
METSB.HE,Metsä Board Oyj
FSKRS.HE,Fiskars Oyj Abp
PUUILO.HE,Puuilo Oyj
ALMA.HE,Alma Media Oyj
HARVIA.HE,Harvia Oyj
TYRES.HE,Nokian Renkaat Oyj
PON1V.HE,Ponsse Oyj
REG1V.HE,Revenio Group Oyj
AKTIA.HE,Aktia Pankki Oyj
CTY1S.HE,Citycon Oyj
OLVAS.HE,Olvi Oyj
MUSTI.HE,Musti Group Oyj
TOKMAN.HE,Tokmanni Group Oyj
SCANFL.HE,Scanfil Oyj
ALBAV.HE,Ålandsbanken Abp
ALBBV.HE,Ålandsbanken Abp
KEMPOWR.HE,Kempower Oyj
YIT.HE,YIT Oyj
GRK.HE,GRK Infra Oyj
FIA1S.HE,Finnair Oyj
MEKKO.HE,Marimekko Oyj
EVLI.HE,Evli Oyj
LINDEX.HE,Lindex Group Oyj
EQV1V.HE,eQ Oyj
TALLINK.HE,AS Tallink Grupp
ENENTO.HE,Enento Group Oyj
RAIKV.HE,Raisio plc
RAIVV.HE,Raisio plc
VIK1V.HE,Viking Line Abp
ATRAV.HE,Atria Oyj
LAT1V.HE,Lassila & Tikanoja Oyj
PIHLIS.HE,Pihlajalinna Oyj
FSECURE.HE,F-Secure Oyj
CAPMAN.HE,CapMan Oyj
ICP1V.HE,Incap Oyj
CANATU.HE,Canatu Oyj
GOFORE.HE,Gofore Oyj
BITTI.HE,Bittium Oyj
OMASP.HE,Oma Säästöpankki Oyj
ETTE.HE,Etteplan Oyj
ADMCM.HE,Admicom Oyj
FARON.HE,Faron Pharmaceuticals Oy
RELAIS.HE,Relais Group Oyj
PAMPALO.HE,Endomines Finland Oyj
ANORA.HE,Anora Group Oyj
KOSKI.HE,Koskisen Oyj
DIGIA.HE,Digia Oyj
TAALA.HE,Taaleri Oyj
NOHO.HE,NoHo Partners Oyj
ORIOLA.HE,Oriola Oyj
REMEDY.HE,Remedy Entertainment Oyj
UNITED.HE,United Bankers Oyj
WITH.HE,WithSecure Oyj
TNOM.HE,Talenom Oyj
DETEC.HE,Detection Technology Oyj
HEALTH.HE,Nightingale Health Oyj
ASPO.HE,Aspo Oyj
HKFOODS.HE,HKFoods Oyj
SFOODS.HE,Solar Foods Oyj
LEMON.HE,Lemonsoft Oyj
VERK.HE,Verkkokauppa.com Oyj
SUY1V.HE,Suominen Oyj
ALEX.HE,Alexandria Group Oyj
AIFORIA.HE,Aiforia Technologies Oyj
NANOFH.HE,Nanoform Finland Oyj
RAUTE.HE,Raute Oyj
SITOWS.HE,Sitowise Group Oyj
APETIT.HE,Apetit Oyj
SRV1V.HE,SRV Yhtiöt Oyj
ILKKA1.HE,Ilkka Oyj
ILKKA2.HE,Ilkka Oyj
NLG1V.HE,Nurminen Logistics Oyj
CONSTI.HE,Consti Oyj
ASUNTO.HE,Asuntosalkku Oyj
ORTHEX.HE,Orthex Oyj
KSL.HE,Keskisuomalainen Oyj
KAMUX.HE,Kamux Oyj
OPTOMED.HE,Optomed Oyj
NXTMH.HE,Nexstim Plc
VIAFIN.HE,Viafin Service Oyj
KREATE.HE,Kreate Group Oyj
AFAGR.HE,Afarak Group SE
TEM1V.HE,Tecnotree Oyj
TITAN.HE,Titanium Oyj
LOIHDE.HE,Loihde Oyj
TOIVO.HE,Toivo Group Oyj
GLA1V.HE,Glaston Oyj Abp
LAPWALL.HE,LapWall Oyj
FODELIA.HE,Fodelia Oyj
TLT1V.HE,Teleste Oyj
SIILI.HE,Siili Solutions Oyj
ARVOSK.HE,Pohjanmaan Arvo Sijoitusosuuskunta
MODU.HE,Modulight Oyj
RAP1V.HE,Rapala VMC Corporation
AALLON.HE,Aallon Group Oyj
BRETEC.HE,Bioretec Oy
SPRING.HE,Springvest Oyj
SSH1V.HE,SSH Communications Security Oyj
TAMTRON.HE,Tamtron Group Oyj
BIOBV.HE,Biohit Oyj
BOREO.HE,Boreo Oyj
ADMIN.HE,Administer Oyj
MERUS.HE,Merus Power Oyj
EXL1V.HE,Exel Composites Oyj
DWF.HE,Digital Workforce Services Oyj
ESENSE.HE,Enersense International Oyj
CTH1V.HE,Componenta Corporation
LEADD.HE,LeadDesk Oyj
LAMOR.HE,Lamor Corporation Oyj
DUELL.HE,Duell Oyj
INVEST.HE,Investors House Oyj
ACG1V.HE,Aspocomp Group Oyj
INDERES.HE,Inderes Oyj
KHG.HE,KH Group Oyj
WETTERI.HE,Wetteri Oyj
HRTIS.HE,Herantis Pharma Oyj
SAGCV.HE,Saga Furs Oyj
HEEROS.HE,Heeros Oyj
PARTNE1.HE,Partnera Oy
VINCIT.HE,Vincit Oyj
TULAV.HE,Tulikivi Corporation
ROBIT.HE,Robit Oyj
ALISA.HE,Alisa Pankki Oyj
SPINN.HE,Spinnova Oyj
BEER.HE,Nokian Panimo Oyj
WITTED.HE,Witted Megacorp Oyj
BETOLAR.HE,Betolar Oyj
REKA.HE,Reka Industrial Oyj
SOLWERS.HE,Solwers Oyj
NETUM.HE,Netum Group Oyj
OVARO.HE,Ovaro Kiinteistösijoitus Oyj
SOSI1.HE,Sotkamo Silver AB
DOV1V.HE,Dovre Group Plc
DIGIGR.HE,Digitalist Group Plc
PNA1V.HE,Panostaja Oyj
EEZY.HE,Eezy Oyj
WUF1V.HE,Wulff-Yhtiöt Oyj
REBL.HE,Rebl Group Oyj
QPR1V.HE,QPR Software Oyj
HONBS.HE,Honkarakenne Oyj
FONDIA.HE,Fondia Oyj
ECOUP.HE,EcoUp Oyj
NORRH.HE,Norrhydro Group Oyj
EAGLE.HE,Eagle Filters Group Oyj
SOLTEQ.HE,Solteq Oyj
KELAS.HE,Kesla Oyj
ELEAV.HE,Elecster Oyj
TRH1V.HE,Trainers' House Oyj
FIFAX.HE,FIFAX Abp
MARAS.HE,Martela Oyj
PIIPPO.HE,Piippo Oyj
PALLAS.HE,Pallas Air Oyj
SBI.HE,Sunborn International Oyj
