Ticker,Company
KSV.VN,Vinacomin - Minerals Holding Corporation
KSF.VN,Sunshine Group JSC
PVS.VN,PetroVietnam Technical Services Corporation
MBS.VN,MB Securities JSC
IDC.VN,IDICO Corporation - JSC
NVB.VN,National Citizen Commercial Joint Stock Bank
PVI.VN,PVI Holdings
HUT.VN,Tasco JSC
SHS.VN,SaiGon - Hanoi Securities JSC
NTP.VN,Tien Phong Plastic JSC
BAB.VN,Bac A Commercial Joint Stock Bank
THD.VN,Thaiholdings JSC
CEO.VN,C.E.O Group JSC
DTK.VN,Vinacomin - Power Holding Corporation
VCS.VN,Vicostone JSC
DHT.VN,Ha Tay Pharmaceutical JSC
VIF.VN,Viet Nam Forestry Corporation - Joint Stock company
SCG.VN,SCG Construction Group JSC
VNR.VN,Vietnam National Reinsurance Corporation
VFS.VN,Viet First Securities Corporation
VC3.VN,Nam Mekong Group JSC
HGM.VN,Ha Giang Mineral Mechanics JSC
CDN.VN,Danang Port JSC
IPA.VN,Ipa Investments Group JSC
DNP.VN,DongNai Plastic Construction Joint-stock Company
PTI.VN,Post & Telecommunication Joint Stock Insurance Corporation
LAS.VN,Lam Thao Fertilizers & Chemicals JSC
BVS.VN,Bao Viet Securities JSC
TNG.VN,TNG Investment and Trading JSC
PRE.VN,Hanoi Reinsurance JSC
PLC.VN,Petrolimex Petrochemical Corporation - JSC
SLS.VN,Son La Sugar JSC
MVB.VN,Vinacomin - VietBac Mining Industry Holding Corporation
NET.VN,Net Detergent JSC
PGS.VN,Southern Gas Trading JSC
SEB.VN,Mien Trung Power Investment and Development JSC
VGS.VN,Vietnam Germany Steel Pipe JSC
BCF.VN,Bich Chi Food Company
TIG.VN,Thang Long Investment Group JSC
TFC.VN,Trang Corporation
L18.VN,Construction and Investment Stock Company No 18
VTZ.VN,Viet Thanh Plastic Trading And Manufacturing JSC
OCH.VN,One Capital Hospitality JSC
SZB.VN,Sonadezi Long Binh Shareholding Company
DP3.VN,Central Pharmaceutical Joint Stock Company No3
IDV.VN,Vinh Phuc Infrastructure Development JSC
INN.VN,Agriculture Printing and Packaging JSC
DTD.VN,Thanh Dat Investment Development JSC
TMB.VN,Vinacomin - Northern Coal Trading JSC
PMC.VN,Pharmedic Pharmaceutical Medicinal JSC
LHC.VN,Lam Dong Investment and Hydraulic Construction Joint-Stock Company
PVC.VN,Petrovietnam Chemical and Services Corporation
IVS.VN,Guotai Junan Securities (Vietnam) Corp.
TVC.VN,Tri Viet Asset Management Corporation JSC
BCC.VN,Vicem Bimson Cement JSC
EVS.VN,Everest Securities JSC
DL1.VN,Alpha Seven Group JSC
L14.VN,Licogi 14 JSC
CSC.VN,Cotana Group JSC
NFC.VN,Ninh Binh Phosphate Fertilizer JSC
VC7.VN,BGI Group JSC
IDJ.VN,IDJ Vietnam Investment JSC
SHN.VN,Hanoi Investment General Corporation
SGC.VN,Sa Giang Import Export Corporation
PIC.VN,PC3 - Investment JSC
S99.VN,SCI JSC
PVB.VN,PetroVietnam Coating JSC
VNC.VN,Vinacontrol Group Corporation
NDN.VN,Danang Housing Investment Development JSC
SAF.VN,Safoco Foodstuff JSC
BTS.VN,Vicem But Son Cement JSC
HJS.VN,Nam Mu Hydropower JSC
API.VN,Asia-Pacific Investment JSC
PSD.VN,Petroleum General Distribution Services JSC
DNC.VN,Haiphong Electricity Water Machine Assembly JSC
PCT.VN,Global Pacific Shipping JSC
NTH.VN,Nuoc Trong Hydro - Power JSC
DXP.VN,Doan Xa Port JSC
CAP.VN,Yen Bai Agro-Forestry Products & Foodstuff Corporation
VC2.VN,Vina2 Invest and Construction JSC
SJE.VN,Song Da No. 11 JSC
NAG.VN,Nagakawa Group JSC
PHN.VN,Hanoi Battery JSC
BKC.VN,Bac Kan Mineral Joint Stock Corporation
APS.VN,Asia Pacific Securities JSC
TVD.VN,Vinacomin - Vang Danh Coal JSC
SJ1.VN,Hung Hau Agricultural Corporation
AAV.VN,AAV Group JSC
MST.VN,MST Investment JSC
VC6.VN,Visicons Construction and Investment JSC
VNF.VN,Vinafreight JSC
HTC.VN,HocMon Trade JSC
HLD.VN,HUDLAND Real Estate Investment and Development JSC
NRC.VN,Danh Khoi Group JSC
