Ticker,Company
VCB.VN,Joint Stock Commercial Bank for Foreign Trade of Vietnam
VIC.VN,Vingroup JSC
VHM.VN,Vinhomes JSC
BID.VN,Joint Stock Commercial Bank for Investment and Development of Vietnam
TCB.VN,Vietnam Technological and Commercial Joint Stock Bank
CTG.VN,Vietnam Joint Stock Commercial Bank for Industry and Trade
HPG.VN,Hoa Phat Group JSC
FPT.VN,FPT Corporation
GAS.VN,Petrovietnam Gas Joint Stock Corporation
MBB.VN,Military Commercial Joint Stock Bank
VPB.VN,Vietnam Prosperity Joint Stock Commercial Bank
VNM.VN,Vietnam Dairy Products JSC
ACB.VN,Asia Commercial Joint Stock Bank
MSN.VN,Masan Group Corporation
LPB.VN,Fortune Vietnam Joint Stock Commercial Bank
MWG.VN,Mobile World Investment Corporation
STB.VN,Saigon Thuong Tin Commercial Joint Stock Bank
HVN.VN,Vietnam Airlines JSC
GVR.VN,Vietnam Rubber Group JSC
HDB.VN,Ho Chi Minh City Development Joint Stock Commercial Bank
SAB.VN,Saigon Beer - Alcohol - Beverage Corporation
BCM.VN,Investment and Industrial Development Corporation - JSC
VRE.VN,Vincom Retail JSC
VIB.VN,Vietnam International Commercial Joint Stock Bank
SHB.VN,Saigon - Hanoi Commercial Joint Stock Bank
SSB.VN,Southeast Asia Commercial Joint Stock Bank
PLX.VN,Vietnam National Petroleum Group
VJC.VN,VietJet Aviation JSC
SSI.VN,SSI Securities Corporation
EIB.VN,Vietnam Export Import Commercial Joint Stock Bank
BVH.VN,Bao Viet Holdings
REE.VN,Refrigeration Electrical Engineering Corporation
DGC.VN,Duc Giang Chemicals Group JSC
TPB.VN,Tien Phong Commercial Joint Stock Bank
GEX.VN,GELEX Group JSC
MSB.VN,Vietnam Maritime Commercial Joint Stock Bank
POW.VN,PetroVietnam Power Corporation - JSC
KDH.VN,Khang Dien House Trading and Investment JSC
NVL.VN,No Va Land Investment Group Corporation
OCB.VN,Orient Commercial Joint Stock Bank
PNJ.VN,Phu Nhuan Jewelry JSC
