Ticker,Company
JBTM.IC,JBT Marel Corporation
ALVO.IC,Alvotech
ARION.IC,Arion banki hf.
ISB.IC,Íslandsbanki hf.
SVN.IC,Sildarvinnslan Hf.
OCS.IC,Oculis Holding AG
BRIM.IC,Brim hf.
HAGA.IC,Hagar hf
ISF.IC,Ísfélag hf.
FESTI.IC,Festi hf.
REITIR.IC,Reitir fasteignafélag hf.
KVIKA.IC,Kvika banki hf.
HEIMAR.IC,Heimar hf.
HAMP.IC,Hampiðjan hf.
AMRQ.IC,Amaroq Minerals Ltd.
EIM.IC,Eimskipafélag Íslands hf.
SJOVA.IC,Sjóvá-Almennar tryggingar hf.
OLGERD.IC,Ölgerðin Egill Skallagrímsson hf.
EIK.IC,Eik fasteignafélag hf.
ICEAIR.IC,Icelandair Group hf.
ISLAX.IC,Icelandic Salmon AS
SKAGI.IC,Skagi hf.
SIMINN.IC,Síminn hf.
SKEL.IC,Skel fjárfestingafélag hf.
KALD.IC,Kaldalón hf.
KLDVK.IC,Kaldvik AS
NOVA.IC,Nova Klúbburinn hf.
ICESEA.IC,Iceland Seafood International hf.
SYN.IC,Sýn hf.
KLAPP.B.IC,Klappir Grænar Lausnir hf.
SFS.B.IC,Sláturfélags Suðurlands svf.
PLAY.IC,Fly Play hf.
SOLID.IC,Solid Clouds hf
