Ticker,Company
BBCA.JK,PT Bank Central Asia Tbk
TPIA.JK,PT Chandra Asri Pacific Tbk
BREN.JK,PT Barito Renewables Energy Tbk
BYAN.JK,PT Bayan Resources Tbk.
AMMN.JK,PT Amman Mineral Internasional Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
DSSA.JK,PT Dian Swastatika Sentosa Tbk
DCII.JK,PT DCI Indonesia Tbk
TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
PANI.JK,PT Pantai Indah Kapuk Dua Tbk
ASII.JK,PT Astra International Tbk
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BRPT.JK,PT Barito Pacific Tbk
CUAN.JK,PT Petrindo Jaya Kreasi Tbk
DNET.JK,PT Indoritel Makmur Internasional Tbk.
ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
BRIS.JK,PT Bank Syariah Indonesia Tbk
SMMA.JK,PT Sinar Mas Multiartha Tbk
AMRT.JK,PT Sumber Alfaria Trijaya Tbk
BNLI.JK,PT Bank Permata Tbk
ANTM.JK,PT Aneka Tambang Tbk
UNTR.JK,PT United Tractors Tbk
CPIN.JK,PT Charoen Pokphand Indonesia Tbk
HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
INDF.JK,PT Indofood Sukses Makmur Tbk
KLBF.JK,PT Kalbe Farma Tbk.
ISAT.JK,PT Indosat Ooredoo Hutchison Tbk
GOTO.JK,PT GoTo Gojek Tokopedia Tbk
MLPT.JK,PT Multipolar Technology Tbk
PGEO.JK,PT Pertamina Geothermal Energy Tbk
BRMS.JK,PT Bumi Resources Minerals Tbk
ADRO.JK,PT Alamtri Resources Indonesia Tbk
UNVR.JK,PT Unilever Indonesia Tbk
AADI.JK,PT Adaro Andalan Indonesia Tbk
BELI.JK,PT Global Digital Niaga Tbk
GEMS.JK,PT Golden Energy Mines Tbk
MDKA.JK,PT Merdeka Copper Gold Tbk
CASA.JK,PT Capital Financial Indonesia Tbk
SUPR.JK,PT Solusi Tunas Pratama Tbk
TBIG.JK,PT Tower Bersama Infrastructure Tbk
MBMA.JK,PT Merdeka Battery Materials Tbk.
SRAJ.JK,PT Sejahteraraya Anugrahjaya Tbk
MYOR.JK,PT Mayora Indah Tbk
BUMI.JK,PT Bumi Resources Tbk
MTEL.JK,PT Dayamitra Telekomunikasi Tbk.
NCKL.JK,PT Trimegah Bangun Persada Tbk
BNGA.JK,PT Bank CIMB Niaga Tbk
ADMR.JK,PT Adaro Minerals Indonesia Tbk
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk
MEGA.JK,PT Bank Mega Tbk
CMRY.JK,PT Cisarua Mountain Dairy Tbk
MDIY.JK,PT Daya Intiguna Yasa Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
INCO.JK,PT Vale Indonesia Tbk
PTBA.JK,PT Bukit Asam Tbk
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk
EMTK.JK,PT Elang Mahkota Teknologi Tbk
INKP.JK,PT Indah Kiat Pulp & Paper Tbk
CBDK.JK,PT Bangun Kosambi Sukses Tbk
NISP.JK,PT Bank OCBC NISP Tbk
MSIN.JK,PT MNC Digital Entertainment Tbk
PNBN.JK,PT Bank Pan Indonesia Tbk
PTRO.JK,PT Petrosea Tbk
SILO.JK,PT Siloam International Hospitals Tbk
JSMR.JK,PT Jasa Marga (Persero) Tbk
TCPI.JK,PT Transcoal Pacific Tbk
BINA.JK,PT Bank Ina Perdana Tbk
AVIA.JK,PT Avia Avian Tbk
ITMG.JK,PT Indo Tambangraya Megah Tbk
AKRA.JK,PT AKR Corporindo Tbk
TOWR.JK,PT Sarana Menara Nusantara Tbk.
FILM.JK,PT.MD Entertainment Tbk
