Ticker,Company
RYA.DW,Ryanair Holdings plc
KRZ.DW,Kerry Group plc
A5G.DW,AIB Group plc
KRX.DW,Kingspan Group plc
BIRG.DW,Bank of Ireland Group plc
GL9.DW,Glanbia plc
HMSO.DW,Hammerson Plc
C5H.DW,Cairn Homes plc
DHG.DW,Dalata Hotel Group plc
PTSB.DW,Permanent TSB Group Holdings plc
UPR.DW,Uniphar plc
GVR.DW,Glenveagh Properties PLC
IR5B.DW,Irish Continental Group plc
GRP.DW,Greencoat Renewables PLC
GYQ.DW,FD Technologies plc
GRW.DW,Molten Ventures Plc
IRES.DW,Irish Residential Properties REIT Plc
EG7.DW,FBD Holdings plc
OIZ.DW,Origin Enterprises plc
KMR.DW,Kenmare Resources plc
HSW.DW,Hostelworld Group plc
MIO.DW,Mincon Group plc
DLE.DW,Datalex plc
MLC.DW,Malin Corporation plc
DQ7A.DW,Donegal Investment Group plc
8GW.DW,Great Western Mining Corporation PLC
