Ticker,Company
QNBTR.IS,QNB Bank A.S.
ASELS.IS,ASELSAN Elektronik Sanayi ve Ticaret Anonim Sirketi
GARAN.IS,Turkiye Garanti Bankasi A.S.
KCHOL.IS,Koç Holding A.S.
ENKAI.IS,Enka Insaat ve Sanayi A.S.
THYAO.IS,Türk Hava Yollari Anonim Ortakligi
ISBTR.IS,Türkiye Is Bankasi A.S.
ISCTR.IS,Türkiye Is Bankasi A.S.
AKBNK.IS,Akbank T.A.S.
FROTO.IS,Ford Otomotiv Sanayi A.S.
BIMAS.IS,BIM Birlesik Magazalar A.S.
TUPRS.IS,Türkiye Petrol Rafinerileri A.S.
VAKBN.IS,Türkiye Vakiflar Bankasi Türk Anonim Ortakligi
YKBNK.IS,Yapi ve Kredi Bankasi A.S.
TCELL.IS,Turkcell Iletisim Hizmetleri A.S.
TTKOM.IS,Türk Telekomünikasyon Anonim Sirketi
EREGL.IS,Eregli Demir ve Çelik Fabrikalari T.A.S.
SAHOL.IS,Haci Ömer Sabanci Holding A.S.
PKENT.IS,Petrokent Turizm A.S.
KENT.IS,Kent Gida Maddeleri Sanayii ve Ticaret A.S.
HALKB.IS,Türkiye Halk Bankasi A.S.
CCOLA.IS,Coca-Cola Içecek Anonim Sirketi
SASA.IS,Sasa Polyester Sanayi A.S.
ZRGYO.IS,Ziraat Gayrimenkul Yatirim Ortakligi A.S.
PGSUS.IS,Pegasus Hava Tasimaciligi Anonim Sirketi
KLRHO.IS,Kiler Holding Anonim Sirketi
DSTKF.IS,Destek Finans Faktoring A.S.
OYAKC.IS,OYAK Çimento Fabrikalari A.S.
ISDMR.IS,Iskenderun Demir ve Çelik A.S.
SISE.IS,Türkiye Sise Ve Cam Fabrikalari A.S.
TOASO.IS,Tofas Türk Otomobil Fabrikasi Anonim Sirketi
ASTOR.IS,Astor Enerji A.S.
DOCO.IS,DO & CO Aktiengesellschaft
MGROS.IS,Migros Ticaret A.S.
AEFES.IS,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi
TURSG.IS,Türkiye Sigorta A.S.
TAVHL.IS,TAV Havalimanlari Holding A.S.
AHGAZ.IS,Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim A.S.
GUBRF.IS,Gübre Fabrikalari Türk Anonim Sirketi
KOZAL.IS,Koza Altin Isletmeleri A.S.
ARCLK.IS,Arçelik Anonim Sirketi
QNBFK.IS,QNB Finansal Kiralama A.S.
ENJSA.IS,Enerjisa Enerji A.S.
AGHOL.IS,AG Anadolu Grubu Holding A.S.
TRGYO.IS,Torunlar Gayrimenkul Yatirim Ortakligi A.S.
VSNMD.IS,Visne Madencilik Üretim Sanayi ve Ticaret A.S.
MPARK.IS,MLP Saglik Hizmetleri A.S.
PASEU.IS,Pasifik Eurasia Lojistik Dis Ticaret A.S.
ENERY.IS,Enerya Enerji Anonim Sirketi
TTRAK.IS,Türk Traktör ve Ziraat Makineleri A.S.
EKGYO.IS,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.
TBORG.IS,Türk Tuborg Bira ve Malt Sanayii A.S.
SELEC.IS,Selçuk Ecza Deposu Ticaret ve Sanayi A.S.
ISMEN.IS,Is Yatirim Menkul Degerler Anonim Sirketi
BRYAT.IS,Borusan Yatirim ve Pazarlama A.S.
TERA.IS,Tera Yatirim Menkul Degerler A.S.
OTKAR.IS,Otokar Otomotiv ve Savunma Sanayi A.S.
UFUK.IS,UFUK Yatirim Yonetim ve Gayrimenkul A.S.
MAGEN.IS,Margün Enerji Üretim Sanayi ve Ticaret A.S.
KLSER.IS,Kaleseramik Canakkale Kalebodur Seramik Sanayi A.S.
GRTHO.IS,GRAINTURK Holding A.S.
GENIL.IS,Gen Ilac Ve Saglik Urunleri Sanayi Ve Ticaret Anonim Sirketi
TKFEN.IS,Tekfen Holding Anonim Sirketi
TABGD.IS,Tab Gida Sanayi ve Ticaret A.S.
BRSAN.IS,Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret A.S.
INVES.IS,Investco Holding A.S.
CIMSA.IS,Çimsa Çimento Sanayi ve Ticaret A.S.
RGYAS.IS,Ronesans Gayrimenkul Yatirim A.S.
PETKM.IS,Petkim Petrokimya Holding Anonim Sirketi
GLRMK.IS,Gulermak Aglr Sanayi Insaat ve Taahhut A.S.
ANSGR.IS,Anadolu Anonim Türk Sigorta Sirketi
EFORC.IS,Efor Cay Sanayi Ticaret Anonim Sirketi
AKSEN.IS,Aksa Enerji Üretim A.S.
LIDER.IS,LDR Turizm A.S.
DOHOL.IS,Dogan Sirketler Grubu Holding A.S.
CLEBI.IS,Çelebi Hava Servisi A.S.
ULKER.IS,Ülker Bisküvi Sanayi A.S.
RAYSG.IS,Ray Sigorta Anonim Sirketi
DOAS.IS,Dogus Otomotiv Servis ve Ticaret A.S.
KLNMA.IS,Türkiye Kalkinma ve Yatirim Bankasi A.S.
RALYH.IS,Ral Yatirim Holding A.S.
ESCAR.IS,Escar Filo Kiralama Hizmetleri A.S.
AKSA.IS,Aksa Akrilik Kimya Sanayii A.S.
ALARK.IS,Alarko Holding A.S.
KOZAA.IS,Koza Anadolu Metal Madencilik Isletmeleri A.S.
RYGYO.IS,Reysas Gayrimenkul Yatirim Ortakligi A.S.
ANHYT.IS,Anadolu Hayat Emeklilik Anonim Sirketi
TSKB.IS,Türkiye Sinai Kalkinma Bankasi A.S.
AYGAZ.IS,Aygaz A.S.
NUHCM.IS,Nuh Çimento Sanayi A.S.
BTCIM.IS,Batiçim Bati Anadolu Çimento Sanayii Anonim Sirketi
ECILC.IS,"EIS Eczacibasi Ilaç, Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S."
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.
BINBN.IS,Bin Ulasim ve Akilli Sehir Teknolojileri A.S.
AGESA.IS,AgeSA Hayat ve Emeklilik Anonim Sirketi
RYSAS.IS,Reysas Tasimacilik ve Lojistik Ticaret A.S.
