Ticker,Company
MASSY.JM,Massy Holdings Ltd.
SGJ.JM,Scotia Group Jamaica Limited
SJ.JM,Sagicor Group Jamaica Limited
NCBFG.JM,NCB Financial Group Limited
GHL.JM,Guardian Holdings Limited
BIL.JM,Barita Investments Limited
PJAM.JM,Pan Jamaica Group Limited
WISYNCO.JM,Wisynco Group Limited
CAR.JM,Carreras Limited
GK.JM,GraceKennedy Limited
CCC.JM,Caribbean Cement Company Limited
SEP.JM,Seprod Limited
SVL.JM,Supreme Ventures Limited
TJH.JM,Transjamaican Highway Limited
TJHUSD.JM,Transjamaican Highway Limited
KW.JM,Kingston Wharves Limited
JMMBGL.JM,JMMB Group Limited
ASBH.JM,A.S. Bryden & Sons Holdings Limited
LASM.JM,Lasco Manufacturing Limited
JBG.JM,Jamaica Broilers Group Limited
JP.JM,Jamaica Producers Group Limited
PROVEN.JM,PROVEN Group Limited
PROVENJA.JM,PROVEN Group Limited
WIG.JM,Wigton Energy Limited
FOSRICH.JM,FosRich Company Limited
LASD.JM,Lasco Distributors Limited
MJE.JM,MAYBERRY JAMAICAN EQUITIES LIMITED
FTNA.JM,Fontana Limited
CPJ.JM,Caribbean Producers (Jamaica) Limited
MGL.JM,Mayberry Group Limited
JSE.JM,The Jamaica Stock Exchange Limited
KPREIT.JM,Kingston Properties Limited
DTL.JM,Derrimon Trading Company Limited
FESCO.JM,Future Energy Source Company Limited
SCIJMD.JM,Sygnus Credit Investments Limited
SCIUSD.JM,Sygnus Credit Investments Limited
MAILPAC.JM,Mailpac Group Limited
EPLY.JM,Eppley Limited
DOLLA.JM,Dolla Financial Services Limited
PULS.JM,Pulse Investments Limited
KEX.JM,Knutsford Express Services Limited
GENAC.JM,General Accident Insurance Company Jamaica Limited
JAMT.JM,Jamaican Teas Limited
DCOVE.JM,Dolphin Cove Limited
SML.JM,Stanley Motta Limited
AFS.JM,Access Financial Services Limited
RPL.JM,Regency Petroleum Company Limited
INDIES.JM,Indies Pharma Jamaica Limited
ECL.JM,Express Catering Limited
HONBUN.JM,Honey Bun (1982) Limited
RJR.JM,Radio Jamaica Limited
CHL.JM,Cargo Handlers Limited
SALF.JM,Salada Foods Jamaica Limited
SOS.JM,Stationery and Office Supplies Limited
PJX.JM,Portland JSX Limited
VMIL.JM,VM Investments Limited
BPOW.JM,Blue Power Group Limited
FIRSTROCKJMD.JM,First Rock Real Estate Investments Limited
FIRSTROCKUSD.JM,First Rock Real Estate Investments Limited
TROPICAL.JM,Tropical Battery Company Limited
AHPC.JM,Atlantic Hardware & Plumbing Company Limited
LASF.JM,Lasco Financial Services Limited
SRFJMD.JM,Sygnus Real Estate Finance Limited
MEEG.JM,Main Event Entertainment Group Limited
LUMBER.JM,Lumber Depot Limited
138SL.JM,138 Student Living Jamaica Limited
EFRESH.JM,Everything Fresh Limited
ONE.JM,One on One Educational Services Limited
SPURTREE.JM,Spur Tree Spices Jamaica Limited
SIL.JM,Sterling Investments Limited
SILUS.JM,Sterling Investments Limited
BRG.JM,Berger Paints Jamaica Limited
PTL.JM,Paramount Trading (Jamaica) Limited
KEY.JM,Key Insurance Company Limited
CFF.JM,Caribbean Flavours and Fragrances Limited
IPCL.JM,Image Plus Consultants Limited
ISP.JM,ISP Finance Services Limited
AMG.JM,AMG Packaging & Paper Company Limited
LAB.JM,The Limners and Bards Limited
ROC.JM,IronRock Insurance Company Limited
QWI.JM,QWI Investments Limited
KREMI.JM,Caribbean Cream Limited
PAL.JM,The Palace Amusement Company (1921) Limited
MTL.JM,Margaritaville (Turks) Ltd
MTLJA.JM,Margaritaville (Turks) Ltd
JETCON.JM,Jetcon Corporation Limited
1GS.JM,One Great Studio Company Limited
ENERGY.JM,Innovative Energy Group Limited
JFP.JM,JFP Limited
CABROKERS.JM,Caribbean Assurance Brokers Limited
ELITE.JM,Elite Diagnostic Limited
GWEST.JM,GWest Corporation Limited
MFS.JM,MFS Capital Partners Limited
MDS.JM,Medical Disposables & Supplies Limited
ICREATE.JM,Kintyre Holdings (JA) Limited
PURITY.JM,Consolidated Bakeries (Jamaica) Limited
CAC.JM,CAC 2000 Limited
LEARN.JM,EduFocal Limited
KLE.JM,K.L.E. Group Limited
