Ticker,Company
ANH.JO,Anheuser-Busch InBev SA/NV
PRX.JO,Prosus N.V.
BHG.JO,BHP Group Limited
BTI.JO,British American Tobacco p.l.c.
CFR.JO,Compagnie Financière Richemont SA
GLN.JO,Glencore plc
NPN.JO,Naspers Limited
AGL.JO,Anglo American plc
ANG.JO,AngloGold Ashanti plc
FSR.JO,FirstRand Limited
GFI.JO,Gold Fields Limited
CPI.JO,Capitec Bank Holdings Limited
SBK.JO,Standard Bank Group Limited
VOD.JO,Vodacom Group Limited
MTN.JO,MTN Group Limited
VAL.JO,Valterra Platinum Limited
SLM.JO,Sanlam Limited
HAR.JO,Harmony Gold Mining Company Limited
BID.JO,Bid Corporation Limited
S32.JO,South32 Limited
SHP.JO,Shoprite Holdings Ltd
ABG.JO,Absa Group Limited
DSY.JO,Discovery Limited
IMP.JO,Impala Platinum Holdings Limited
MNP.JO,Mondi plc
OUT.JO,OUTsurance Group Limited
NED.JO,Nedbank Group Limited
INL.JO,Investec Group
INP.JO,Investec Group
PPH.JO,Pepkor Holdings Limited
NRP.JO,NEPI Rockcastle N.V.
SSW.JO,Sibanye Stillwater Limited
KIO.JO,Kumba Iron Ore Limited
RNI.JO,Reinet Investments S.C.A.
REM.JO,Remgro Limited
CLS.JO,Clicks Group Limited
BVT.JO,The Bidvest Group Limited
NPH.JO,Northam Platinum Holdings Limited
SHC.JO,Shaftesbury Capital PLC
SOL.JO,Sasol Limited
SOLBE1.JO,Sasol Limited
MRP.JO,Mr Price Group Limited
APN.JO,Aspen Pharmacare Holdings Limited
QLT.JO,Quilter plc
OMU.JO,Old Mutual Limited
MCG.JO,MultiChoice Group Limited
TBS.JO,Tiger Brands Limited
WHL.JO,Woolworths Holdings Limited
MTM.JO,Momentum Group Limited
SNT.JO,Santam Ltd
GRT.JO,Growthpoint Properties Limited
TFG.JO,The Foschini Group Limited
AHR.JO,Assura Plc
N91.JO,Ninety One Group
NY1.JO,Ninety One Group
EXX.JO,Exxaro Resources Limited
SRE.JO,Sirius Real Estate Limited
HMN.JO,Hammerson Plc
PHP.JO,Primary Health Properties Plc
ARI.JO,African Rainbow Minerals Limited
RDF.JO,Redefine Properties Limited
AVI.JO,AVI Limited
BOX.JO,Boxer Retail Limited
BYI.JO,Bytes Technology Group plc
DCP.JO,Dis-Chem Pharmacies Limited
KRO.JO,Karooooo Ltd.
TRU.JO,Truworths International Limited
SRI.JO,Supermarket Income REIT plc
KST.JO,PSG Financial Services Limited
VKE.JO,Vukile Property Fund Limited
PAN.JO,Pan African Resources PLC
FFB.JO,Fortress Real Estate Investments Limited
WBC.JO,We Buy Cars Holdings Limited
DRD.JO,DRDGOLD Limited
TKG.JO,Telkom SA SOC Ltd
SPP.JO,The SPAR Group Ltd
BAW.JO,Barloworld Limited
RES.JO,Resilient REIT Limited
LHC.JO,Life Healthcare Group Holdings Limited
SAP.JO,Sappi Limited
PIK.JO,Pick n Pay Stores Limited
PMR.JO,Premier Group Limited
NTC.JO,Netcare Limited
LTE.JO,Lighthouse Properties p.l.c.
MTH.JO,Motus Holdings Limited
ADH.JO,ADvTECH Limited
MSP.JO,MAS P.L.C.
HYP.JO,Hyprop Investments Limited
DTC.JO,Datatec Limited
APH.JO,Alphamin Resources Corp.
CML.JO,Coronation Fund Managers Limited
EQU.JO,Equites Property Fund Limited
OMN.JO,Omnia Holdings Limited
SSU.JO,Southern Sun Limited
BLU.JO,Blue Label Telecoms Limited
ITE.JO,Italtile Limited
GTC.JO,Globe Trade Centre S.A.
PWR.JO,"PowerFleet, Inc."
TGA.JO,Thungela Resources Limited
AFE.JO,AECI Ltd
AFH.JO,Alexander Forbes Group Holdings Limited
HCI.JO,Hosken Consolidated Investments Limited
JSE.JO,JSE Limited
SUI.JO,Sun International Limited
ATT.JO,Attacq Limited
FTA.JO,Fairvest Limited
FTB.JO,Fairvest Limited
OAO.JO,Oando PLC
WBO.JO,Wilson Bayly Holmes-Ovcon Limited
RLO.JO,Reunert Limited
RCL.JO,RCL Foods Limited
CAA.JO,CA Sales Holdings Limited
BAT.JO,Brait PLC
GND.JO,Grindrod Limited
GNDP.JO,Grindrod Limited
RBX.JO,Raubex Group Limited
PPC.JO,PPC Ltd
SAC.JO,SA Corporate Real Estate Limited
CVW.JO,Castleview Property Fund Limited
TSG.JO,Tsogo Sun Limited
SSS.JO,Stor-Age Property REIT Limited
AEL.JO,Altron Limited
AIP.JO,Adcock Ingram Holdings Limited
SDO.JO,Stadio Holdings Limited
AFT.JO,Afrimat Limited
ARL.JO,Astral Foods Limited
OCE.JO,Oceana Group Limited
BTN.JO,Burstone Group Limited
FBR.JO,Famous Brands Limited
LSK.JO,"Lesaka Technologies, Inc."
THA.JO,Tharisa plc
