Ticker,Company
MAYBANK.KL,Malayan Banking Berhad
TENAGA.KL,Tenaga Nasional Berhad
PBBANK.KL,Public Bank Berhad
CIMB.KL,CIMB Group Holdings Berhad
IHH.KL,IHH Healthcare Berhad
CDB.KL,Celcomdigi Berhad
PMETAL.KL,Press Metal Aluminium Holdings Berhad
HLBANK.KL,Hong Leong Bank Berhad
PETGAS.KL,PETRONAS Gas Berhad
MISC.KL,MISC Berhad
SDG.KL,SD Guthrie Berhad
YTLPOWR.KL,YTL Power International Berhad
SUNWAY.KL,Sunway Berhad
MAXIS.KL,Maxis Berhad
GAMUDA.KL,Gamuda Berhad
RHBBANK.KL,RHB Bank Berhad
PCHEM.KL,PETRONAS Chemicals Group Berhad
TM.KL,Telekom Malaysia Berhad
YTL.KL,YTL Corporation Berhad
IOICORP.KL,IOI Corporation Berhad
KLK.KL,Kuala Lumpur Kepong Berhad
PETDAG.KL,PETRONAS Dagangan Berhad
AXIATA.KL,Axiata Group Berhad
WPRTS.KL,Westports Holdings Berhad
HLFG.KL,Hong Leong Financial Group Berhad
99SMART.KL,99 Speed Mart Retail Holdings Berhad
QL.KL,QL Resources Berhad
NESTLE.KL,Nestlé (Malaysia) Berhad
AMBANK.KL,AMMB Holdings Berhad
KLCC.KL,KLCC Property Holdings Berhad
MRDIY.KL,Mr D.I.Y. Group (M) Berhad
PPB.KL,PPB Group Berhad
UTDPLT.KL,United Plantations Berhad
KPJ.KL,KPJ Healthcare Berhad
GENTING.KL,Genting Berhad
SIME.KL,Sime Darby Berhad
GENM.KL,Genting Malaysia Berhad
IOIPG.KL,IOI Properties Group Berhad
SIMEPROP.KL,Sime Darby Property Berhad
TIMECOM.KL,TIME dotCom Berhad
IJM.KL,IJM Corporation Berhad
DIALOG.KL,Dialog Group Berhad
IGBREIT.KL,IGB Real Estate Investment Trust
HEIM.KL,Heineken Malaysia Berhad
CHINHIN.KL,Chin Hin Group Berhad
SUNCON.KL,Sunway Construction Group Berhad
BKAWAN.KL,Batu Kawan Berhad
SUNREIT.KL,Sunway Real Estate Investment Trust
ECOSHOP.KL,Eco-Shop Marketing Berhad
INARI.KL,Inari Amertron Berhad
MYEG.KL,My E.G. Services Berhad
MCEMENT.KL,Malayan Cement Berhad
ABMB.KL,Alliance Bank Malaysia Berhad
YINSON.KL,Yinson Holdings Berhad
AFFIN.KL,AFFIN Bank Berhad
VITROX.KL,ViTrox Corporation Berhad
HAPSENG.KL,Hap Seng Consolidated Berhad
FRONTKN.KL,Frontken Corporation Berhad
BURSA.KL,Bursa Malaysia Berhad
PAVREIT.KL,Pavilion Real Estate Investment Trust
TOPGLOV.KL,Top Glove Corporation Bhd.
CARLSBG.KL,Carlsberg Brewery Malaysia Berhad
LPI.KL,LPI Capital Bhd
MBSB.KL,MBSB Berhad
ECOWLD.KL,Eco World Development Group Berhad
SPSETIA.KL,S P Setia Berhad
HARTA.KL,Hartalega Holdings Berhad
GASMSIA.KL,Gas Malaysia Berhad
BIMB.KL,Bank Islam Malaysia Berhad
SCIENTX.KL,Scientex Berhad
TANCO.KL,Tanco Holdings Berhad
UOADEV.KL,UOA Development Bhd
FGV.KL,FGV Holdings Berhad
GENP.KL,Genting Plantations Berhad
ORIENT.KL,Oriental Holdings Berhad
HLIND.KL,Hong Leong Industries Berhad
GREATEC.KL,Greatech Technology Berhad
MPI.KL,Malaysian Pacific Industries Berhad
AXREIT.KL,Axis Real Estate Investment Trust
MALAKOF.KL,Malakoff Corporation Berhad
ITMAX.KL,ITMAX System Berhad
GCB.KL,Guan Chong Berhad
KOSSAN.KL,Kossan Rubber Industries Bhd
OSK.KL,OSK Holdings Berhad
MFCB.KL,Mega First Corporation Berhad
UEMS.KL,UEM Sunrise Berhad
CAPITALA.KL,Capital A Berhad
IGBB.KL,IGB Berhad
FFB.KL,Farm Fresh Berhad
HEXTAR.KL,Hextar Global Berhad
ALLIANZ.KL,Allianz Malaysia Berhad
NATGATE.KL,NationGate Holdings Berhad
UNISEM.KL,Unisem (M) Berhad
JPG.KL,Johor Plantations Group Berhad
VS.KL,V.S. Industry Berhad
TAKAFUL.KL,Syarikat Takaful Malaysia Keluarga Berhad
AEONCR.KL,AEON Credit Service (M) Berhad
