Ticker,Company
196170.KQ,ALTEOGEN Inc.
247540.KQ,"Ecopro BM. Co., Ltd."
028300.KQ,"HLB Co., Ltd."
277810.KQ,"Rainbow Robotics Co.,Ltd."
086520.KQ,"Ecopro Co., Ltd."
214450.KQ,"PharmaResearch Co., Ltd."
087010.KQ,"Peptron, Inc."
214150.KQ,CLASSYS Inc.
141080.KQ,LigaChem Biosciences Inc.
058470.KQ,LEENO Industrial Inc.
145020.KQ,"Hugel, Inc."
950160.KQ,"Kolon TissueGene, Inc."
000250.KQ,"Sam Chun Dang Pharm. Co., Ltd"
257720.KQ,"SILICON2 Co., Ltd."
298380.KQ,ABL Bio Inc.
041510.KQ,"SM Entertainment Co., Ltd."
082270.KQ,"GemVax&KAEL Co.,Ltd."
263750.KQ,Pearl Abyss Corp.
035900.KQ,JYP Entertainment Corporation
403870.KQ,"HPSP Co., Ltd."
068760.KQ,"Celltrion Pharm, Inc."
065350.KQ,"Shinsung Delta Tech Co.,Ltd."
140860.KQ,Park Systems Corp.
039030.KQ,"EO Technics Co., Ltd."
007390.KQ,"NatureCell Co.,Ltd."
310210.KQ,"Voronoi, Inc."
122870.KQ,YG Entertainment Inc.
035760.KQ,"CJ ENM CO., Ltd."
253450.KQ,Studio Dragon Corporation
005290.KQ,"Dongjin Semichem Co., Ltd."
096530.KQ,"Seegene, Inc."
237690.KQ,"ST Pharm Co.,Ltd."
214370.KQ,"Caregen Co., Ltd."
347850.KQ,D&D Pharmatech Inc.
358570.KQ,"GI Innovation, Inc."
036930.KQ,"JUSUNG ENGINEERING Co.,Ltd."
293490.KQ,Kakao Games Corp.
083650.KQ,"BHI Co., Ltd."
376300.KQ,"DEAR U Co., LTD."
328130.KQ,Lunit Inc.
018290.KQ,"VT Co., Ltd."
357780.KQ,"Soulbrain Co., Ltd."
042000.KQ,Cafe24 Corp.
240810.KQ,"Wonik IPS Co., Ltd."
140410.KQ,"Mezzion Pharma Co.,Ltd."
089030.KQ,"Techwing, Inc."
195940.KQ,HK inno.N Corporation
348370.KQ,"Enchem Co., Ltd."
178320.KQ,"Seojin System Co.,Ltd"
112040.KQ,"Wemade Co.,Ltd."
064760.KQ,"Tokai Carbon Korea Co., Ltd."
086900.KQ,Medy-Tox Inc.
204270.KQ,"JNTC Co., Ltd."
095340.KQ,"ISC Co., Ltd."
039200.KQ,Oscotec Inc.
098460.KQ,Koh Young Technology Inc.
078600.KQ,"Daejoo Electronic Materials Co., Ltd."
067160.KQ,"Soop Co., Ltd."
336570.KQ,"WON TECH Co.,Ltd."
060370.KQ,"LS Marine Solution Co., Ltd."
161580.KQ,"Philoptics Co., Ltd."
160190.KQ,"HIGEN Motor Co., Ltd."
025980.KQ,Ananti Inc.
225570.KQ,"NEXON Games Co., Ltd."
052400.KQ,"Kona I Co.,Ltd."
323280.KQ,"Taesung Co.,Ltd."
003380.KQ,"Harim Holdings Co., Ltd."
213420.KQ,"Duk San Neolux Co.,Ltd"
014620.KQ,"Sung Kwang Bend Co.,Ltd."
388720.KQ,"Yuil Robotics Co., Ltd."
084370.KQ,"Eugene Technology Co.,Ltd."
232140.KQ,YC Corporation
101490.KQ,S&S Tech Corporation
226950.KQ,"OliX Pharmaceuticals, Inc"
036830.KQ,"Soulbrain Holdings Co., Ltd."
115450.KQ,"HLB Therapeutics Co.,Ltd."
033500.KQ,"Dongsung FineTec Co., Ltd."
030520.KQ,Hancom Inc.
137400.KQ,People & Technology Inc.
417200.KQ,"LS materials.,Ltd."
031980.KQ,PSK HOLDINGS Inc.
281740.KQ,"Lake Materials Co., Ltd."
086450.KQ,"DongKook Pharmaceutical Co., Ltd."
108490.KQ,"ROBOTIS Co., Ltd."
222800.KQ,"SIMMTECH Co., Ltd."
032820.KQ,"Woori Technology, Inc."
419530.KQ,"SAMG Entertainment Co., Ltd."
