Ticker,Company
005930.KS,"Samsung Electronics Co., Ltd."
000660.KS,SK hynix Inc.
373220.KS,"LG Energy Solution, Ltd."
207940.KS,"Samsung Biologics Co.,Ltd."
005380.KS,Hyundai Motor Company
005387.KS,Hyundai Motor Company
012450.KS,"Hanwha Aerospace Co., Ltd."
034020.KS,"Doosan Enerbility Co., Ltd."
000270.KS,Kia Corporation
329180.KS,"HD Hyundai Heavy Industries Co.,Ltd."
105560.KS,KB Financial Group Inc.
035420.KS,NAVER Corporation
068270.KS,"Celltrion, Inc."
055550.KS,"Shinhan Financial Group Co., Ltd."
042660.KS,"Hanwha Ocean Co., Ltd."
028260.KS,Samsung C&T Corporation
02826K.KS,Samsung C&T Corporation
009540.KS,"HD Korea Shipbuilding & Offshore Engineering Co., Ltd."
035720.KS,Kakao Corp.
012330.KS,"Hyundai Mobis Co.,Ltd"
011200.KS,"HMM Co.,Ltd"
064350.KS,Hyundai Rotem Company
032830.KS,"Samsung Life Insurance Co., Ltd."
086790.KS,Hana Financial Group Inc.
005490.KS,POSCO Holdings Inc.
402340.KS,"SK Square Co., Ltd."
138040.KS,Meritz Financial Group Inc.
015760.KS,Korea Electric Power Corporation
000810.KS,"Samsung Fire & Marine Insurance Co., Ltd."
267260.KS,"HD Hyundai Electric Co., Ltd."
259960.KS,"KRAFTON, Inc."
010130.KS,"Korea Zinc Company, Ltd."
051910.KS,"LG Chem, Ltd."
316140.KS,Woori Financial Group Inc.
096770.KS,"SK Innovation Co., Ltd."
096775.KS,"SK Innovation Co., Ltd."
010140.KS,"Samsung Heavy Industries Co., Ltd."
024110.KS,Industrial Bank of Korea
006405.KS,"Samsung SDI Co., Ltd."
323410.KS,KakaoBank Corp.
006400.KS,"Samsung SDI Co., Ltd."
033780.KS,KT&G Corporation
018260.KS,"Samsung SDS Co., Ltd."
079550.KS,"LIG Nex1 Co., Ltd."
272210.KS,"Hanwha Systems Co., Ltd."
352820.KS,"HYBE Co., Ltd."
066575.KS,LG Electronics Inc.
030200.KS,KT Corporation
066570.KS,LG Electronics Inc.
017670.KS,"SK Telecom Co., Ltd."
003550.KS,LG Corp.
003555.KS,LG Corp.
034730.KS,SK Inc.
086280.KS,"Hyundai Glovis Co., Ltd."
000155.KS,Doosan Corporation
000150.KS,Doosan Corporation
009155.KS,"Samsung Electro-Mechanics Co., Ltd."
006800.KS,"Mirae Asset Securities Co., Ltd."
00680K.KS,"Mirae Asset Securities Co., Ltd."
003230.KS,"Samyang Foods Co., Ltd."
003670.KS,"Posco Future M Co., Ltd."
009150.KS,"Samsung Electro-Mechanics Co., Ltd."
267250.KS,"HD Hyundai Co., Ltd."
443060.KS,"HD HYUNDAI Marine Solution CO.,LTD."
047810.KS,"Korea Aerospace Industries, Ltd."
042700.KS,"HANMI Semiconductor Co., Ltd."
180640.KS,Hanjin Kal
18064K.KS,Hanjin Kal
000725.KS,"Hyundai Engineering & Construction Co.,Ltd."
000720.KS,"Hyundai Engineering & Construction Co.,Ltd."
047050.KS,Posco International Corporation
377300.KS,Kakao Pay Corp.
090430.KS,Amorepacific Corporation
090435.KS,Amorepacific Corporation
010120.KS,"LS ELECTRIC Co., Ltd."
003495.KS,"Korean Airlines Co.,Ltd."
064400.KS,"LG CNS Co., Ltd."
003490.KS,"Korean Airlines Co.,Ltd."
298040.KS,Hyosung Heavy Industries Corporation
000100.KS,Yuhan Corporation
000105.KS,Yuhan Corporation
010620.KS,"Hd Hyundai Mipo Co.,Ltd."
326030.KS,"SK Biopharmaceuticals Co., Ltd."
071050.KS,"Korea Investment Holdings Co., Ltd."
