Ticker,Company
KFH.KW,Kuwait Finance House K.S.C.P.
NBK.KW,National Bank of Kuwait S.A.K.P.
BOUBYAN.KW,Boubyan Bank K.S.C.P.
ZAIN.KW,Mobile Telecommunications Company K.S.C.P.
GBK.KW,Gulf Bank K.S.C.P.
MABANEE.KW,Mabanee Company K.P.S.C.
WARBABANK.KW,Warba Bank K.S.C.P.
CBK.KW,Commercial Bank of Kuwait K.P.S.C.
BURG.KW,Burgan Bank K.P.S.C.
ABK.KW,Al Ahli Bank of Kuwait K.S.C.P.
BOURSA.KW,Boursa Kuwait Securities Company K.P.S.C.
STC.KW,Kuwait Telecommunications Company K.S.C.P.
NIND.KW,National Industries Group Holding - KPSC
OOREDOO.KW,National Mobile Telecommunications Company K.S.C.P.
AGLTY.KW,Agility Public Warehousing Company K.S.C.P.
KIB.KW,Kuwait International Bank K.S.C.P.
CABLE.KW,Gulf Cables and Electrical Industries Group Company - KPSC
KPROJ.KW,Kuwait Projects Company Holding K.S.C.P.
GFH.KW,GFH Financial Group BSC
ALG.KW,Ali Al-Ghanim Sons Automotive Company K.S.C.P.
KRE.KW,Kuwait Real Estate Company K.P.S.C.
MEZZAN.KW,Mezzan Holding Company K.S.C.P.
ALTIJARIA.KW,Commercial Real Estate Company K.P.S.C.
BPCC.KW,Boubyan Petrochemical Company K.S.C.P.
HUMANSOFT.KW,Humansoft Holding Company K.S.C.P.
JAZEERA.KW,Jazeera Airways K.S.C.P.
GINS.KW,Gulf Insurance Group K.S.C.P.
IFAHR.KW,IFA Hotels and Resorts - KPSC
KCEM.KW,Kuwait Cement Company K.P.S.C.
SRE.KW,Salhia Real Estate Company K.S.C.P.
ARZAN.KW,Arzan Financial Group for Financing and Investment - KPSC
EKHOLDING.KW,Egypt Kuwait Holding Company (S.A.E.)
URC.KW,United Real Estate Company K.S.C.P.
AGHC.KW,Arabi Group Holding Company K.S.C. (Public)
GIH.KW,Gulf Investment House - KPSC
IFA.KW,International Financial Advisors Holding - KPSC
AINS.KW,Al-Ahleia Insurance Company S.A.K.P.
NINV.KW,National Investments Company K.S.C.P.
NOOR.KW,Noor Financial Investment Company - KPSC
OULAFUEL.KW,Oula Fuel Marketing Company - KSCP
MARAKEZ.KW,Real-Estate Trade Centers Company K.P.S.C
SHIP.KW,Heavy Engineering Industries and Shipbuilding Company K.S.C.P.
AZNOULA.KW,Shamal Az-Zour Al-Oula Power and Water Company KSC (Public)
NRE.KW,National Real Estate Company - K.P.S.C.
ATC.KW,Advanced Technology Company K.S.C.P.
MIDAN.KW,Al-Maidan Clinic for Oral Health Services Company K.S.C.P.
TAMINV.KW,Tamdeen Investment Company - KSCP
INTEGRATED.KW,Integrated Holding Company K.S.C.P.
TAM.KW,Tamdeen Real Estate Company - KPSC
FACIL.KW,Commercial Facilities Company S.A.K.P.
NAPESCO.KW,National Petroleum Services Company K.S.C.P.
SOOR.KW,Al Soor Fuel Marketing Company K.S.C.P.
AAYAN.KW,A'ayan Leasing and Investment Company K.S.C.P.
KCIN.KW,Kuwait National Cinema Company (K.P.S.C)
CGC.KW,Combined Group Contracting Company - K.S.C. (Public)
IPG.KW,Independent Petroleum Group K.S.C.P.
KUWAITRE.KW,Kuwait Reinsurance Company K.S.C.P.
ALKOUT.KW,Al Kout Industrial Projects Company K.S.C.P.
KINS.KW,Kuwait Insurance Company S.A.K.P.
KINV.KW,Kuwait Investment Company K.S.C.P.
PCEM.KW,Kuwait Portland Cement Co. K.P.S.C.
NICBM.KW,National Industries Company - KPSC
ALEID.KW,Al Eid Food Company K.S.C. (Public)
MARKAZ.KW,Kuwait Financial Centre - KPSC
UNICAP.KW,Unicap Investment and Finance Company K.S.C.P.
JTC.KW,JTC Logistics Transportation & Stevedoring Co. K.S.C.P.
KBT.KW,Kuwait Business Town Real Estate Company - KPSC
MUNSHAAT.KW,Munshaat Real Estate Projects Company K.S.C.P.
UPAC.KW,United Projects Company For Aviation Services K.S.C.P.
AREEC.KW,Ajial Real Estate Entertainment Company K.S.C.P.
RASIYAT.KW,Rasiyat Holding Company K.P.S.C.
EMIRATES.KW,Kuwait Emirates Holding Company K.S.C.P.
KFIC.KW,KFIC Invest Company K.S.C. (Public)
KCPC.KW,The Kuwait Company for Process Plant Construction and Contracting K.S.C.P.
BKIKWT.KW,Bahrain Kuwait Insurance Company B.S.C.
AAYANRE.KW,A'ayan Real Estate Company K.S.C.P.
ALSAFAT.KW,Al Safat Investment Company K.S.C.
ALIMTIAZ.KW,Al Imtiaz Investment Group Company - K.S.C. (Public)
KAMCO.KW,KAMCO Investment Company K.S.C.P.
ALDEERA.KW,Al-Deera Holding Company K.P.S.C.
KFOUC.KW,Kuwait Foundry Company K.S.C.P.
MAZAYA.KW,Al-Mazaya Holding Company - K.S.C. (Public)
ABAR.KW,"Burgan Company for Well Drilling, Trading and Maintenance K.S.C. (Public)"
SPEC.KW,Specialities Group Holding Company K.P.S.C.
ARKAN.KW,Arkan Al-Kuwait Real Estate Company K.S.C.P.
WINSRE.KW,Warba Insurance and Reinsurance Company (K.S.C.P.)
INJAZZAT.KW,Injazzat Real Estate Development Company K.P.S.C.
ARABREC.KW,Al-Arabiya Real Estate Company K.S.C.P.
NIH.KW,National International Holding Company K.S.C.P.
KMEFIC.KW,Kuwait and Middle East Financial Investment Company K.S.C.P.
KPPC.KW,Privatization Holding Company - K.P.S.C.
ASIYA.KW,Asiya Capital Investments Company K.S.C.P.
NCCI.KW,National Consumer Holding Company - K.S.C. (Public)
SOKOUK.KW,Sokouk Holding Company K.S.C.P.
QIC.KW,Umm Al Qaiwain General Investments Company P.S.C.
COAST.KW,Coast Investment & Development Company K.S.C.P.
MUNTAZAHAT.KW,Kuwait Resorts Company K.P.S.C.
INOVEST.KW,Inovest B.S.C.
SECH.KW,The Securities House K.S.C.P.
ERESCO.KW,Al-Enma'a Real Estate Company K.S.C.P.
SANAM.KW,SANAM Group Holding Company K.P.S.C
TAHSSILAT.KW,Credit Rating and Collection Company K.S.C. (Public)
ARGAN.KW,Al Argan International Real Estate Company - K.S.C.P.
TIJARA.KW,Tijara & Real Estate Investment Company K.S.C.P.
ACICO.KW,ACICO Industries Company - K.S.C. (Public)
MENA.KW,MENA Real Estate Company - KSCP
CATTL.KW,Livestock Transport and Trading Company K.P.S.C.
MADAR.KW,Al Madar Kuwait Holding Company K.S.C.P.
OSOUL.KW,Osoul Investment Company - K.S.C.P
FTI.KW,First Takaful Insurance Company - KPSC
ALMANAR.KW,Al Manar Financing and Leasing Company K.S.C. (Public)
PAPER.KW,Shuaiba Industrial Company K.P.S.C.
DALQANRE.KW,Dalqan Real Estate Company K.S.C. (Public)
AQAR.KW,Aqar Real Estate Investments Company K.S.C. (Public)
MUBARRAD.KW,Mubarrad Holding Company K.S.C.P.
MANAZEL.KW,Manazel Holding Company K.P.S.C.
KGL.KW,Kuwait and Gulf Link Transport Company K.P.S.C.
MRC.KW,Metal and Recycling Company K.S.C. (Public)
ALOLA.KW,First Investment Company K.S.C.P.
THURAYA.KW,Dar Al-Thuraya Real Estate Co. K.S.C. (Public)
OSOS.KW,OSOS Holding Group Company K.P.S.C.
CLEANING.KW,National Cleaning Company K.P.S.C.
KHOT.KW,Kuwait Hotels Company K.S.C.P.
ASC.KW,Automated Systems Company - KPSC
AMAR.KW,Amar Finance and Leasing Company - KPSC
MASHAER.KW,Mashaer Holding Company K.S.C.P.
FUTUREKID.KW,Future Kid Entertainment and Real Estate Company K.P.S.C.
DIGITUS.KW,Hayat Communications Company K.S.C.P.
SENERGY.KW,Senergy Holding Company K.S.C.P.
BAYANINV.KW,Bayan Investment Holding Company (K.S.C) Public
PAPCO.KW,Palms Agro Production Company K.S.C.P
ENERGYH.KW,The Energy House Holding Company K.S.C.P.
WETHAQ.KW,Wethaq Takaful Insurance Company K.S.C.P.
WARBACAP.KW,Warba Capital Holding Company K.S.C.P.
ALAQARIA.KW,Kuwait Real Estate Holding Company K.P.S.C (Holding)
GFC.KW,Gulf Franchising Holding Company - K.S.C. (Public)
EQUIPMENT.KW,Equipment Holding Company K.S.C.P.
MASAKEN.KW,Al-Masaken International for Real Estate Development Company - K.S.C. (Public)
EKTTITAB.KW,Ekttitab Holding Company K.S.C Public
