Ticker,Company
0QYP.L,Microsoft Corporation
0R1I.L,NVIDIA Corporation
0R2V.L,Apple Inc.
0R1O.L,"Amazon.com, Inc."
0HD6.L,Alphabet Inc.
0RIH.L,Alphabet Inc.
0QZI.L,"Meta Platforms, Inc."
0YXG.L,Broadcom Inc.
0HN0.L,Berkshire Hathaway Inc.
0R37.L,Berkshire Hathaway Inc.
0R0X.L,"Tesla, Inc."
0LCV.L,Taiwan Semiconductor Manufacturing Company Limited
0Q1F.L,JPMorgan Chase & Co.
0R1W.L,Walmart Inc.
0QZ0.L,Visa Inc.
0R1Z.L,Oracle Corporation
0LEA.L,Tencent Holdings Limited
0Z4S.L,Tencent Holdings Limited
0QYI.L,"Netflix, Inc."
0R2Z.L,Mastercard Incorporated
0R1M.L,Exxon Mobil Corporation
0I47.L,Costco Wholesale Corporation
0NOF.L,The Procter & Gamble Company
0R34.L,Johnson & Johnson
0R1G.L,"The Home Depot, Inc."
0Q16.L,Bank of America Corporation
0QIU.L,Novo Nordisk A/S
0TDD.L,Novo Nordisk A/S
0A2W.L,SAP SE
0NW4.L,SAP SE
0A7R.L,Palantir Technologies Inc.
0QCV.L,AbbVie Inc.
0QZK.L,The Coca-Cola Company
0M42.L,ASML Holding N.V.
0QB8.L,ASML Holding N.V.
0M8V.L,Philip Morris International Inc.
BC94.L,"Samsung Electronics Co., Ltd."
SMSN.L,"Samsung Electronics Co., Ltd."
0R0O.L,UnitedHealth Group Incorporated
0HCI.L,Alibaba Group Holding Limited
0HV2.L,Hermès International Société en commandite par actions
0R0K.L,"Cisco Systems, Inc."
0HAU.L,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
0QR4.L,Nestlé S.A.
0R2Q.L,Chevron Corporation
0QOK.L,Roche Holding AG
0QQ6.L,Roche Holding AG
0TDF.L,Roche Holding AG
0R2L.L,"T-Mobile US, Inc."
0QYJ.L,"Salesforce, Inc."
0R2F.L,Wells Fargo & Company
0Q15.L,Abbott Laboratories
0K9E.L,Novartis AG
0QLR.L,Novartis AG
0LG5.L,Toyota Motor Corporation
TYT.L,Toyota Motor Corporation
0NZM.L,L'Oréal S.A.
0A4J.L,AstraZeneca PLC
AZN.L,AstraZeneca PLC
0M2B.L,Linde plc
SHEL.L,Shell plc
0QYU.L,Morgan Stanley
0QZO.L,The Walt Disney Company
0JCT.L,Intuit Inc.
RIGD.L,Reliance Industries Limited
0R3C.L,American Express Company
0R16.L,McDonald's Corporation
0QZD.L,"Advanced Micro Devices, Inc."
0L5N.L,"ServiceNow, Inc."
HSBA.L,HSBC Holdings plc
0QAH.L,"Merck & Co., Inc."
MRK.L,"Merck & Co., Inc."
0QZ1.L,AT&T Inc.
0R2N.L,RTX Corporation
0Y0Y.L,Accenture plc
0P6M.L,Siemens Aktiengesellschaft
0R3G.L,"The Goldman Sachs Group, Inc."
0R29.L,"Intuitive Surgical, Inc."
0QKU.L,Royal Bank of Canada
0R2H.L,Texas Instruments Incorporated
0QOS.L,"PepsiCo, Inc."
0Q1S.L,Verizon Communications Inc.
0A1U.L,"Uber Technologies, Inc."
0W2Y.L,Booking Holdings Inc.
0A7I.L,HDFC Bank Limited
0MPH.L,Deutsche Telekom AG
0QZ3.L,QUALCOMM Incorporated
0Q18.L,Caterpillar Inc.
0L3I.L,The Charles Schwab Corporation
0R2Y.L,Adobe Inc.
0QWI.L,"Industria de Diseño Textil, S.A."
0R0T.L,Amgen Inc.
0K1Y.L,"Mitsubishi UFJ Financial Group, Inc."
0ADF.L,Arm Holdings plc
0KYY.L,S&P Global Inc.
ULVR.L,Unilever PLC
0L83.L,Sony Group Corporation
0KOC.L,The Progressive Corporation
0QZZ.L,"BlackRock, Inc."
0HOY.L,Boston Scientific Corporation
0BOE.L,The Boeing Company
0M6S.L,Allianz SE
0R0H.L,Thermo Fisher Scientific Inc.
0K80.L,"NextEra Energy, Inc."
0KVV.L,Airbus SE
0R01.L,Citigroup Inc.
0SPT.L,Spotify Technology S.A.
0A2S.L,PDD Holdings Inc.
0HKY.L,BYD Company Limited
0VSO.L,BYD Company Limited
0R2S.L,Stryker Corporation
0R2P.L,Deere & Company
0NWV.L,Schneider Electric S.E.
0A30.L,TotalEnergies SE
TTE.L,TotalEnergies SE
0A22.L,Anheuser-Busch InBev SA/NV
0RJI.L,Anheuser-Busch InBev SA/NV
0R2B.L,Danaher Corporation
0R1A.L,"Applied Materials, Inc."
0VHA.L,Shopify Inc.
0LCE.L,"The TJX Companies, Inc."
0R2T.L,"Micron Technology, Inc."
0Q1N.L,Pfizer Inc.
0QYQ.L,"Gilead Sciences, Inc."
0KF5.L,"Palo Alto Networks, Inc."
0R2E.L,Union Pacific Corporation
0Y3K.L,Eaton Corporation plc
0QYF.L,Comcast Corporation
0OMK.L,EssilorLuxottica Société anonyme
0HJI.L,"Automatic Data Processing, Inc."
0IU8.L,Safran SA
0VL8.L,The Toronto-Dominion Bank
0K0E.L,"MercadoLibre, Inc."
0A3N.L,"CrowdStrike Holdings, Inc."
0A28.L,Prosus N.V.
0HN3.L,BHP Group Limited
BHP.L,BHP Group Limited
0QZA.L,ConocoPhillips
0NWF.L,L'Air Liquide S.A.
0JVQ.L,"Lowe's Companies, Inc."
0JT5.L,Lam Research Corporation
0HIT.L,"Iberdrola, S.A."
0A2V.L,Sanofi
0O59.L,Sanofi
0ADE.L,AppLovin Corporation
0HLE.L,"Banco Santander, S.A."
BNC.L,"Banco Santander, S.A."
0A7M.L,ICICI Bank Limited
0JPO.L,KLA Corporation
0QZU.L,Vertex Pharmaceuticals Incorporated
0HFN.L,"Analog Devices, Inc."
0HHR.L,Arista Networks Inc
0HFB.L,Amphenol Corporation
0VQD.L,Chubb Limited
0Y6X.L,Medtronic plc
0R3E.L,Lockheed Martin Corporation
0Z1W.L,KKR & Co. Inc.
0A76.L,British American Tobacco p.l.c.
BATS.L,British American Tobacco p.l.c.
0R1E.L,"Nintendo Co., Ltd."
0HO8.L,Blackstone Inc.
0QMU.L,Compagnie Financière Richemont SA
0A6W.L,ABB Ltd
0NX2.L,ABB Ltd
CYPC.L,"China Yangtze Power Co., Ltd."
0QZH.L,Starbucks Corporation
0HAR.L,AXA SA
0JC3.L,"Intercontinental Exchange, Inc."
0A7O.L,MicroStrategy Incorporated
0K85.L,"Nintendo Co., Ltd."
0HEU.L,American Tower Corporation
0R31.L,"Altria Group, Inc."
0LUS.L,Welltower Inc.
RR.L,Rolls-Royce Holdings plc
0RLS.L,UniCredit S.p.A.
0HR2.L,CME Group Inc.
0KTI.L,Enbridge Inc.
0KOD.L,"Prologis, Inc."
0L8A.L,The Southern Company
0HBC.L,Intesa Sanpaolo S.p.A.
REL.L,RELX PLC
0QP2.L,Zurich Insurance Group AG
0LAF.L,"Sumitomo Mitsui Financial Group, Inc."
0HB5.L,BNP Paribas SA
0R1F.L,Bristol-Myers Squibb Company
0KWZ.L,Rio Tinto Group
RIO.L,Rio Tinto Group
0LTG.L,"Waste Management, Inc."
0R24.L,Intel Corporation
0Y2S.L,Trane Technologies plc
0R3T.L,UBS Group AG
0NRE.L,Enel SpA
0A3T.L,Sea Limited
0JZU.L,McKesson Corporation
0J1R.L,"HCA Healthcare, Inc."
0KEH.L,Brookfield Corporation
0NI1.L,Rheinmetall AG
0A6Q.L,AIA Group Limited
0IP9.L,"Fiserv, Inc."
0NPL.L,Christian Dior SE
0ID1.L,Duke Energy Corporation
0HYJ.L,Cintas Corporation
0Q89.L,Thomson Reuters Corporation
0QZ6.L,"NIKE, Inc."
0NC5.L,Investor AB (publ)
0NC6.L,Investor AB (publ)
0II4.L,"Equinix, Inc."
0L7L.L,SoftBank Group Corp.
0R15.L,SoftBank Group Corp.
0R0G.L,"Mondelez International, Inc."
0A2B.L,"Banco Bilbao Vizcaya Argentaria, S.A."
BVA.L,"Banco Bilbao Vizcaya Argentaria, S.A."
0HG8.L,"Elevance Health, Inc."
0K36.L,Moody's Corporation
0HRS.L,CVS Health Corporation
0R08.L,"United Parcel Service, Inc."
0A77.L,The Cigna Group
0KFZ.L,Parker-Hannifin Corporation
0L5V.L,The Sherwin-Williams Company
0KFE.L,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
0HKP.L,BP p.l.c.
BP.L,BP p.l.c.
0K6G.L,"NetEase, Inc."
0A8C.L,"Airbnb, Inc."
0ITL.L,Arthur J. Gallagher & Co.
0RDT.L,Ferrari N.V.
0KHP.L,Petróleo Brasileiro S.A. - Petrobras
0HS2.L,"Cadence Design Systems, Inc."
SBID.L,State Bank of India
0REK.L,TransDigm Group Incorporated
0A7D.L,Dell Technologies Inc.
0SEA.L,Siemens Energy AG
GSK.L,GSK plc
0KW1.L,"Republic Services, Inc."
0XSE.L,Infosys Limited
BA.L,BAE Systems plc
0IR9.L,"Fortinet, Inc."
LSEG.L,London Stock Exchange Group plc
0A7F.L,Equinor ASA
0M2Z.L,Equinor ASA
0UKH.L,Bank of Montreal
0QNY.L,3M Company
0L8B.L,Southern Copper Corporation
0NQM.L,Vinci SA
0XHL.L,Aon plc
0HT4.L,Capital One Financial Corporation
0KAB.L,"O'Reilly Automotive, Inc."
0IUC.L,General Dynamics Corporation
0Q0J.L,Mitsubishi Corporation
0IFA.L,Ecolab Inc.
0LBP.L,"Synopsys, Inc."
0XXT.L,Atlas Copco AB (publ)
0XXV.L,Atlas Copco AB (publ)
0I1W.L,Royal Caribbean Cruises Ltd.
HHPD.L,"Hon Hai Precision Industry Co., Ltd."
0R33.L,Emerson Electric Co.
0LXB.L,"The Williams Companies, Inc."
0P59.L,Colgate-Palmolive Company
