Ticker,Company
RELIN.LU,Reliance Industries Limited
HYNSE.LU,SK hynix Inc.
ITC.LU,ITC Limited
GDFLU.LU,Engie SA
094382327.LU,"Fubon Financial Holding Co., Ltd."
094382572.LU,"Fubon Financial Holding Co., Ltd."
MHNDR.LU,Mahindra & Mahindra Limited
ULC14.LU,UltraTech Cement Limited
ULCL1.LU,UltraTech Cement Limited
QUNCP.LU,Quanta Computer Inc.
DELEC.LU,"Delta Electronics, Inc."
CATFH.LU,"Cathay Financial Holding Co., Ltd."
094567408.LU,Vonovia SE
MTL.LU,ArcelorMittal S.A.
TTSTE.LU,Tata Steel Limited
GRA92.LU,Grasim Industries Limited
GRA99.LU,Grasim Industries Limited
OTPBK.LU,OTP Bank Nyrt.
ACMR1.LU,ASUSTeK Computer Inc.
ACMRS.LU,ASUSTeK Computer Inc.
ESUNF.LU,"E.SUN Financial Holding Company, Ltd."
HINDA.LU,Hindalco Industries Limited
AMCEM.LU,Ambuja Cements Limited
CIPLA.LU,Cipla Limited
1FINH.LU,"First Financial Holding Co., Ltd."
WSTRN.LU,Wistron Corporation
111856940.LU,HELLA GmbH & Co. KGaA
SMSDI.LU,"Samsung SDI Co., Ltd."
IBKOR.LU,Industrial Bank of Korea
RTKSM.LU,Realtek Semiconductor Corp.
CHSTC.LU,China Steel Corporation
EINKH.LU,E Ink Holdings Inc.
YAGEO.LU,Yageo Corporation
YAGEA.LU,Yageo Corporation
ALCHA.LU,"Alchip Technologies, Limited"
ALCHP.LU,"Alchip Technologies, Limited"
165610997.LU,Aditya Birla Capital Limited
IDUSB.LU,IndusInd Bank Limited
SHFIN.LU,"Shin Kong Financial Holding Co., Ltd."
SHFIA.LU,"Shin Kong Financial Holding Co., Ltd."
PGRGS.LU,Pegatron Corporation
CHLRA.LU,Chailease Holding Company Limited
CLHRS.LU,Chailease Holding Company Limited
TAICS.LU,"TCC Group Holdings Co., Ltd."
TAICA.LU,"TCC Group Holdings Co., Ltd."
261280523.LU,PharmaEssentia Corporation
261280558.LU,PharmaEssentia Corporation
RTLL.LU,RTL Group S.A.
CHWGR.LU,Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt.
207608050.LU,Bizlink Holding Inc.
WTMA.LU,"WT Microelectronics Co., Ltd."
WTMS.LU,"WT Microelectronics Co., Ltd."
REINI.LU,Reinet Investments S.C.A.
GLOBA.LU,"GlobalWafers Co., Ltd."
GLOBW.LU,"GlobalWafers Co., Ltd."
ASMTA.LU,ASMedia Technology Inc.
ASMTS.LU,ASMedia Technology Inc.
COMEL.LU,"Compal Electronics, Inc."
SYNEX.LU,Synnex Technology International Corporation
PWRCT.LU,Powertech Technology Inc.
SESGL.LU,SES S.A.
WLSR1.LU,Walsin Lihwa Corporation
WLSRS.LU,Walsin Lihwa Corporation
APAM.LU,Aperam S.A.
PSMCA.LU,Powerchip Semiconductor Manufacturing Corp.
PSMCR.LU,Powerchip Semiconductor Manufacturing Corp.
SIAMS.LU,Sino-American Silicon Products Inc.
102500539.LU,Far Eastern International Bank Ltd.
102501373.LU,Far Eastern International Bank Ltd.
PRO7.LU,ProSiebenSat.1 Media SE
QISDA.LU,Qisda Corporation
APMT.LU,AP Memory Technology Corporation
TNGHS.LU,Tung Ho Steel Enterprise Corporation
080532989.LU,"Parade Technologies, Ltd."
ORCL.LU,CPI FIM SA
LXMPR.LU,Luxempart
047044910.LU,"Parade Technologies, Ltd."
ONEA.LU,"Oneness Biotech Co., Ltd."
ONES.LU,"Oneness Biotech Co., Ltd."
INC05.LU,The India Cements Limited
USHMA.LU,Usha Martin Limited
HTCCO.LU,HTC Corporation
CPDC.LU,China Petrochemical Development Corporation
HADIS.LU,HannStar Display Corporation
PNJA.LU,Panjit International Inc.
PNJS.LU,Panjit International Inc.
SCFNS.LU,Socfinasia S.A.
ORIAL.LU,Fiducial Real Estate SA
BRTOR.LU,Brait PLC
ANDS.LU,Andes Technology Corporation
GISHA.LU,General Interface Solution (GIS) Holding Limited
GISHS.LU,General Interface Solution (GIS) Holding Limited
ANDA.LU,Andes Technology Corporation
SOFAF.LU,Socfinaf S.A.
GCSH.LU,"GCS Holdings, Inc."
UREEN.LU,"United Renewable Energy Co., Ltd."
SEINV.LU,Paisalo Digital Limited
PAPTR.LU,Panama Petrochem Limited
STHPT.LU,Southern Petrochemical Industries Corporation Limited
VLCN.LU,Velcan Holdings
GPINA.LU,"GP Investments, Ltd."
SACIL.LU,Fiducial Office Solutions
INITL.LU,Industrial Investment Trust Limited
KESOR.LU,Kesoram Industries Limited
