Ticker,Company
GAZP.ME,Gazprom
ROSN.ME,Rosneft Oil Company
SBER.ME,Sberbank of Russia
NVTK.ME,PAO NOVATEK
GMKN.ME,Mining and Metallurgical Company Norilsk Nickel
LKOH.ME,PJSC LUKOIL
SIBN.ME,Gazprom Neft
PLZL.ME,Polyus
PHOR.ME,PhosAgro
SNGS.ME,Surgutneftegas Public Joint Stock Company
TATN.ME,PJSC Tatneft
NLMK.ME,Novolipetsk Steel
CHMF.ME,Severstal
AKRN.ME,Acron
VSMO.ME,Public Stock Company VSMPO-AVISMA Corporation
RUAL.ME,"United Company RUSAL, International"
PIKK.ME,PIK-specialized homebuilder
ALRS.ME,ALROSA
MTSS.ME,Mobile TeleSystems Public Joint Stock Company
MGNT.ME,Magnit
TCSG.ME,International Public Joint-Stock Company T-Technologies
MAGN.ME,Magnitogorsk Iron & Steel Works
HYDR.ME,Federal Hydro-Generating Company - RusHydro
IRKT.ME,Yakovlev
UNAC.ME,United Aircraft Corporation
IRAO.ME,Inter RAO UES
VTBR.ME,VTB Bank
RTKM.ME,Rostelecom
RASP.ME,Raspadskaya
MOEX.ME,Moscow Exchange MICEX-RTS
BANE.ME,Public Joint Stock Oil Company Bashneft
SMLT.ME,Samolet Group Public Joint Stock Company
CBOM.ME,Credit Bank of Moscow
NKNC.ME,Nizhnekamskneftekhim
AFKS.ME,Sistema Public Joint Stock Financial Corporation
SGZH.ME,Group of Companies Segezha Public Joint Stock Company
KZOS.ME,Kazan Public Joint Stock Company Organichesky sintez
MGTS.ME,Moscow City Telephone Network
FEES.ME,Federal Grid Company of Unified Energy System
GCHE.ME,Cherkizovo Group
NMTP.ME,Novorossiysk Commercial Sea Port
APTK.ME,Pharmacy Chain 36.6
UPRO.ME,Unipro
FLOT.ME,PAO Sovcomflot
YAKG.ME,Yakutsk Fuel and Energy Company
FESH.ME,Far-Eastern Shipping Company PLC.
MSNG.ME,Mosenergo
LSNG.ME,Rosseti Lenenergo
AVAN.ME,AVANGARD Joint Stock BANK
KAZT.ME,KuibyshevAzot
IRGZ.ME,Irkutsk Public Joint Stock Company of Energetics and Electrification
LENT.ME,Lenta International
AFLT.ME,Aeroflot - Russian Airlines
OGKB.ME,Second Generating Company of the Electric Power Wholesale Market
KMAZ.ME,KAMAZ Publicly Traded Company
TRMK.ME,PAO TMK
RGSS.ME,Rosgosstrakh Insurance Company (Public Joint Stock Company)
GAZS.ME,Gaz-service
GAZC.ME,Gazkon
POSI.ME,Positive Group
LSRG.ME,PJSC LSR Group
KFBA.ME,INGRAD
MTLR.ME,Mechel PAO
AQUA.ME,Inarctica
MSRS.ME,Rosseti Moscow Region
GAZT.ME,GAZ-Tek
SELG.ME,Seligdar
UKUZ.ME,Southern Kuzbass Coal company
MVID.ME,M.video
BSPB.ME,Bank Saint-Petersburg Public Joint Stock Company
MFGS.ME,Slavneft-Megionneftegas
TGKA.ME,Territorial Generating Company No. 1
BELU.ME,NovaBev Group PJSC
SFIN.ME,SFI
UTAR.ME,UTair Aviation
RENI.ME,Renaissance Insurance Group JSC
RNFT.ME,RussNeft
MRKS.ME,Interregional Distribution Grid Company of Siberia
IDVP.ME,INVEST-DEVELOPMENT
TGKD.ME,Quadra - Power Generation
USBN.ME,BANK URALSIB
VJGZ.ME,Varyoganneftegaz
MSTT.ME,Mostotrest
NKHP.ME,Novorossyisk Grain Plant
MRKP.ME,Rosseti Centre and Volga region
ROLO.ME,Rusolovo
SPBE.ME,SPB Exchange
ABRD.ME,Abrau-Durso
ELFV.ME,EL5-Energo
UCSS.ME,United Credit Systems
JNOS.ME,Slavneft-Yaroslavnefteorgsintez
DVEC.ME,FAR-EASTERN ENERGY COMPANY
MRKU.ME,"Interregional Distribution Grid Company of Urals, Joint Stock Company"
MRKK.ME,ROSSETI Northern Caucasus
BLNG.ME,Belon
RKKE.ME,S.P. Korolev Rocket and Space Public Corporation Energia Open Joint Stock Company
CHMK.ME,Chelyabinsk Metallurgical Plant PAO
AMEZ.ME,Ashinskiy metallurgical works
MRKC.ME,Rosseti Centre
TTLK.ME,Tattelecom
GEMA.ME,International Medical Center of Biomaterials Processing and Cryostorage
TNSE.ME,Group of Companies TNS energo
LNZL.ME,Lena Gold-Mining Public Joint Stock Company Lenzoloto
VRSB.ME,TNS energo Voronezh
PRMB.ME,Public joint-stock commercial bank Primorye
KOGK.ME,Korshynov Mining Plant Public Joint Stock Company
BISV.ME,Bashinformsvyaz
PAZA.ME,Pavlovo Bus
