Ticker,Company
BOV.MT,Bank of Valletta p.l.c.
MIA.MT,Malta International Airport p.l.c.
HSB.MT,HSBC Bank Malta p.l.c.
IHI.MT,International Hotel Investments p.l.c.
GO.MT,GO p.l.c.
SFC.MT,Simonds Farsons Cisk plc
PG.MT,PG p.l.c.
APS.MT,APS Bank plc
MMS.MT,MAPFRE Middlesea p.l.c.
LOM.MT,Lombard Bank Malta p.l.c.
MLT.MT,Malita Investments p.l.c.
HLI.MT,Hili Properties p.l.c.
RS2.MT,RS2 p.l.c.
BMIT.MT,BMIT Technologies p.l.c.
FIM.MT,FIMBank p.l.c.
TRI.MT,Trident Estates plc
MDS.MT,MedservRegis p.l.c.
MTP.MT,MaltaPost p.l.c.
MPC.MT,Malta Properties Company p.l.c.
GHM.MT,Grand Harbour Marina p.l.c.
HRV.MT,Harvest Technology p.l.c.
PZC.MT,Plaza Centres p.l.c.
LQS.MT,Loqus Holdings p.l.c.
