Ticker,Company
AEIB.N0004.MU,African Export-Import Bank
MCBG.N0000.MU,MCB Group Limited
PSGK.N0000.MU,PSG Financial Services Limited
CTEL.N0000.MU,Crytel Mauritius Limited
IBLL.N0000.MU,IBL Ltd
ARIN.N0000.MU,Arindo Holdings (Mauritius) Limited
CIEL.N0000.MU,CIEL Limited
SBMH.N0000.MU,SBM Holdings Ltd
SHEL.N0000.MU,Vivo Energy Mauritius Limited
ENLG.N0000.MU,ENL Limited
MBL.N0000.MU,Phoenix Beverages Limited
CIM.N0000.MU,CIM Financial Services Ltd
ASCE.N0000.MU,Ascencia Limited
ROGE.N0000.MU,Rogers and Company Limited
MSE.N0000.MU,Medine Limited
NMHL.N0000.MU,New Mauritius Hotels Limited
SUN.N0000.MU,Sun Limited
NRL.N0000.MU,Lux Island Resorts Ltd
BAYP.N0000.MU,Bayport Management Ltd
TERA.N0000.MU,Terra Mauricia Ltd
MASC.I0000.MU,C-Care (Mauritius) Limited
GCL.N0000.MU,Gamma-Civic Ltd
ALTG.N0000.MU,Alteo Limited
UPL.N0000.MU,Universal Partners Limited
ANGM.I0000.MU,Swan Life Ltd
KLOS.I0000.MU,Kolos Cement Ltd
MUAL.N0000.MU,MUA Ltd
PAD.N0000.MU,Promotion and Development Ltd
MIWA.I0000.MU,Miwa Sugar Limited
SWAN.N0000.MU,Swan General Ltd
AFRP.N0000.MU,Africure Pharmaceuticals Ltd
PHIN.I0000.MU,Phoenix Investment Company Limited
BMHL.N0000.MU,BMH Ltd
COVI.I0000.MU,Compagnie des Villages de Vacances de L'Isle de France Limitée
UBP.N0000.MU,The United Basalt Products Limited
UNSE.I0000.MU,The Union Sugar Estates Company Limited
DEL.C0000.MU,Grit Real Estate Income Group Limited
DEL.N0000.MU,Grit Real Estate Income Group Limited
UTDL.N0000.MU,United Docks Ltd
CHSL.I0000.MU,Constance Hotels Services Limited
TAD.N0000.MU,Tadvest Limited
LFL.I0000.MU,Livestock Feed Limited
FINC.N0000.MU,Fincorp Investment Ltd.
EUDC.I0000.MU,Excelsior United Development Companies Limited
APL.I0000.MU,Attitude Property Ltd
ABCB.I0000.MU,ABC Banking Corporation Ltd
MFDG.I0000.MU,MFD Group Limited
VELG.I0000.MU,Velogic Holding Company Limited
TSAH.N0000.MU,Trans Switch Africa Holdings Ltd
LOTO.N0000.MU,Lottotech Ltd
MTMD.N0000.MU,Omnicane Limited
CIMO.I0000.MU,Compagnie Immobilière Limitée
ATIL.N0000.MU,Astoria Investments Ltd
LAVA.I0000.MU,Lavastone Ltd
HWF.N0000.MU,Innodis Ltd
MCOS.I0000.MU,Mauritius Cosmetics Limited
MDIT.N0000.MU,The Mauritius Development Investment Trust Company Limited
LMLC.I0000.MU,Les Moulins de la Concorde Ltée
MOLI.I0000.MU,Morning Light Co Ltd
HTLS.I0000.MU,Hotelest Limited
ACES.N0000.MU,Africa Clean Energy Solutions Limited
POL.N0000.MU,P.O.L.I.C.Y. Limited
CSE.I0000.MU,Constance La Gaiete Company Limited
ABC.I0000.MU,ABC Motors Company Limited
GOLI.N0000.MU,Numeral Limited
MOR.N0000.MU,Mauritius Oil Refineries Limited
BLL.N0000.MU,BlueLife Limited
UTIN.I0000.MU,United Investments Ltd
QBL.I0000.MU,Quality Beverages Limited
TPL.I0000.MU,Tropical Paradise Company Limited
SCT.I0000.MU,Beau Vallon Hospitality Ltd
DCPL.N0000.MU,Agape Global Investments Limited
SEMA.I0000.MU,Semaris Ltd
HPL.I0000.MU,Happy World Property Ltd
ACC.I0000.MU,Associated Commercial Company Limited
ASL.N0000.MU,Automatic Systems Ltd
CAVT.I0000.MU,Cavell Touristic Investments Ltd
NITL.N0000.MU,National Investment Trust Ltd
OCEA.I0000.MU,Oceanarium (Mauritius) Ltd
HML.N0000.MU,Harel Mallac & Co. Ltd
UBS.I0000.MU,United Bus Service Limited
RHT.I0000.MU,RHT Holding Ltd
MCFI.N0000.MU,The Mauritius Chemical and Fertilizer Industry Limited
PCCL.I0000.MU,Paper Converting Co. Ltd
GIL.I0000.MU,Les Gaz Industriels Limited
NOV.I0000.MU,Novus Properties Ltd
PIM.N0000.MU,PIM Limited
MSIL.I0000.MU,Mauritius Secondary Industries Limited
