Ticker,Company
AVGO.CN,Broadcom Inc.
JPM.CN,JPMorgan Chase & Co.
WMT.CN,Walmart Inc.
LLY.CN,Eli Lilly and Company
VISA.CN,Visa Inc.
ORAC.CN,Oracle Corporation
NFLX.CN,"Netflix, Inc."
MA.CN,Mastercard Incorporated
XOM.CN,Exxon Mobil Corporation
PG.CN,The Procter & Gamble Company
JNJ.CN,Johnson & Johnson
HD.CN,"The Home Depot, Inc."
BOFA.CN,Bank of America Corporation
NVON.CN,Novo Nordisk A/S
SAPS.CN,SAP SE
PLTR.CN,Palantir Technologies Inc.
ABBV.CN,AbbVie Inc.
COLA.CN,The Coca-Cola Company
ASML.CN,ASML Holding N.V.
UNH.CN,UnitedHealth Group Incorporated
NEST.CN,Nestlé S.A.
CHEV.CN,Chevron Corporation
IBM.CN,International Business Machines Corporation
ROG.CN,Roche Holding AG
GE.CN,General Electric Company
CRM.CN,"Salesforce, Inc."
WFCS.CN,Wells Fargo & Company
NVS.CN,Novartis AG
TOYM.CN,Toyota Motor Corporation
DIS.CN,The Walt Disney Company
AXP.CN,American Express Company
MCDS.CN,McDonald's Corporation
NOWS.CN,"ServiceNow, Inc."
MRK.CN,"Merck & Co., Inc."
RTX.CN,RTX Corporation
SMNS.CN,Siemens Aktiengesellschaft
GS.CN,"The Goldman Sachs Group, Inc."
ISRG.CN,"Intuitive Surgical, Inc."
TXN.CN,Texas Instruments Incorporated
PEP.CN,"PepsiCo, Inc."
VZ.CN,Verizon Communications Inc.
UBER.CN,"Uber Technologies, Inc."
BKNG.CN,Booking Holdings Inc.
DTEL.CN,Deutsche Telekom AG
QCOM.CN,QUALCOMM Incorporated
CATR.CN,Caterpillar Inc.
ADBE.CN,Adobe Inc.
MUFG.CN,"Mitsubishi UFJ Financial Group, Inc."
SONY.CN,Sony Group Corporation
BLK.CN,"BlackRock, Inc."
BA.CN,The Boeing Company
ALZ.CN,Allianz SE
TMO.CN,Thermo Fisher Scientific Inc.
CITI.CN,Citigroup Inc.
HON.CN,Honeywell International Inc.
DEER.CN,Deere & Company
AMAT.CN,"Applied Materials, Inc."
MU.CN,"Micron Technology, Inc."
PFE.CN,Pfizer Inc.
GILD.CN,"Gilead Sciences, Inc."
GEV.CN,GE Vernova Inc.
PANW.CN,"Palo Alto Networks, Inc."
HTCI.CN,"Hitachi, Ltd."
CRWD.CN,"CrowdStrike Holdings, Inc."
ANET.CN,Arista Networks Inc
KKR.CN,KKR & Co. Inc.
NTDO.CN,"Nintendo Co., Ltd."
BX.CN,Blackstone Inc.
ABB.CN,ABB Ltd
SBUX.CN,Starbucks Corporation
INTC.CN,Intel Corporation
UBSS.CN,UBS Group AG
NKE.CN,"NIKE, Inc."
SFTB.CN,SoftBank Group Corp.
CVS.CN,CVS Health Corporation
UPS.CN,"United Parcel Service, Inc."
ABNB.CN,"Airbnb, Inc."
MMMM.CN,3M Company
MTSU.CN,Mitsubishi Corporation
CMGS.CN,"Chipotle Mexican Grill, Inc."
PYPL.CN,"PayPal Holdings, Inc."
INGS.CN,ING Groep N.V.
BENZ.CN,Mercedes-Benz Group AG
MB.CN,Mercedes-Benz Group AG
BMW.CN,Bayerische Motoren Werke Aktiengesellschaft
VWA.CN,Volkswagen AG
OXY.CN,Occidental Petroleum Corporation
F.CN,Ford Motor Company
STZ.CN,"Constellation Brands, Inc."
LULU.CN,lululemon athletica inc.
SMCI.CN,"Super Micro Computer, Inc."
DEFI.CN,DeFi Technologies Inc.
GLAS.A.U.CN,Glass House Brands Inc.
BTQ.CN,BTQ Technologies Corp.
ABXX.CN,Abaxx Technologies Inc.
VRNO.CN,Verano Holdings Corp.
CYBN.CN,Cybin Inc.
VERS.CN,VERSES AI Inc.
MOLY.CN,Greenland Resources Inc.
SUNN.CN,SolarBank Corporation
BCBN.CN,Base Carbon Inc.
ONCO.CN,Onco-Innovations Limited
CZZL.CN,Cizzle Brands Corporation
MLC.CN,Mount Logan Capital Inc.
DMET.CN,Denarius Metals Corp.
JET.CN,Global Crossing Airlines Group Inc.
ALGO.CN,Light AI Inc.
CBST.CN,The Cannabist Company Holdings Inc.
NETZ.CN,Carbon Streaming Corporation
INXD.CN,"The INX Digital Company, Inc."
ZEFI.CN,Zefiro Methane Corp.
MAXQ.CN,Maritime Launch Services Inc.
SCRI.CN,Silver Crown Royalties Inc.
GRAM.CN,Gold Flora Corporation
JPEG.CN,Pioneer AI Foundry Inc.
BMND.CN,Biomind Labs Inc.
HOLD.CN,Immutable Holdings Inc.
KNR.CN,Kontrol Technologies Corp.
FH.CN,Filament Health Corp.
CDMN.CN,Canadian Manganese Company Inc.
TILT.CN,TILT Holdings Inc.
IBER.CN,IberAmerican Lithium Corp.
RCOR.CN,RBC Core Bond Pool
