Ticker,Company
PLEJD.ST,Plejd AB (publ)
SPLTN.ST,Investment AB Spiltan
ASTOR.ST,Scandinavian Astor Group AB (publ)
H100.ST,H100 Group AB (publ)
FREETR.ST,Freetrailer Group A/S
LOGIST.ST,Logistri Fastighets AB (publ)
EYEW.ST,Eyeon Group AB (publ)
INFRA.ST,InfraCom Group AB (publ)
BRIX.ST,Briox AB (publ)
BPCINS.ST,BPC Instruments AB
EMART.ST,EmbeddedArt Group AB (publ)
BACKA.ST,Backaheden Fastighets Ab
CESSA.ST,Cessatech A/S
REAL.ST,Real Fastigheter AB (publ)
ENRAD.ST,Enrad AB
ANGL.ST,Angler Gaming plc
VALUNO.ST,Valuno Group AB (publ)
CRWN.ST,Crown Energy AB (publ)
SOSI.ST,Sotkamo Silver AB
TRIONA.ST,Triona AB
TURA.ST,Tura Group AB
KRONA.ST,Krona Public Real Estate AB (publ)
FABLE.ST,Fable Media Group AB
AQUAT.ST,Aquaticus Real Estate AB (publ)
PRESRV.ST,Preservium Property AB
ACUC.ST,AcuCort AB (publ)
SUSG.ST,Sustainion Group AB
MCLR.ST,Medclair AB
NODE.ST,Nodebis Applications AB (publ)
LUMITO.ST,Lumito AB (publ)
CURAS.ST,Curasight A/S
PRLD.ST,Prolight Diagnostics AB (publ)
FRILAN.ST,Invoicery Group AB
EVERY.ST,Everysport Group AB (publ)
DEX.ST,Dextech Medical AB
BIBB.ST,BiBBInstruments AB
BIOWKS.ST,Bio-Works Technologies AB (publ)
MEGR.ST,Mediacle Group AB (publ)
GJAB.ST,Gullberg & Jansson AB (publ)
ABERA.ST,Abera Bioscience AB
SPGR.ST,Spotlight Group AB (publ)
AMIDO.ST,Amido AB (publ)
SDS.ST,Seamless Distribution Systems AB (publ)
NOWO.ST,Nowonomics AB (publ)
BLUE.ST,Bluelake Mineral AB (publ)
REDS.ST,Redsense Medical AB (publ)
RAMSH.ST,Ramlösa shipping AB (publ)
KAV.ST,Katalysen Ventures AB (publ)
QBNK.ST,QBNK Holding AB (publ)
COEGIN.ST,Coegin Pharma AB
SOUND.ST,Sound Dimension AB (publ)
ABAS.ST,ABAS Protect AB
GOSOL.ST,Gosol Energy Group AB
SOLIDX.ST,Solidx AB (publ)
NORDIG.ST,Nord Insuretech Group AB (publ)
CARDEO.ST,Cardeon AB (publ)
TRNSF.ST,Transfer Group AB (publ)
EDYOU.ST,edyoutec AB
LOHILO.ST,Lohilo Foods AB (publ)
NIUTEC.ST,Niutech Group AB
TOUCH.ST,Touchtech AB
JDT.ST,JonDeTech Sensors AB (publ)
MYBEAT.ST,My Beat AB (publ)
CRBX.ST,Carbiotix AB (publ)
MNDRK.ST,MindArk PE AB (publ)
NXAR.ST,Nexar Group AB (publ)
GEAN.ST,Genetic Analysis AS
BTCX.ST,Goobit Group AB (publ)
RESP.ST,Respiratorius AB (publ)
RMDX.ST,Railway Metrics and Dynamics Sweden AB (publ)
HUNTER.ST,Hunter Capital AB (publ)
ABI.ST,AB Igrene (publ)
BAT.ST,Eurobattery Minerals AB
KVIX.ST,Kvix AB (publ)
COMINT.ST,Comintelli AB (publ)
VAXXA.ST,Vaxxa AB
ODI.ST,ODI Pharma AB (publ)
TPGR.ST,Time People Group AB (publ)
SARS.ST,Sarsys AB
QBRICK.ST,Qbrick AB (publ)
TIRO.ST,Transiro Holding AB (publ)
POLAR.ST,PolarCool AB (publ)
ATANA.ST,Attana AB
WEG.ST,Windon Energy Group AB
RLVNC.ST,Relevance Communication Nordic AB
PIXEL.ST,PixelFox AB
ZOOM.ST,Zoomability Int AB (publ)
OURLIV.ST,OurLiving AB
VIDH.ST,Vidhance AB (publ)
MAHVIE.ST,Mahvie Minerals AB (publ)
RVN.ST,Renewable Ventures Nordic AB (publ)
EXALT.ST,Exalt AB (publ)
GATE.ST,Jumpgate AB
TANGI.ST,Tangiamo Touch Technology AB (publ)
LEVBIO.ST,Level Bio AB (publ)
SENS.ST,Sustainable Energy Solutions Sweden Holding AB (publ)
HYCO.ST,Hybricon AB (publ)
MONI.ST,Monivent AB
APTA.ST,Aptahem AB (publ)
BIOF.ST,Biofrigas Sweden AB (publ)
ADVT.ST,Adverty AB (publ)
LIGR.ST,Lightning Group AB
THRILL.ST,Game Chest Group AB (publ)
ODIN.ST,Odinwell AB
NATTA.ST,Nattaro Labs AB (publ)
EATG.ST,EatGood Sweden AB (Publ)
DIABIO.ST,Diagonal Bio AB (publ)
SBG.ST,StoneBeach Group AB (publ)
POLYMER.ST,Polymer Factory Sweden AB
NILS.ST,Nilsson Special Vehicles AB (publ)
MEDIMI.ST,Medimi AB (publ)
SPERM.ST,Spermosens AB
GTG.ST,Gold Town Games AB (publ)
TOPR.ST,TopRight Nordic AB (publ)
CAPS.ST,Northern CapSek Ventures AB (publ)
HOLDFL.ST,Holdflight AB (publ)
UPGRAD.ST,Upgrade Invest Nordic AB (publ)
BLICK.ST,Blick Global Group AB (publ)
MBBAB.ST,MoveByBike Europe AB (publ)
LAIR.ST,LightAir AB (publ)
BODY.ST,Bodyflight Sweden AB (publ)
EEVIA.ST,Eevia Health Oyj
HUBSO.ST,HUBSO Group AB (publ)
RAYTL.ST,Raytelligence AB (publ)
DANCAN.ST,DanCann Pharma A/S
KILI.ST,Kiliaro AB (publ)
ABIG.ST,Abelco Investment Group AB
AFRI.ST,Africa Resources AB (publ)
CRET.ST,Creturner Group AB (publ)
F2M.ST,Free2move Holding AB (publ)
CONDO.ST,Condo Nordic Holding AB (publ)
EVOL.ST,Evolear AB (publ)
WONDR.ST,Wonderboo Holding AB
HMPLY.ST,Hemply Balance Holding AB (Publ)
RENT.ST,Rentunder Holding AB (publ)
AVSALT.ST,Avsalt Group AB
SPERR.ST,AB Sperrung (publ)
BRANDB.ST,BrandBee Holding AB (publ)
AMNO.ST,Amnode AB (publ)
VULTS.ST,Vultus AB
TRML.ST,Trainimal AB (publ)
HUBS.ST,Hubbster Group AB (publ)
SOCIAL.ST,Sociallite US AB (publ)
SPIFF.ST,Spiffbet AB
