Ticker,Company
AIRTELAFRI.NG,Airtel Africa Plc
BUAFOODS.NG,BUA Foods PLC
MTNN.NG,MTN Nigeria Communications PLC
DANGCEM.NG,Dangote Cement Plc
SEPLAT.NG,Seplat Energy Plc
BUACEMENT.NG,BUA Cement Plc
GEREGU.NG,Geregu Power Plc
TRANSPOWER.NG,Transcorp Power Plc
ARADEL.NG,Aradel Holdings Plc
ZENITHBANK.NG,Zenith Bank Plc
INTBREW.NG,International Breweries Plc
GTCO.NG,Guaranty Trust Holding Company Plc
NB.NG,Nigerian Breweries Plc
UBA.NG,United Bank for Africa Plc
WAPCO.NG,Lafarge Africa Plc
TRANSCOHOT.NG,Transcorp Hotels Plc
NESTLE.NG,Nestlé Nigeria Plc
ACCESSCORP.NG,Access Holdings Plc
FIRSTHOLDCO.NG,First HoldCo Plc
STANBIC.NG,Stanbic IBTC Holdings PLC
PRESCO.NG,Presco Plc
FIDELITYBK.NG,Fidelity Bank Plc
OANDO.NG,Oando PLC
ETI.NG,Ecobank Transnational Incorporated
OKOMUOIL.NG,The Okomu Oil Palm Company Plc
DANGSUGAR.NG,Dangote Sugar Refinery Plc
TRANSCORP.NG,Transnational Corporation of Nigeria Plc
FCMB.NG,FCMB Group Plc
UCAP.NG,United Capital Plc
STERLINGNG.NG,Sterling Financial Holdings Company Plc
WEMABANK.NG,Wema Bank PLC
UNILEVER.NG,Unilever Nigeria Plc
NOTORE.NG,Notore Chemical Industries Plc
TOTAL.NG,TotalEnergies Marketing Nigeria Plc
JBERGER.NG,Julius Berger Nigeria Plc
GUINNESS.NG,Guinness Nigeria Plc
NASCON.NG,Nascon Allied Industries Plc
NAHCO.NG,Nigerian Aviation Handling Company Plc
BETAGLAS.NG,Beta Glass Plc
HONYFLOUR.NG,Honeywell Flour Mills Plc
CONOIL.NG,Conoil Plc
CUSTODIAN.NG,Custodian Investment Plc
JAIZBANK.NG,Jaiz Bank Plc
PZ.NG,PZ Cussons Nigeria Plc
VFDGROUP.NG,VFD Group PLC
UACN.NG,UAC of Nigeria PLC
FIDSON.NG,Fidson Healthcare Plc
CADBURY.NG,Cadbury Nigeria Plc
NGXGROUP.NG,The Nigerian Exchange Group Plc
NEM.NG,NEM Insurance Plc
SKYAVN.NG,Skyway Aviation Handling Company Plc
MANSARD.NG,AXA Mansard Insurance Plc
VITAFOAM.NG,Vitafoam Nigeria Plc
CORNERST.NG,Cornerstone Insurance Plc
CHAMPION.NG,Champion Breweries Plc
AFRIPRUD.NG,Africa Prudential Plc
ETRANZACT.NG,eTranzact International Plc
ABBEYBDS.NG,Abbey Mortgage Bank Plc
AIICO.NG,AIICO Insurance Plc
UPDC.NG,UPDC Plc
ETERNA.NG,Eterna Plc
MRS.NG,MRS Oil Nigeria Plc
WAPIC.NG,Coronation Insurance Plc
MECURE.NG,Mecure Industries PLC
CAP.NG,Chemical and Allied Products Plc
LIVINGTRUST.NG,Livingtrust Mortgage Bank PLC
IKEJAHOTEL.NG,Ikeja Hotel Plc
LASACO.NG,LASACO Assurance Plc
CONHALLPLC.NG,Consolidated Hallmark Holdings Plc
INFINITY.NG,Infinity Trust Mortgage Bank Plc
SUNUASSUR.NG,Sunu Assurances Nigeria Plc
JAPAULGOLD.NG,Japaul Gold & Ventures Plc
MAYBAKER.NG,May & Baker Nigeria plc
LIVESTOCK.NG,Livestock Feeds Plc
LINKASSURE.NG,Linkage Assurance Plc
CWG.NG,CWG Plc
CUTIX.NG,Cutix Plc
IMG.NG,Industrial and Medical Gases Nigeria Plc
MBENEFIT.NG,Mutual Benefits Assurance Plc
ELLAHLAKES.NG,Ellah Lakes Plc
NNFM.NG,Northern Nigeria Flour Mills Plc
UNITYBNK.NG,Unity Bank Plc
UPDCREIT.NG,UPDC Real Estate Investment Trust
SOVRENINS.NG,Sovereign Trust Insurance Plc
NEIMETH.NG,Neimeth International Pharmaceuticals Plc
CAVERTON.NG,Caverton Offshore Support Group Plc
LEGENDINT.NG,Legend Internet Plc
VERITASKAP.NG,Veritas Kapital Assurance Plc
PRESTIGE.NG,Prestige Assurance Plc
CILEASING.NG,C & I Leasing Plc
HMCALL.NG,Haldane Mccall Plc
NPFMCRFBK.NG,NPF Microfinance Bank Plc
TANTALIZER.NG,Tantalizers PLC
FTNCOCOA.NG,FTN Cocoa Processors Plc
CHAMS.NG,Chams Holding Company Plc
UHOMREIT.NG,UH Real Estate Investment Trust
UNIVINSURE.NG,Universal Insurance Plc
ROYALEX.NG,Royal Exchange Plc
REGALINS.NG,Regency Alliance Insurance Plc
BERGER.NG,Berger Paints Nigeria Plc
REDSTAREX.NG,Red Star Express Plc
RONCHESS.NG,Ronchess Global Resources PLC
ASOSAVINGS.NG,ASO Savings and Loans Plc
GOLDBREW.NG,Golden Guinea Breweries Plc
