Ticker,Company
ANM.NA,Anglo American plc
FST.NA,FirstRand Limited
SNB.NA,Standard Bank Group Limited
SLA.NA,Sanlam Limited
SRH.NA,Shoprite Holdings Ltd
NBK.NA,Nedbank Group Limited
IVD.NA,Investec Group
B2G.NA,B2Gold Corp.
OMM.NA,Old Mutual Limited
MMT.NA,Momentum Group Limited
SNM.NA,Santam Ltd
PDN.NA,Paladin Energy Ltd
TRW.NA,Truworths International Limited
KFS.NA,PSG Financial Services Limited
VKN.NA,Vukile Property Fund Limited
DYL.NA,Deep Yellow Limited
FNB.NA,FirstRand Namibia Limited
CGP.NA,Capricorn Group Limited
BMN.NA,Bannerman Energy Ltd
OCG.NA,Oceana Group Limited
MOC.NA,Mobile Telecommunications Limited
NBS.NA,Namibia Breweries Limited
SNO.NA,SBN Holdings Limited
LHN.NA,Letshego Holdings (Namibia) Limited
FSY.NA,Forsys Metals Corp.
EL8.NA,Elevate Uranium Ltd
ATM.NA,Andrada Mining Limited
TAD.NA,Tadvest Limited
AGR.NA,Agra Limited
TUC.NA,Trustco Group Holdings Limited
CER.NA,Celsius Resources Limited
