Ticker,Company
RELIANCE,Reliance Industries Limited
HDFCBANK,HDFC Bank Limited
TCS,Tata Consultancy Services Limited
AIRTELPP,Bharti Airtel Limited
LT,Larsen & Toubro Limited
HCLTECH,HCL Technologies Limited
KOTAKBANK,Kotak Mahindra Bank Limited
MARUTI,Maruti Suzuki India Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
AXISBANK,Axis Bank Limited
M_M,Mahindra & Mahindra Limited
ULTRACEMCO,UltraTech Cement Limited
HAL,Hindustan Aeronautics Limited
NTPC,NTPC Limited
ONGC,Oil and Natural Gas Corporation Limited
BAJAJFINSV,Bajaj Finserv Ltd.
TITAN,Titan Company Limited
BEL,Bharat Electronics Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIENT,Adani Enterprises Limited
WIPRO,Wipro Limited
DMART,Avenue Supermarts Limited
POWERGRID,Power Grid Corporation of India Limited
TATAMOTORS,Tata Motors Limited
JSWSTEEL,JSW Steel Limited
COALINDIA,Coal India Limited
ETERNAL,Eternal Limited
NESTLEIND,Nestlé India Limited
ASIANPAINT,Asian Paints Limited
DLF,DLF Limited
ADANIPOWER,Adani Power Limited
INDIGO,InterGlobe Aviation Limited
TRENT,Trent Limited
IOC,Indian Oil Corporation Limited
TATASTEEL,Tata Steel Limited
HINDZINC,Hindustan Zinc Limited
GRASIM,Grasim Industries Limited
JIOFIN,Jio Financial Services Limited
SBILIFE,SBI Life Insurance Company Limited
IRFC,Indian Railway Finance Corporation Limited
DIVISLAB,Divi's Laboratories Limited
VEDL,Vedanta Limited
HDFCLIFE,HDFC Life Insurance Company Limited
LTIM,LTIMindtree Limited
HYUNDAI,Hyundai Motor India Limited
SOLARINDS,Solar Industries India Limited
VBL,Varun Beverages Limited
ADANIGREEN,Adani Green Energy Limited
PIDILITIND,Pidilite Industries Limited
EICHERMOT,Eicher Motors Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
TECHM,Tech Mahindra Limited
HINDALCO,Hindalco Industries Limited
LODHA,Macrotech Developers Limited
BPCL,Bharat Petroleum Corporation Limited
BRITANNIA,Britannia Industries Limited
TVSMOTOR,TVS Motor Company Limited
AMBUJACEM,Ambuja Cements Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
PFC,Power Finance Corporation Limited
ABB,ABB India Limited
TATAPOWER,Tata Power Company Limited
SHRIRAMFIN,Shriram Finance Limited
GODREJCP,Godrej Consumer Products Limited
CIPLA,Cipla Limited
BANKBARODA,Bank of Baroda Limited
GAIL,GAIL (India) Limited
PNB,Punjab National Bank
SIEMENS,Siemens Limited
MAXHEALTH,Max Healthcare Institute Limited
DRREDDY,Dr. Reddy's Laboratories Limited
TATACONSUM,Tata Consumer Products Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
BSE,BSE Limited
UNIONBANK,Union Bank of India
INDHOTEL,The Indian Hotels Company Limited
MUTHOOTFIN,Muthoot Finance Limited
SHREECEM,Shree Cement Limited
INDUSTOWER,Indus Towers Limited
HDFCAMC,HDFC Asset Management Company Limited
