Ticker,Company
WBC.NZ,Westpac Banking Corporation
ANZ.NZ,ANZ Group Holdings Limited
FPH.NZ,Fisher & Paykel Healthcare Corporation Limited
MEL.NZ,Meridian Energy Limited
AIA.NZ,Auckland International Airport Limited
IFT.NZ,Infratil Limited
MCY.NZ,Mercury NZ Limited
FCG.NZ,Fonterra Co-operative Group Limited
EBO.NZ,EBOS Group Limited
CEN.NZ,Contact Energy Limited
MFT.NZ,Mainfreight Limited
ATM.NZ,The a2 Milk Company Limited
POT.NZ,Port of Tauranga Limited
VNT.NZ,Ventia Services Group Limited
SPK.NZ,Spark New Zealand Limited
VCT.NZ,Vector Limited
CNU.NZ,Chorus Limited
FBU.NZ,Fletcher Building Limited
GMT.NZ,Goodman Property Trust
SUM.NZ,Summerset Group Holdings Limited
GNE.NZ,Genesis Energy Limited
RYM.NZ,Ryman Healthcare Limited
MNW.NZ,Manawa Energy Limited
FRW.NZ,Freightways Group Limited
AIR.NZ,Air New Zealand Limited
PCT.NZ,Precinct Properties NZ Ltd & Precinct Properties Investments Ltd
KPG.NZ,Kiwi Property Group Limited
BGP.NZ,Briscoe Group Limited
VHP.NZ,Vital Healthcare Property Trust
GTK.NZ,Gentrack Group Limited
PFI.NZ,Property For Industry Limited
ARG.NZ,Argosy Property Limited
SKL.NZ,Skellerup Holdings Limited
CHI.NZ,Channel Infrastructure NZ Limited
VGL.NZ,Vista Group International Limited
HGH.NZ,Heartland Group Holdings Limited
VSL.NZ,Vulcan Steel Limited
SKC.NZ,SkyCity Entertainment Group Limited
SCL.NZ,Scales Corporation Limited
SPG.NZ,Stride Property Group
NPH.NZ,Napier Port Holdings Limited
TRA.NZ,Turners Automotive Group Limited
WIN.NZ,Winton Land Limited
TWR.NZ,Tower Limited
SAN.NZ,Sanford Limited
THL.NZ,Tourism Holdings Limited
NZX.NZ,NZX Limited
OCA.NZ,Oceania Healthcare Limited
HLG.NZ,Hallenstein Glasson Holdings Limited
IPL.NZ,Investore Property Limited
SML.NZ,Synlait Milk Limited
MCK.NZ,Millennium & Copthorne Hotels New Zealand Limited
DGL.NZ,Delegat Group Limited
SKT.NZ,SKY Network Television Limited
RBD.NZ,Restaurant Brands New Zealand Limited
SKO.NZ,Serko Limited
ERD.NZ,EROAD Limited
AFT.NZ,AFT Pharmaceuticals Limited
WHS.NZ,The Warehouse Group Limited
SPY.NZ,Smartpay Holdings Limited
CDI.NZ,CDL Investments New Zealand Limited
CMO.NZ,The Colonial Motor Company Limited
MMH.NZ,Marsden Maritime Holdings Limited
NZM.NZ,NZME Limited
TGG.NZ,T&G Global Limited
MLN.NZ,Marlin Global Limited
KMD.NZ,KMD Brands Limited
SEK.NZ,Seeka Limited
MHJ.NZ,Michael Hill International Limited
SCT.NZ,Scott Technology Limited
SPN.NZ,South Port New Zealand Limited
PGW.NZ,PGG Wrightson Limited
IKE.NZ,ikeGPS Group Limited
LIC.NZ,Livestock Improvement Corporation Limited
NZL.NZ,New Zealand Rural Land Company Limited
STU.NZ,Steel & Tube Holdings Limited
RAK.NZ,Rakon Limited
NZK.NZ,New Zealand King Salmon Investments Limited
GXH.NZ,Green Cross Health Limited
NWF.NZ,NZ Windfarms Limited
RAD.NZ,Radius Residential Care Limited
PEB.NZ,Pacific Edge Limited
ARB.NZ,ArborGen Holdings Limited
APL.NZ,Asset Plus Limited
MFB.NZ,My Food Bag Group Limited
NTL.NZ,New Talisman Gold Mines Limited
BPG.NZ,Black Pearl Group Limited
BRW.NZ,Bremworth Limited
FWL.NZ,Foley Wines Limited
AOF.NZ,AoFrio Limited
CVT.NZ,Comvita Limited
TAH.NZ,Third Age Health Services Limited
2CC.NZ,2 Cheap Cars Group Limited
PYS.NZ,PaySauce Limited
GEN.NZ,General Capital Limited
MOV.NZ,MOVE Logistics Group Limited
TWL.NZ,Trade Window Holdings Limited
ALF.NZ,Allied Farmers Limited
PHL.NZ,Promisia Healthcare Limited
WCO.NZ,WasteCo Group Limited
BLT.NZ,BLIS Technologies Limited
VTL.NZ,Vital Limited
CCC.NZ,Cooks Coffee Company Limited
ENS.NZ,Enprise Group Limited
SVR.NZ,Savor Limited
BAI.NZ,Being AI Limited
TRU.NZ,TruScreen Group Limited
BFG.NZ,Burger Fuel Group Limited
SDL.NZ,Solution Dynamics Limited
MPG.NZ,Metro Performance Glass Limited
AGL.NZ,Accordant Group Limited
CRP.NZ,Chatham Rock Phosphate Limited
RUA.NZ,Rua Bioscience Limited
MEE.NZ,Me Today Limited
RTO.NZ,RTO Limited
