Ticker,Company
EQNR.OL,Equinor ASA
DNB.OL,DNB Bank ASA
KOG.OL,Kongsberg Gruppen ASA
TEL.OL,Telenor ASA
AKRBP.OL,Aker BP ASA
GJF.OL,Gjensidige Forsikring ASA
NHY.OL,Norsk Hydro ASA
ORK.OL,Orkla ASA
YAR.OL,Yara International ASA
MOWI.OL,Mowi ASA
VAR.OL,Vår Energi AS
VENDA.OL,Vend Marketplaces ASA
VENDB.OL,Vend Marketplaces ASA
SB1NO.OL,SpareBank 1 Sør-Norge ASA
SALM.OL,SalMar ASA
STB.OL,Storebrand ASA
SUBC.OL,Subsea 7 S.A.
AKER.OL,Aker ASA
TOM.OL,Tomra Systems ASA
FRO.OL,Frontline plc
WAWI.OL,Wallenius Wilhelmsen ASA
PROT.OL,Protector Forsikring ASA
HAFNI.OL,Hafnia Limited
OLT.OL,Olav Thon Eiendomsselskap ASA
LSG.OL,Lerøy Seafood Group ASA
MING.OL,SpareBank 1 SMN
BAKKA.OL,P/F Bakkafrost
NOD.OL,Nordic Semiconductor ASA
SPOL.OL,SpareBank 1 Østlandet
ENTRA.OL,Entra ASA
DOFG.OL,DOF Group ASA
TIETO.OL,TietoEVRY Oyj
VEI.OL,Veidekke ASA
BRG.OL,Borregaard ASA
WWI.OL,Wilh. Wilhelmsen Holding ASA
WWIB.OL,Wilh. Wilhelmsen Holding ASA
BWLPG.OL,BW LPG Limited
AUSS.OL,Austevoll Seafood ASA
CADLR.OL,Cadeler A/S
AKSO.OL,Aker Solutions ASA
AUTO.OL,AutoStore Holdings Ltd.
HAUTO.OL,Höegh Autoliners ASA
TGS.OL,TGS ASA
BNOR.OL,BlueNord ASA
ATEA.OL,Atea ASA
ODL.OL,Odfjell Drilling Ltd.
SBNOR.OL,Sparebanken Norge
AFG.OL,AF Gruppen ASA
GOGL.OL,Golden Ocean Group Limited
ELK.OL,Elkem ASA
NONG.OL,SpareBank 1 Nord-Norge
SCATC.OL,Scatec ASA
EPR.OL,Europris ASA
SNI.OL,Stolt-Nielsen Limited
DNO.OL,DNO ASA
NORCO.OL,Norconsult ASA
NORBT.OL,Norbit ASA
NAS.OL,Norwegian Air Shuttle ASA
FLNG.OL,FLEX LNG Ltd.
CRAYN.OL,Crayon Group Holding ASA
ELO.OL,Elopak ASA
KIT.OL,Kitron ASA
SOMA.OL,Solstad Maritime ASA
BWE.OL,BW Energy Limited
BONHR.OL,Bonheur ASA
ODF.OL,Odfjell SE
ODFB.OL,Odfjell SE
BOUV.OL,Bouvet ASA
GSF.OL,Grieg Seafood ASA
OET.OL,Okeanis Eco Tankers Corp.
PUBLI.OL,Public Property Invest ASA
MPCC.OL,MPC Container Ships ASA
AFK.OL,Arendals Fossekompani ASA
LINK.OL,LINK Mobility Group Holding ASA
SATS.OL,Sats ASA
COSH.OL,Constellation Oil Services Holding S.A.
PEXIP.OL,Pexip Holding ASA
RING.OL,SpareBank 1 Ringerike Hadeland
TRE.OL,Treasure ASA
PARB.OL,Pareto Bank ASA
KID.OL,Kid ASA
BWO.OL,BW Offshore Limited
PLSV.OL,Paratus Energy Services Ltd.
MULTI.OL,Multiconsult ASA
SOAG.OL,SpareBank 1 Østfold Akershus
MORG.OL,Sparebanken Møre
AKBM.OL,Aker BioMarine ASA
B2I.OL,B2 Impact ASA
SBX.OL,SeaBird Exploration Plc
HELG.OL,SpareBank 1 Helgeland
ENDUR.OL,Endúr ASA
SMCRT.OL,SmartCraft ASA
ENVIP.OL,Envipco Holding N.V.
NEL.OL,Nel ASA
SEA1.OL,Sea1 Offshore Inc.
BEWI.OL,BEWI ASA
KCC.OL,Klaveness Combination Carriers ASA
CLOUD.OL,Cloudberry Clean Energy ASA
ELMRA.OL,Elmera Group ASA
CLCO.OL,Cool Company Ltd.
MEDI.OL,Medistim ASA
ABG.OL,ABG Sundal Collier Holding ASA
AKAST.OL,Akastor ASA
HEX.OL,Hexagon Composites ASA
SBO.OL,Selvaag Bolig ASA
SOFF.OL,Solstad Offshore ASA
ROGS.OL,Rogaland Sparebank
ISLAX.OL,Icelandic Salmon AS
CAMBI.OL,Cambi ASA
NORDH.OL,Nordhealth AS
POL.OL,Polaris Media ASA
AKVA.OL,AKVA group ASA
PEN.OL,Panoro Energy ASA
EWIND.OL,Edda Wind ASA
AGLX.OL,Agilyx ASA
ANDF.OL,Andfjord Salmon Group AS
HSHP.OL,Himalaya Shipping Ltd.
2020.OL,2020 Bulkers Ltd.
SALME.OL,Salmon Evolution ASA
MOBA.OL,Morrow Bank ASA
MORLD.OL,Moreld AS
RANA.OL,Rana Gruber ASA
AURA.OL,Aurora Eiendom AS
REACH.OL,Reach Subsea ASA
MAS.OL,Måsøval AS
NOM.OL,Nordic Mining ASA
BMK.OL,Benchmark Holdings plc
NAPA.OL,Napatech A/S
ARCH.OL,Archer Limited
SHLF.OL,"Shelf Drilling, Ltd."
KOMPL.OL,Komplett ASA
OKEA.OL,OKEA ASA
OTL.OL,Odfjell Technology Ltd.
ACR.OL,Axactor ASA
G2MNO.OL,Gentoo Media Inc.
VTURA.OL,Ventura Offshore Holding Ltd.
KLDVK.OL,Kaldvik AS
NOL.OL,Northern Ocean Ltd.
JAREN.OL,Jæren Sparebank
NSKOG.OL,Norske Skog ASA
IWS.OL,Integrated Wind Solutions ASA
ZAL.OL,Zalaris ASA
XPLRA.OL,Xplora Technologies AS
VDI.OL,Vantage Drilling International Ltd.
ZAP.OL,Zaptec ASA
NOAP.OL,Nordic Aqua Partners A/S
PNOR.OL,PetroNor E&P ASA
SPOG.OL,Sparebanken Øst
MGN.OL,Magnora ASA
DVD.OL,Deep Value Driller AS
KOA.OL,Kongsberg Automotive ASA
SMOP.OL,Smartoptics Group AS
AFISH.OL,Arctic Fish Holding AS
SNOR.OL,SpareBank 1 Nordmøre
GIGA.OL,Gigante Salmon AS
PHO.OL,Photocure ASA
ELABS.OL,Elliptic Laboratories ASA
BMA.OL,Byggma ASA
SPIR.OL,Spir Group ASA
ABL.OL,ABL Group ASA
NTI.OL,Norsk Titanium AS
HKY.OL,Havila Kystruten AS
VISTN.OL,Vistin Pharma ASA
NRC.OL,NRC Group ASA
AURG.OL,Aurskog Sparebank
AKH.OL,Aker Horizons ASA
PYRUM.OL,Pyrum Innovations AG
NKR.OL,Nekkar ASA
NOHAL.OL,Nordic Halibut AS
OMDA.OL,Omda AS
NORAM.OL,NorAm Drilling AS
ZENA.OL,Zenith Energy Ltd.
GYL.OL,Gyldendal ASA
REFL.OL,ReFuels N.V.
NCOD.OL,Norcod AS
EIOF.OL,Eidesvik Offshore ASA
SDSD.OL,S.D. Standard ETC Plc
ENSU.OL,Ensurge Micropower ASA
OTEC.OL,Otello Corporation ASA
NORSE.OL,Norse Atlantic ASA
GENT.OL,Gentian Diagnostics ASA
INSTA.OL,Instabank ASA
RECSI.OL,REC Silicon ASA
TRMED.OL,Thor Medical ASA
XXL.OL,XXL ASA
KING.OL,The Kingfish Company N.V.
LUMI.OL,Lumi Gruppen AS
AZT.OL,ArcticZymes Technologies ASA
VVL.OL,Voss Veksel- og Landmandsbank ASA
BIEN.OL,Bien Sparebank ASA
QEC.OL,Questerre Energy Corporation
SKUE.OL,Skue Sparebank
ITERA.OL,Itera ASA
ELIMP.OL,Elektroimportøren AS
SCANA.OL,Scana ASA
HPUR.OL,Hexagon Purus ASA
HBC.OL,Hofseth BioCare ASA
TEKNA.OL,Tekna Holding ASA
VOW.OL,Vow ASA
STST.OL,Stainless Tankers ASA
PLT.OL,poLight ASA
LYTIX.OL,Lytix Biopharma AS
BRUT.OL,Bruton Limited
WSTEP.OL,Webstep ASA
SAGA.OL,Saga Pure ASA
GRONG.OL,Grong Sparebank
BOR.OL,Borgestad ASA
CAPSL.OL,Capsol Technologies ASA
JIN.OL,Jinhui Shipping and Transportation Limited
NYKD.OL,Nykode Therapeutics AS
TRSB.OL,Trøndelag Sparebank
