Ticker,Company
PALTEL.PS,Palestine Telecommunications Company P.L.C
BOP.PS,Bank of Palestine Plc
PADICO.PS,Palestine Development & Investment Co.
APIC.PS,Arab Palestinian Investment Company
OOREDOO.PS,Wataniya Palestine Mobile Telecommunication - Public Shareholding Company
ARKAAN.PS,Arkaan Real Estate P.L.C
TNB.PS,The National Bank
BPC.PS,Birzeit Pharmaceuticals Company
QUDS.PS,Quds Bank Ltd.
ISBK.PS,Palestine Islamic Bank
AIB.PS,Arab Islamic Bank P.L.C.
PIBC.PS,Palestine Investment Bank P.L.C.
JPH.PS,Jerusalem Pharmaceuticals Co. Ltd.
AZIZA.PS,Palestine Poultry Company L.T.D
SAFABANK.PS,Safa Bank
NIC.PS,National Insurance Company (Palestine)
PRICO.PS,Palestine Real Estate Investment Limited
JCC.PS,Jerusalem Cigarette Co. Ltd.
GUI.PS,Global United Insurance Company
GMC.PS,Golden Wheat Mills P.L.C
WASSEL.PS,The Palestinian Company for Distribution & Logistics Services LLC
UCI.PS,Union Construction and Investment
AIG.PS,Ahlia Insurance Group Ltd.
NCI.PS,The National Carton Industry P.L.C
