Ticker,Company
MFC.PS,Manulife Financial Corporation
SLF.PS,Sun Life Financial Inc.
HVN.PS,Villar Land Holdings Corp.
SM.PS,SM Investments Corporation
ICT.PS,"International Container Terminal Services, Inc."
BDO.PS,"BDO Unibank, Inc."
BPI.PS,Bank of the Philippine Islands
SMPH.PS,"SM Prime Holdings, Inc."
MER.PS,Manila Electric Company
ALI.PS,"Ayala Land, Inc."
AC.PS,Ayala Corporation
MBT.PS,Metropolitan Bank & Trust Company
FB.PS,"San Miguel Food and Beverage, Inc."
AP.PS,Aboitiz Power Corporation
PLUS.PS,DigiPlus Interactive Corp.
TEL.PS,PLDT Inc.
JFC.PS,Jollibee Foods Corporation
GLO.PS,"Globe Telecom, Inc."
EMI.PS,Emperador Inc.
AEV.PS,"Aboitiz Equity Ventures, Inc."
SMC.PS,San Miguel Corporation
CBC.PS,China Banking Corporation
URC.PS,Universal Robina Corporation
CNPF.PS,"Century Pacific Food, Inc."
DMC.PS,"DMCI Holdings, Inc."
LTG.PS,"LT Group, Inc."
SCC.PS,Semirara Mining and Power Corporation
CNVRG.PS,"Converge Information and Communications Technology Solutions, Inc."
JGS.PS,"JG Summit Holdings, Inc."
AREIT.PS,"AREIT, Inc."
MONDE.PS,Monde Nissin Corporation
GTCAP.PS,"GT Capital Holdings, Inc."
MWC.PS,"Manila Water Company, Inc."
RCR.PS,"RL Commercial REIT, Inc."
PAL.PS,"PAL Holdings, Inc."
UBP.PS,Union Bank of the Philippines
ACEN.PS,Acen Corporation
PGOLD.PS,"Puregold Price Club, Inc."
PTC.PS,Philippine Trust Company
GSMI.PS,Ginebra San Miguel Inc.
PNB.PS,Philippine National Bank
AGI.PS,"Alliance Global Group, Inc."
SEVN.PS,Philippine Seven Corporation
BLOOM.PS,Bloomberry Resorts Corporation
FGEN.PS,First Gen Corporation
RLC.PS,Robinsons Land Corporation
RCB.PS,Rizal Commercial Banking Corporation
SPNEC.PS,SP New Energy Corporation
MEG.PS,Megaworld Corporation
SGP.PS,"Synergy Grid & Development Phils., Inc."
AUB.PS,Asia United Bank Corporation
MREIT.PS,"MREIT, Inc."
COSCO.PS,"Cosco Capital, Inc."
SECB.PS,Security Bank Corporation
ATI.PS,"Asian Terminals, Inc."
HOUSE.PS,"8990 Holdings, Inc."
RRHI.PS,"Robinsons Retail Holdings, Inc."
FDC.PS,Filinvest Development Corporation
KEEPR.PS,"The Keepers Holdings, Inc."
OGP.PS,OceanaGold (Philippines) Inc.
PX.PS,Philex Mining Corporation
APX.PS,"Apex Mining Co., Inc."
DNL.PS,"D&L Industries, Inc."
CREC.PS,Citicore Renewable Energy Corporation
NIKL.PS,Nickel Asia Corporation
FPH.PS,First Philippine Holdings Corporation
WLCON.PS,"Wilcon Depot, Inc."
DD.PS,DoubleDragon Corporation
PSB.PS,Philippine Savings Bank
EW.PS,East West Banking Corporation
DITO.PS,DITO CME Holdings Corp.
PPC.PS,Pryce Corporation
CREIT.PS,Citicore Energy REIT Corp.
PCOR.PS,Petron Corporation
PRF3A.PS,Petron Corporation
TFHI.PS,"Top Frontier Investment Holdings, Inc."
BCOR.PS,Berjaya Philippines Inc.
SLI.PS,"Sta. Lucia Land, Inc."
CEB.PS,"Cebu Air, Inc."
FILRT.PS,Filinvest REIT Corp.
