Ticker,Company
OGDC.KA,Oil and Gas Development Company Limited
MARI.KA,Mari Energies Limited
UBL.KA,United Bank Limited
MEBL.KA,Meezan Bank Limited
FFC.KA,Fauji Fertilizer Company Limited
LUCK.KA,Lucky Cement Limited
PPL.KA,Pakistan Petroleum Limited
MCB.KA,MCB Bank Limited
COLG.KA,Colgate-Palmolive (Pakistan) Limited
NESTLE.KA,Nestlé Pakistan Limited
PAKT.KA,Pakistan Tobacco Company Limited
HBL.KA,Habib Bank Limited
EFERT.KA,Engro Fertilizers Limited
BWCL.KA,Bestway Cement Limited
SCBPL.KA,Standard Chartered Bank (Pakistan) Limited
NBP.KA,National Bank of Pakistan
ENGROH.KA,Engro Holding Limited
FATIMA.KA,Fatima Fertilizer Company Limited
HUBC.KA,The Hub Power Company Limited
PSO.KA,Pakistan State Oil Company Limited
BAHL.KA,Bank AL Habib Limited
ABL.KA,Allied Bank Limited
POL.KA,Pakistan Oilfields Limited
SYS.KA,Systems Limited
UPFL.KA,Unilever Pakistan Foods Limited
LCI.KA,Lucky Core Industries Limited
KEL.KA,K-Electric Limited
INDU.KA,Indus Motor Company Limited
PIAHCLA.KA,PIA Holding Company Limited
PIAHCLB.KA,PIA Holding Company Limited
ATLH.KA,Atlas Honda Limited
PTC.KA,Pakistan Telecommunication Company Limited
BAFL.KA,Bank Alfalah Limited
GLAXO.KA,GlaxoSmithKline Pakistan Limited
ISIL.KA,Ismail Industries Limited
FCCL.KA,Fauji Cement Company Limited
MTL.KA,Millat Tractors Limited
HMB.KA,Habib Metropolitan Bank Limited
IBFL.KA,Ibrahim Fibres Limited
ABOT.KA,Abbott Laboratories (Pakistan) Limited
FABL.KA,Faysal Bank Limited
RMPL.KA,Rafhan Maize Products Co. Limited
ILP.KA,Interloop Limited
MLCF.KA,Maple Leaf Cement Factory Limited
HALEON.KA,Haleon Pakistan Limited
SNGP.KA,Sui Northern Gas Pipelines Limited
PKGP.KA,Pakgen Power Limited
AKBL.KA,Askari Bank Limited
ATRL.KA,Attock Refinery Limited
KOHC.KA,Kohat Cement Company Limited
PMPK.KA,Philip Morris (Pakistan) Limited
SAZEW.KA,Sazgar Engineering Works Limited
DGKC.KA,D.G. Khan Cement Company Limited
FCEPL.KA,FrieslandCampina Engro Pakistan Limited
NATF.KA,National Foods Limited
PNSC.KA,Pakistan National Shipping Corporation
DCR.KA,Dolmen City REIT
AIRLINK.KA,Air Link Communication Limited
APL.KA,Attock Petroleum Limited
CHCC.KA,Cherat Cement Company Limited
JDWS.KA,JDW Sugar Mills Limited
AGP.KA,AGP Limited
SRVI.KA,Service Industries Limited
HINOON.KA,Highnoon Laboratories Limited
PIOC.KA,Pioneer Cement Limited
KTML.KA,Kohinoor Textile Mills Limited
PKGS.KA,Packages Limited
SEARL.KA,The Searle Company Limited
NML.KA,Nishat Mills Limited
AHCL.KA,Arif Habib Corporation Limited
PABC.KA,Pakistan Aluminium Beverage Cans Limited
CNERGY.KA,Cnergyico PK Limited
HCAR.KA,Honda Atlas Cars (Pakistan) Limited
ACPL.KA,Attock Cement Pakistan Limited
SSGC.KA,Sui Southern Gas Company Limited
FFL.KA,Fauji Foods Limited
TGL.KA,Tariq Glass Industries Limited
GHGL.KA,Ghani Glass Limited
WAFI.KA,Wafi Energy Pakistan Limited
ISL.KA,International Steels Limited
FLYNG.KA,Flying Cement Company Limited
PAEL.KA,Pak Elektron Limited
PELPS.KA,Pak Elektron Limited
TRG.KA,TRG Pakistan Limited
BOP.KA,The Bank of Punjab
BIPL.KA,BankIslami Pakistan Limited
PSEL.KA,Pakistan Services Limited
HPL.KA,Hoechst Pakistan Limited
LOTCHEM.KA,Lotte Chemical Pakistan Limited
THALL.KA,Thal Limited
UNITY.KA,Unity Foods Limited
EPCL.KA,Engro Polymer and Chemicals Limited
KAPCO.KA,Kot Addu Power Company Limited
SHFA.KA,Shifa International Hospitals Limited
GHNI.KA,Ghandhara Industries Limited
BML.KA,Bank Makramah Limited
MACTER.KA,Macter International Limited
SAPT.KA,Sapphire Textile Mills Limited
FML.KA,Feroze1888 Mills Limited
MUGHAL.KA,Mughal Iron & Steel Industries Limited
IGIHL.KA,IGI Holdings Limited
EFUG.KA,EFU General Insurance Limited
AGTL.KA,Al-Ghazi Tractors Limited
JVDC.KA,Javedan Corporation Limited
AGL.KA,Agritech Limited
GAL.KA,Ghandhara Automobiles Limited
SFL.KA,Sapphire Fibres Limited
MUREB.KA,Murree Brewery Company Limited
INIL.KA,International Industries Limited
TSML.KA,Tandlianwala Sugar Mills Limited
PSX.KA,Pakistan Stock Exchange Limited
JSBL.KA,JS Bank Limited
PRL.KA,Pakistan Refinery Limited
AVN.KA,Avanceon Limited
NRL.KA,National Refinery Limited
GWLC.KA,Gharibwal Cement Limited
BOK.KA,The Bank of Khyber
SNBL.KA,Soneri Bank Limited
CPHL.KA,Citi Pharma Limited
STYLERS.KA,Stylers International Limited
DHPL.KA,DH Partners Limited
GATM.KA,Gul Ahmed Textile Mills Limited
NICL.KA,Nimir Industrial Chemicals Limited
JSCL.KA,Jahangir Siddiqui & Co. Ltd.
AICL.KA,Adamjee Insurance Company Limited
POWER.KA,Power Cement Limited
FEROZ.KA,Ferozsons Laboratories Limited
