Ticker,Company
HTCD.SI,Tencent Holdings Limited
HSHD.SI,HSBC Holdings plc
HYDD.SI,BYD Company Limited
HPAD.SI,"Ping An Insurance (Group) Company of China, Ltd."
D05.SI,DBS Group Holdings Ltd
O39.SI,Oversea-Chinese Banking Corporation Limited
Z74.SI,Singapore Telecommunications Limited
Z77.SI,Singapore Telecommunications Limited
U11.SI,United Overseas Bank Limited
K6S.SI,Prudential plc
S63.SI,Singapore Technologies Engineering Ltd
C6L.SI,Singapore Airlines Limited
Q0F.SI,IHH Healthcare Berhad
F34.SI,Wilmar International Limited
J36.SI,Jardine Matheson Holdings Limited
C38U.SI,CapitaLand Integrated Commercial Trust
H78.SI,Hongkong Land Holdings Limited
TATD.SI,Airports of Thailand Public Company Limited
S68.SI,Singapore Exchange Limited
BN4.SI,Keppel Ltd.
9CI.SI,CapitaLand Investment Limited
U96.SI,Sembcorp Industries Ltd
G07.SI,Great Eastern Holdings Limited
A17U.SI,CapitaLand Ascendas REIT
Y92.SI,Thai Beverage Public Company Limited
NIO.SI,NIO Inc.
C07.SI,Jardine Cycle & Carriage Limited
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.
SO7.SI,Yangzijiang Shipbuilding (Holdings) Ltd.
G13.SI,Genting Singapore Limited
5E2.SI,Seatrium Limited
N2IU.SI,Mapletree Pan Asia Commercial Trust
M44U.SI,Mapletree Logistics Trust
ME8U.SI,Mapletree Industrial Trust
EMI.SI,Emperador Inc.
AJBU.SI,Keppel DC REIT
U14.SI,UOL Group Limited
D01.SI,DFI Retail Group Holdings Limited
C09.SI,City Developments Limited
S58.SI,SATS Ltd.
J69U.SI,Frasers Centrepoint Trust
T14.SI,Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited
S59.SI,SIA Engineering Company Limited
VC2.SI,Olam Group Limited
K71U.SI,Keppel REIT
CJLU.SI,NetLink NBN Trust
HMN.SI,CapitaLand Ascott Trust
TQ5.SI,Frasers Property Limited
T82U.SI,Suntec Real Estate Investment Trust
V03.SI,Venture Corporation Limited
E5H.SI,Golden Agri-Resources Ltd
M04.SI,Mandarin Oriental International Limited
BUOU.SI,Frasers Logistics & Commercial Trust
C52.SI,ComfortDelGro Corporation Limited
U06.SI,Singapore Land Group Limited
OV8.SI,Sheng Siong Group Ltd
C2PU.SI,Parkway Life Real Estate Investment Trust
H02.SI,Haw Par Corporation Limited
YF8.SI,Yangzijiang Financial Holding Ltd.
A7RU.SI,Keppel Infrastructure Trust
S07.SI,Shangri-La Asia Limited
H15.SI,Hotel Properties Limited
EB5.SI,First Resources Limited
AIY.SI,iFAST Corporation Ltd.
CC3.SI,StarHub Ltd
9A4U.SI,ESR-REIT
NS8U.SI,Hutchison Port Holdings Trust
P7VU.SI,Hutchison Port Holdings Trust
BSL.SI,Raffles Medical Group Ltd
U10.SI,UOB-Kay Hian Holdings Limited
F99.SI,"Fraser and Neave, Limited"
BVA.SI,Top Glove Corporation Bhd.
F17.SI,GuocoLand Limited
TS0U.SI,OUE Real Estate Investment Trust
A26.SI,Sinarmas Land Limited
CY6U.SI,CapitaLand India Trust
ACV.SI,Frasers Hospitality Trust
P8Z.SI,Bumitama Agri Ltd.
CWBU.SI,Stoneweg Europe Stapled Trust
CWCU.SI,Stoneweg European Real Estate Investment Trust
H13.SI,Ho Bee Land Limited
OU8.SI,Centurion Corporation Limited
S08.SI,Singapore Post Limited
JYEU.SI,Lendlease Global Commercial REIT
AU8U.SI,CapitaLand China Trust
ADN.SI,First Sponsor Group Limited
P40U.SI,Starhill Global Real Estate Investment Trust
S41.SI,Hong Leong Finance Limited
AGS.SI,The Hour Glass Limited
Q5T.SI,Far East Hospitality Trust
A50.SI,Thomson Medical Group Limited
O5RU.SI,AIMS APAC REIT
P15.SI,Pacific Century Regional Developments Limited
B61.SI,Bukit Sembawang Estates Limited
AP4.SI,Riverstone Holdings Limited
H22.SI,Hong Leong Asia Ltd.
J85.SI,CDL Hospitality Trusts
Z25.SI,Yanlord Land Group Limited
W05.SI,Wing Tai Holdings Limited
F03.SI,Food Empire Holdings Limited
BEC.SI,BRC Asia Limited
S61.SI,SBS Transit Ltd
558.SI,UMS Integration Limited
DCRU.SI,Digital Core REIT
EH5.SI,United Overseas Australia Ltd
CRPU.SI,Sasseur Real Estate Investment Trust
LJ3.SI,OUE Limited
OYY.SI,PropNex Limited
G92.SI,China Aviation Oil (Singapore) Corporation Ltd
U9E.SI,China Everbright Water Limited
NC2.SI,Sri Trang Agro-Industry Public Company Limited
F9D.SI,Boustead Singapore Limited
CHZ.SI,HRnetGroup Limited
S20.SI,The Straits Trading Company Limited
H07.SI,Stamford Land Corporation Ltd
H30.SI,Hong Fok Corporation Limited
5G3.SI,TalkMed Group Limited
BWM.SI,Zheneng Jinjiang Environment Holding Company Limited
T6I.SI,ValueMax Group Limited
AW9U.SI,First Real Estate Investment Trust
P52.SI,Pan-United Corporation Ltd
C41.SI,Cortina Holdings Limited
A34.SI,Amara Holdings Limited
H18.SI,Hotel Grand Central Limited
QES.SI,China Sunsine Chemical Holdings Ltd.
WJP.SI,VICOM Ltd
RE4.SI,Geo Energy Resources Limited
O10.SI,Far East Orchard Limited
E28.SI,Frencken Group Limited
Q01.SI,QAF Limited
BBW.SI,Azeus Systems Holdings Ltd.
5IG.SI,Gallant Venture Ltd.
U13.SI,United Overseas Insurance Limited
M1GU.SI,Sabana Industrial Real Estate Investment Trust
P9D.SI,Civmec Limited
P34.SI,Delfi Limited
8AZ.SI,Aztech Global Ltd.
5JS.SI,Indofood Agri Resources Ltd.
S56.SI,Samudera Shipping Line Ltd
TSH.SI,TSH Resources Berhad
E3B.SI,Wee Hur Holdings Ltd.
PCT.SI,PC Partner Group Limited
1D0.SI,Kimly Limited
BHK.SI,SIIC Environment Holdings Ltd.
MZH.SI,Nanofilm Technologies International Limited
DHLU.SI,Daiwa House Logistics Trust
UD1U.SI,IREIT Global
MV4.SI,Mewah International Inc.
AWX.SI,AEM Holdings Ltd.
544.SI,CSE Global Limited
5UX.SI,Oxley Holdings Limited
B58.SI,Banyan Tree Holdings Limited
B28.SI,Bonvests Holdings Limited
QC7.SI,Q & M Dental Group (Singapore) Limited
T15.SI,Tan Chong International Limited
S85.SI,Straco Corporation Limited
Y03.SI,Yeo Hiap Seng Limited
ODBU.SI,United Hampshire US Real Estate Investment Trust
BDX.SI,GSH Corporation Limited
M01.SI,Metro Holdings Limited
MXNU.SI,Elite UK REIT
TCU.SI,Credit Bureau Asia Limited
JLB.SI,Grand Venture Technology Limited
T24.SI,Tuan Sing Holdings Limited
A05.SI,AVJennings Limited
NPW.SI,Malaysia Smelting Corporation Berhad
5WH.SI,Rex International Holding Limited
F83.SI,"COSCO SHIPPING International (Singapore) Co., Ltd."
AWZ.SI,Multi-Chem Limited
BN2.SI,Valuetronics Holdings Limited
BTE.SI,Bund Center Investment Ltd
S35.SI,Sing Investments & Finance Limited
HLS.SI,Helens International Holdings Company Limited
N02.SI,NSL Ltd
BTM.SI,Penguin International Limited
QNS.SI,Southern Alliance Mining Ltd.
5CF.SI,OKP Holdings Limited
5JK.SI,Hiap Hoe Limited
CMOU.SI,Keppel Pacific Oak US REIT
X5N.SI,Avarga Limited
OXMU.SI,Prime US REIT
41O.SI,LHN Limited
F1E.SI,Low Keng Huat (Singapore) Limited
HQU.SI,Oiltek International Limited
H12.SI,Hotel Royal Limited
G20.SI,GP Industries Limited
BMGU.SI,BHG Retail REIT
XZL.SI,Acrophyte Hospitality Trust
5UF.SI,Aspial Lifestyle Limited
5DD.SI,Micro-Mechanics (Holdings) Ltd.
5WJ.SI,MoneyMax Financial Services Ltd.
1J0.SI,SLB Development Ltd.
J2T.SI,Hock Lian Seng Holdings Limited
40T.SI,ISEC Healthcare Ltd.
Z59.SI,Yoma Strategic Holdings Ltd.
500.SI,Tai Sin Electric Limited
1MZ.SI,Nam Cheong Limited
XJB.SI,"G.H.Y Culture & Media Holding Co., Limited"
DM0.SI,PSC Corporation Ltd.
LVR.SI,17LIVE Group Limited
5GD.SI,Sunpower Group Ltd.
AWI.SI,Thakral Corporation Ltd
5LY.SI,Marco Polo Marine Ltd.
5TP.SI,CNMC Goldmine Holdings Limited
T13.SI,RH PetroGas Limited
CLN.SI,APAC Realty Limited
DU4.SI,Mermaid Maritime Public Company Limited
42R.SI,Jumbo Group Limited
42R.SI,Jumbo Group Limited
5VS.SI,Hafary Holdings Limited
BEW.SI,JB Foods Limited
ZKX.SI,Ever Glory United Holdings Limited
5HV.SI,Koh Brothers Eco Engineering Limited
S7OU.SI,Asian Pay Television Trust
C33.SI,Chuan Hup Holdings Limited
C9Q.SI,Sinostar PEC Holdings Limited
PPC.SI,ProsperCap Corporation Limited
T12.SI,Tat Seng Packaging Group Ltd
A30.SI,Aspial Corporation Limited
BTOU.SI,Manulife US Real Estate Investment Trust
5IC.SI,Sing Holdings Limited
V5Q.SI,Soilbuild Construction Group Ltd.
I07.SI,ISDN Holdings Limited
MR7.SI,Nordic Group Limited
BQM.SI,Tiong Woon Corporation Holding Ltd
ER0.SI,KSH Holdings Limited
BPF.SI,YHI International Limited
579.SI,Oceanus Group Limited
BLS.SI,Hotung Investment Holdings Limited
D03.SI,Del Monte Pacific Limited
L19.SI,Lum Chang Holdings Limited
BLH.SI,Hai Leck Holdings Limited
5DP.SI,Heeton Holdings Limited
5ML.SI,Old Chang Kee Ltd.
5SR.SI,Zhongmin Baihui Retail Group Ltd.
564.SI,Spindex Industries Limited
OAJ.SI,Fortress Minerals Limited
BTP.SI,Baker Technology Limited
N08.SI,New Toyo International Holdings Ltd
URR.SI,Sim Leisure Group Ltd.
S19.SI,Singapore Shipping Corporation Limited
D5IU.SI,Lippo Malls Indonesia Retail Trust
S23.SI,Singapura Finance Ltd
KUO.SI,International Cement Group Ltd.
Q0X.SI,Ley Choon Group Holdings Limited
5WA.SI,OUE Healthcare Limited
BVQ.SI,Procurri Corporation Limited
1F2.SI,Union Gas Holdings Limited
V7R.SI,Resources Global Development Limited
WKS.SI,Winking Studios Limited
BTG.SI,HG Metal Manufacturing Limited
G50.SI,Grand Banks Yachts Limited
1J4.SI,JEP Holdings Ltd.
EHG.SI,Econ Healthcare (Asia) Limited
G0I.SI,Nam Lee Pressed Metal Industries Limited
BCY.SI,Powermatic Data Systems Limited
YYY.SI,Lion-OCBC Securities China Leaders ETF
B69.SI,Broadway Industrial Group Limited
S44.SI,EnGro Corporation Limited
BQD.SI,Envictus International Holdings Limited
42E.SI,Choo Chiang Holdings Ltd.
M14.SI,InnoTek Limited
FQ7.SI,Salt Investments Limited
RQ1.SI,Overseas Education Limited
BQF.SI,XMH Holdings Ltd.
T41.SI,TeleChoice International Limited
533.SI,ABR Holdings Limited
1D1.SI,UnUsUaL Limited
P8A.SI,Cordlife Group Limited
1AZ.SI,Audience Analytics Limited
5MZ.SI,Kingsmen Creatives Ltd.
F86.SI,MYP Ltd.
ZB9.SI,Union Steel Holdings Limited
K75.SI,Koh Brothers Group Limited
AWG.SI,Ascent Bridge Limited
5SO.SI,Duty Free International Limited
566.SI,SHS Holdings Ltd.
