Ticker,Company
GE.SN,General Electric Company
CHILE.SN,Banco de Chile
FALABELLA.SN,Falabella S.A.
LTM.SN,LATAM Airlines Group S.A.
BSANTANDER.SN,Banco Santander-Chile
ENELAM.SN,Enel Américas S.A.
CENCOSUD.SN,Cencosud S.A.
BCI.SN,Banco de Crédito e Inversiones
COPEC.SN,Empresas Copec S.A.
QUINENCO.SN,Quiñenco SA
ENELCHILE.SN,Enel Chile S.A.
MALLPLAZA.SN,Plaza S.A.
ENELGXCH.SN,Enel Generación Chile S.A.
CMPC.SN,Empresas CMPC S.A.
CENCOMALLS.SN,Cencosud Shopping S.A.
ANTARCHILE.SN,AntarChile S.A.
SCOTIABKCL.SN,Scotiabank Chile S.A.
ITAUCL.SN,Banco Itaú Chile
COLBUN.SN,Colbún S.A.
VAPORES.SN,Compañía Sud Americana de Vapores S.A.
ENAEX.SN,Enaex S.A.
CCU.SN,Compañía Cervecerías Unidas S.A.
PARAUCO.SN,Parque Arauco S.A.
MINERA.SN,Minera Valparaiso S.A.
BICECORP.SN,Bicecorp S.A.
PEHUENCHE.SN,Empresa Eléctrica Pehuenche S.A.
SK.SN,Sigdo Koppers S.A.
PROVIDA.SN,Administradora de Fondos de Pensiones Provida S.A.
CALICHERAA.SN,Sociedad de Inversiones Pampa Calichera S.A.
ECL.SN,Engie Energia Chile S.A.
SMSAAM.SN,Sociedad Matriz SAAM S.A.
SECURITY.SN,Grupo Security S.A.
HABITAT.SN,Administradora de Fondos de Pensiones Habitat S.A.
NORTEGRAN.SN,Norte Grande S.A.
CAROZZI.SN,Carozzi S.A.
ILC.SN,Inversiones La Construcción S.A.
AQUACHILE.SN,Empresas AquaChile S.A.
SMU.SN,SMU S.A.
CUPRUM.SN,Administradora de Fondos de Pensiones Cuprum S.A.
NTGCLGAS.SN,Naturgy Chile Gas Natural S.A.
ENTEL.SN,Empresa Nacional de Telecomunicaciones S.A.
IAM.SN,Inversiones Aguas Metropolitanas S.A.
RIPLEY.SN,Ripley Corp S.A.
CONCHATORO.SN,Viña Concha y Toro S.A.
BANVIDA.SN,Banvida S.A.
AFPCAPITAL.SN,Administradora de Fondos de Pensiones Capital S.A.
PASUR.SN,Forestal Constructora y Comercial del Pacifico Sur SA
CAP.SN,CAP S.A.
PUCOBRE.SN,Sociedad Punta del Cobre S.A.
CGE.SN,Compañía General de Electricidad S.A.
FORUS.SN,Forus S.A.
ENELDXCH.SN,Enel Distribucion Chile S.A.
LIPIGAS.SN,Empresas Lipigas S.A.
MOLYMET.SN,Molibdenos y Metales S.A.
BINT.SN,Banco Internacional
BESALCO.SN,Besalco S.A.
NUAM.SN,Holding Bursátil Regional S.A.
PLANVITAL.SN,Administradora de Fondos de Pensiones PlanVital S.A.
SALFACORP.SN,SalfaCorp S.A.
CEMENTOS.SN,Cementos Bio Bio S.A.
ELECMETAL.SN,Compañía Electro Metalúrgica S.A.
CTC.SN,Telefónica Chile S.A.
ALMENDRAL.SN,Almendral S.A.
BLUMAR.SN,Blumar S.A.
NITRATOS.SN,Nitratos de Chile S.A.
SONDA.SN,Sonda S.A.
INDISA.SN,Instituto de Diagnóstico S.A.
MARINSA.SN,Marítima de Inversiones S.A.
PREVISION.SN,Seguros Vida Security Previsión S.A.
TRICOT.SN,Empresas Tricot S.A.
NAVIERA.SN,Grupo Empresas Navieras S.A.
VOLCAN.SN,Compañía Industrial El Volcán S.A.
GASCO.SN,Empresas Gasco S.A.
OXIQUIM.SN,Oxiquim S.A.
NAVARINO.SN,Navarino S.A.
ZOFRI.SN,Zona Franca de Iquique S.A.
WATTS.SN,Watt's S.A.
SALMOCAM.SN,Salmones Camanchaca S.A.
AAISA.SN,Administradora Americana de Inversiones S.A.
CAMANCHACA.SN,Camanchaca S.A.
INVERCAP.SN,Invercap S.A.
POLPAICO.SN,Cemento Polpaico S.A.
CRISTALES.SN,Cristalerías de Chile S.A.
CGET.SN,CGE Transmisión S.A.
EISA.SN,Echeverría Izquierdo S.A.
PAZ.SN,Paz Corp S.A.
VENTANAS.SN,Puerto Ventanas S.A.
VSPT.SN,Viña San Pedro Tarapacá S.A.
PUNTILLA.SN,Eléctrica Puntilla S.A.
SIEMEL.SN,Inversiones Siemel S.A.
MASISA.SN,Masisa S.A.
DUNCANFOX.SN,Duncan Fox S.A.
SOQUICOM.SN,Soquimich Comercial S.A.
INGEVEC.SN,Ingevec S.A.
MELON.SN,Melon S.A.
QUEMCHI.SN,Quemchi S.A.
IANSA.SN,Empresas Iansa S.A.
SOCOVESA.SN,Socovesa S.A.
CAMARONEX.SN,Pampa Camarones SpA
EDELMAG.SN,Empresa Eléctrica de Magallanes S.A.
CONSOGRAL.SN,Zurich Chile Seguros Generales S.A.
GOLF.SN,Sociedad Anonima de Deportes Club de Golf Santiago
CINTAC.SN,Cintac S.A.
ESPANOLA.SN,Compañía de Inversiones La Española S.A.
ABC.SN,abc S.A.
MOLLER.SN,Empresa Constructora Moller y Pérez Cotapos S.A.
FROWARD.SN,Portuaria Cabo Froward S.A.
TRICAHUE.SN,Inversiones Tricahue S.A.
MANQUEHUE.SN,Inmobiliaria Manquehue S.A.
ENLASA.SN,Energía Latina S.A.
HITES.SN,Empresas Hites S.A.
INVIESPA.SN,Inversiones Unión Española S.A.
SCHWAGER.SN,Schwager S.A.
NUTRAVALOR.SN,Inversiones Nutravalor S.A.
CAMPOS.SN,Sociedad de Inversiones Campos Chilenos S.A.
CIC.SN,Companias CIC S.A.
POLO.SN,Club de Polo y Equitación San Cristóbal S.A.
FERIAOSOR.SN,Feria de Osorno S.A.
COPEVAL.SN,Compañía Agropecuaria Copeval S.A.
HIPODROMOA.SN,Sociedad Hipodromo Chile S.A.
LITORAL.SN,Compañía Eléctrica del Litoral S.A.
SPORTING.SN,Valparaíso Sporting Club S.A.
FEPASA.SN,Ferrocarril del Pacífico S.A.
EDELPA.SN,Envases del Pacifico S.A.
FOSFOROS.SN,Compañía Chilena de Fósforos S.A.
QUILICURA.SN,Quilicura S.A.
SOFRUCO.SN,Sociedad Agrícola La Rosa Sofruco S.A.
ISANPA.SN,Inmobiliaria San Patricio S.A.
EMILIANA.SN,Viñedos Emiliana S.A.
BOLSASTGO.SN,"Bolsa de Comercio de Santiago, Bolsa de Valores"
HIPERMARC.SN,Hipermarc S.A.
HIPICO.SN,Club Hipico de Santiago S.A.
GASCOINV.SN,Gasco Inversiones S.A.
CRUZADOS.SN,Cruzados SADP
SPORTFRAN.SN,Sociedad Anónima Inmobiliaria Sport Francais
IPAL.SN,Ipal S.A.
VICONTO.SN,Frutícola Viconto S.A.
ZEROQ.SN,Panther Management SpA
ENJOY.SN,Enjoy S.A.
LITORALTX.SN,Litoral Transmision S.A.
MARBELLACC.SN,Marbella Country Club S.A.
COVADONGA.SN,Inversiones Covadonga S.A.
ANDACOR.SN,Andacor S.A.
UNESPA.SN,Inversiones Unespa S.A.
ESTACIONAM.SN,Inmobiliaria Central de Estacionamientos Agustinas S.A.
INVERNOVA.SN,Invernova S.A.
NIBSA.SN,Nibsa S.A.
CLUBUNION.SN,Union Inmobiliaria S.A.
CASABLANCA.SN,Energía de Casablanca S.A.
SOPROCAL.SN,"Soprocal, Calerías e Industrias S.A."
GRANADILLA.SN,Granadilla Country Club S.A.
INFODEMA.SN,Infodema S.A.
ATSA.SN,Automovilismo y Turismo S.A.
INMOBVINA.SN,Sociedad Inmobiliaria Viña del Mar S.A.
