Ticker,Company
AZN.ST,AstraZeneca PLC
ABB.ST,ABB Ltd
INVE.A.ST,Investor AB (publ)
INVE.B.ST,Investor AB (publ)
ATCO.A.ST,Atlas Copco AB (publ)
ATCO.B.ST,Atlas Copco AB (publ)
VOLV.A.ST,AB Volvo (publ)
VOLV.B.ST,AB Volvo (publ)
NDA.SE.ST,Nordea Bank Abp
DNBO.ST,DNB Bank ASA
SEB.A.ST,Skandinaviska Enskilda Banken AB (publ)
SEB.C.ST,Skandinaviska Enskilda Banken AB (publ)
ASSA.B.ST,ASSA ABLOY AB (publ)
EQT.ST,EQT AB (publ)
SWED.A.ST,Swedbank AB (publ)
SAMPO.SDB.ST,Sampo Oyj
ERIC.A.ST,Telefonaktiebolaget LM Ericsson (publ)
ERIC.B.ST,Telefonaktiebolaget LM Ericsson (publ)
NOKIA.SEK.ST,Nokia Oyj
SAAB.B.ST,Saab AB (publ)
SAND.ST,Sandvik AB (publ)
SHB.A.ST,Svenska Handelsbanken AB (publ)
SHB.B.ST,Svenska Handelsbanken AB (publ)
HEXA.B.ST,Hexagon AB (publ)
EPI.A.ST,Epiroc AB (publ)
EPI.B.ST,Epiroc AB (publ)
HM.B.ST,H & M Hennes & Mauritz AB (publ)
ESSITY.A.ST,Essity AB (publ)
ESSITY.B.ST,Essity AB (publ)
LIFCO.B.ST,Lifco AB (publ)
ALFA.ST,Alfa Laval AB (publ)
LATO.B.ST,Investment AB Latour (publ)
8TRA.ST,Traton SE
INDU.A.ST,AB Industrivärden (publ)
INDU.C.ST,AB Industrivärden (publ)
EVO.ST,Evolution AB (publ)
TELIA.ST,Telia Company AB (publ)
LUG.ST,Lundin Gold Inc.
LUND.B.ST,L E Lundbergföretagen AB (publ)
TEL2.A.ST,Tele2 AB (publ)
TEL2.B.ST,Tele2 AB (publ)
SKF.A.ST,AB SKF (publ)
SKF.B.ST,AB SKF (publ)
SOBI.ST,Swedish Orphan Biovitrum AB (publ)
INDT.ST,Indutrade AB (publ)
SKA.B.ST,Skanska AB (publ)
SCA.A.ST,Svenska Cellulosa Aktiebolaget SCA (publ)
SCA.B.ST,Svenska Cellulosa Aktiebolaget SCA (publ)
STE.A.ST,Stora Enso Oyj
STE.R.ST,Stora Enso Oyj
ADDT.B.ST,Addtech AB (publ.)
LUMI.ST,Lundin Mining Corporation
ALIV.SDB.ST,"Autoliv, Inc."
BOL.ST,Boliden AB (publ)
BALD.B.ST,Fastighets AB Balder (publ)
SECU.B.ST,Securitas AB (publ)
TREL.B.ST,Trelleborg AB (publ)
NIBE.B.ST,NIBE Industrier AB (publ)
SAGA.B.ST,AB Sagax (publ)
SAGA.A.ST,AB Sagax (publ)
SAGA.D.ST,AB Sagax (publ)
BEIJ.B.ST,Beijer Ref AB (publ)
AAK.ST,AAK AB (publ.)
SAVE.ST,Nordnet AB (publ)
SECT.B.ST,Sectra AB (publ)
HOLM.A.ST,Holmen AB (publ)
HOLM.B.ST,Holmen AB (publ)
CAST.ST,Castellum AB (publ)
AXFO.ST,Axfood AB (publ)
SWEC.A.ST,Sweco AB (publ)
SWEC.B.ST,Sweco AB (publ)
FNOX.ST,Fortnox AB (publ)
SSAB.A.ST,SSAB AB (publ)
SSAB.B.ST,SSAB AB (publ)
GETI.B.ST,Getinge AB (publ)
AZA.ST,Avanza Bank Holding AB (publ)
VOLCAR.B.ST,Volvo Car AB (publ.)
LAGR.B.ST,Lagercrantz Group AB (publ)
FROO.ST,Frontline plc
ASKER.ST,Asker Healthcare Group AB
MYCR.ST,Mycronic AB (publ)
MCOV.B.ST,Medicover AB (publ)
CAMX.ST,Camurus AB (publ)
ROKO.B.ST,Röko AB (publ)
PNDX.B.ST,Pandox AB (publ)
WIHL.ST,Wihlborgs Fastigheter AB (publ)
WALL.B.ST,Wallenstam AB (publ)
HPOL.B.ST,HEXPOL AB (publ)
ASMDEE.B.ST,Asmodee Group AB (publ)
THULE.ST,Thule Group AB (publ)
CATE.ST,Catena AB (publ)
HUSQ.A.ST,Husqvarna AB (publ)
HUSQ.B.ST,Husqvarna AB (publ)
BETS.B.ST,Betsson AB (publ)
FABG.ST,Fabege AB (publ)
LOOMIS.ST,Loomis AB (publ)
HUFV.A.ST,Hufvudstaden AB (publ)
HEM.ST,Hemnet Group AB (publ)
BILL.ST,Billerud AB (publ)
EMBRAC.B.ST,Embracer Group AB (publ)
PEAB.B.ST,Peab AB (publ)
MTRS.ST,Munters Group AB (publ)
ALIF.B.ST,AddLife AB (publ)
KINV.A.ST,Kinnevik AB
KINV.B.ST,Kinnevik AB
TIETOS.ST,TietoEVRY Oyj
VIMIAN.ST,Vimian Group AB (publ)
TRUE.B.ST,Truecaller AB (publ)
SINCH.ST,Sinch AB (publ)
ATRLJ.B.ST,Atrium Ljungberg AB (publ)
CLAS.B.ST,Clas Ohlson AB (publ)
BURE.ST,Bure Equity AB (publ)
HMS.ST,HMS Networks AB (publ)
PDX.ST,Paradox Interactive AB (publ)
ALLEI.ST,Alleima AB (publ)
OEM.B.ST,OEM International AB (publ)
IPCO.ST,International Petroleum Corporation
NYF.ST,Nyfosa AB (publ)
INTEA.B.ST,Intea Fastigheter AB (publ)
VITR.ST,Vitrolife AB (publ)
EKTA.B.ST,Elekta AB (publ)
VIT.B.ST,Vitec Software Group AB (publ)
STOR.B.ST,Storskogen Group AB (publ)
BRAV.ST,Bravida Holding AB (publ)
INTEA.D.ST,Intea Fastigheter AB (publ)
NCC.A.ST,NCC AB (publ)
NCC.B.ST,NCC AB (publ)
SYSR.ST,Systemair AB (publ)
ELUX.A.ST,AB Electrolux (publ)
ELUX.B.ST,AB Electrolux (publ)
EPRO.B.ST,Electrolux Professional AB (publ)
ARION.SDB.ST,Arion banki hf.
BONEX.ST,Bonesupport Holding AB (publ)
AFRY.ST,Afry AB
SHOT.ST,Scandic Hotels Group AB (publ)
BIOA.B.ST,BioArctic AB (publ)
AQ.ST,AQ Group AB (publ)
BUFAB.ST,Bufab AB (publ)
HAUTOO.ST,Höegh Autoliners ASA
NP3.ST,NP3 Fastigheter AB (publ)
NEWA.B.ST,New Wave Group AB (publ)
NOLA.B.ST,Nolato AB (publ)
CIBUS.ST,Cibus Nordic Real Estate AB (publ)
IVSO.ST,Invisio AB (publ)
GOGLO.ST,Golden Ocean Group Limited
ALIG.ST,Alimak Group AB (publ)
LIAB.ST,Lindab International AB (publ)
ENGCON.B.ST,engcon AB (publ)
ANOD.B.ST,Addnode Group AB (publ)
BEIA.B.ST,Beijer Alma AB (publ)
RATO.A.ST,Ratos AB (publ)
RATO.B.ST,Ratos AB (publ)
MTG.B.ST,Modern Times Group MTG AB
MTG.A.ST,Modern Times Group MTG AB
GRNG.ST,Gränges AB (publ)
SKIS.B.ST,SkiStar AB (publ)
MIPS.ST,Mips AB (publ)
DYVOX.ST,Dynavox Group AB (publ)
YUBICO.ST,Yubico AB
SBB.B.ST,Samhällsbyggnadsbolaget i Norden AB (publ)
SBB.D.ST,Samhällsbyggnadsbolaget i Norden AB (publ)
INWI.ST,Inwido AB (publ)
BIOT.ST,Biotage AB (publ)
RUSTA.ST,Rusta AB (publ)
DOM.ST,Dometic Group AB (publ)
BILI.A.ST,Bilia AB (publ)
FPAR.A.ST,FastPartner AB (publ)
FPAR.D.ST,FastPartner AB (publ)
KAR.ST,Karnov Group AB (publ)
SLP.B.ST,Swedish Logistic Property AB
RAY.B.ST,RaySearch Laboratories AB (publ)
CORE.A.ST,Corem Property Group AB (publ)
CORE.B.ST,Corem Property Group AB (publ)
CORE.D.ST,Corem Property Group AB (publ)
BIOG.B.ST,BioGaia AB (publ)
CRED.A.ST,Creades AB
DIOS.ST,Diös Fastigheter AB (publ)
NORION.ST,Norion Bank AB (publ)
PLAZ.B.ST,Platzer Fastigheter Holding AB (publ)
VOLO.ST,Volati AB (publ)
CLA.B.ST,Cloetta AB (publ)
JM.ST,JM AB (publ)
BWEO.ST,BW Energy Limited
AMBEA.ST,Ambea AB (publ)
