Ticker,Company
2222.SR,Saudi Arabian Oil Company
1120.SR,Al Rajhi Banking and Investment Corporation
7010.SR,Saudi Telecom Company
1180.SR,The Saudi National Bank
1211.SR,Saudi Arabian Mining Company (Ma'aden)
2082.SR,ACWA Power Company
2010.SR,Saudi Basic Industries Corporation
4013.SR,Dr. Sulaiman Al Habib Medical Services Group Company
1010.SR,Riyad Bank
7203.SR,Elm Company
1060.SR,Saudi Awwal Bank
1150.SR,Alinma Bank
5110.SR,Saudi Electricity Company
2020.SR,SABIC Agri-Nutrients Company
2280.SR,Almarai Company
7020.SR,Etihad Etisalat Company
1050.SR,Banque Saudi Fransi
1080.SR,Arab National Bank
1140.SR,Bank Albilad
4325.SR,Umm Al Qura for Development and Construction Company
4280.SR,Kingdom Holding Company
7202.SR,Arabian Internet and Communication Services Company
8210.SR,Bupa Arabia for Cooperative Insurance Company
4250.SR,Jabal Omar Development Company
4030.SR,The National Shipping Company of Saudi Arabia
8010.SR,The Company for Cooperative Insurance
4300.SR,Dar Al Arkan Real Estate Development Company
4142.SR,Riyadh Cables Group Company
1111.SR,Saudi Tadawul Group Holding Company
1030.SR,The Saudi Investment Bank
6015.SR,Americana Restaurants International PLC
4100.SR,Makkah Construction and Development Company
2290.SR,Yanbu National Petrochemical Company
4164.SR,Nahdi Medical Company
2223.SR,Saudi Aramco Base Oil Company - Luberef
1020.SR,Bank AlJazira
4190.SR,Jarir Marketing Company
4002.SR,Mouwasat Medical Services Company
4263.SR,SAL Saudi Logistics Services Company
2382.SR,ADES Holding Company
2310.SR,Sahara International Petrochemical Company
4210.SR,Saudi Research and Media Group
4004.SR,Dallah Healthcare Company
1212.SR,Astra Industrial Group Company
2250.SR,Saudi Industrial Investment Group
4200.SR,Aldrees Petroleum and Transport Services Company
2380.SR,Rabigh Refining and Petrochemical Company
4072.SR,MBC Group
4015.SR,Jamjoom Pharmaceuticals Factory Company
8230.SR,Al Rajhi Company for Cooperative Insurance
