Ticker,Company
LHV1T.TA,AS LHV Group
INF1T.TA,AS Infortar
EGR1T.TA,Enefit Green AS
MRK1T.TA,AS Merko Ehitus
TAL1T.TA,AS Tallink Grupp
TKM1T.TA,TKM Grupp AS
TSM1T.TA,AS Tallinna Sadam
TVE1T.TA,AS Tallinna Vesi
CPA1T.TA,Coop Pank AS
HAE1T.TA,AS Harju Elekter
PKG1T.TA,AS Pro Kapital Grupp
SFG1T.TA,AS Silvano Fashion Group
MOLNR.TA,J. Molner AS
ARC1T.TA,Arco Vara AS
EEG1T.TA,AS Ekspress Grupp
HPR1T.TA,Hepsor AS
MAGIC.TA,TextMagic AS
NCN1T.TA,Nordecon AS
LINDA.TA,aktsiaselts Linda Nektar
MODE.TA,AS Modera
AIR.TA,Airobot Technologies AS
SKN1T.TA,Nordic Fibreboard AS
SAUNA.TA,Saunum Group AS
TPD1T.TA,AS Trigon Property Development
PRF1T.TA,AS PRFoods
GRB2G.TA,Grab2Go AS
BERCM.TA,Bercman Technologies AS
PNKTD.TA,Punktid Technologies AS
ROBUS.TA,Robus Group AS
